Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-01-01 23:25,P6 Short Exit,26144,1,52185,-103,-0.20,0,5,0.01,-103,-0.20,-103,-0.01,121
1,Entry short,2026-01-01 21:24,1h first touch + room,26092.5,1,52185,-103,-0.20,0,5,0.01,-103,-0.20,-103,-0.01,121
2,Exit short,2026-01-02 09:47,P6 Short Exit,26253.25,1,52476,-30.5,-0.06,0,183.5,0.35,-30.5,-0.06,-133.5,-0.01,336
2,Entry short,2026-01-02 04:11,1h first touch + room,26238,1,52476,-30.5,-0.06,0,183.5,0.35,-30.5,-0.06,-133.5,-0.01,336
3,Exit long,2026-01-02 14:11,P6 Long Exit,25874.5,1,51571,178,0.35,0,178,0.35,-21.5,-0.04,44.5,0.00,20
3,Entry long,2026-01-02 13:51,1h first touch + room,25785.5,1,51571,178,0.35,0,178,0.35,-21.5,-0.04,44.5,0.00,20
4,Exit long,2026-01-05 06:48,P6 Long Exit,26082.25,1,51961.5,203,0.39,0,203,0.39,-34.5,-0.07,247.5,0.02,399
4,Entry long,2026-01-05 00:09,1h first touch + room,25980.75,1,51961.5,203,0.39,0,203,0.39,-34.5,-0.07,247.5,0.02,399
5,Exit short,2026-01-05 13:08,P6 Short Exit,26100.5,1,52391.5,190.5,0.36,0,190.5,0.36,-41,-0.08,438,0.04,118
5,Entry short,2026-01-05 11:10,1h first touch + room,26195.75,1,52391.5,190.5,0.36,0,190.5,0.36,-41,-0.08,438,0.04,118
6,Exit long,2026-01-06 03:01,P6 Long Exit,26145.5,1,52306.5,-15.5,-0.03,0,9,0.02,-15.5,-0.03,422.5,0.04,15
6,Entry long,2026-01-06 02:46,1h first touch + room,26153.25,1,52306.5,-15.5,-0.03,0,9,0.02,-15.5,-0.03,422.5,0.04,15
