Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-10-06 03:41,P6 Long Exit,25807.5,1,51647.5,-32.5,-0.06,0,4,0.01,-32.5,-0.06,-32.5,-0.03,1
1,Entry long,2025-10-06 03:40,P6L|sig=1759736400000|zone=1759708800000|prox=25825.25|dist=25808.50|rvol=1.1071|room=5.831,25823.75,1,51647.5,-32.5,-0.06,0,4,0.01,-32.5,-0.06,-32.5,-0.03,1
2,Exit short,2025-10-06 08:02,P6 Short Exit,25955.75,1,51883.5,-28,-0.05,0,111,0.21,-28,-0.05,-60.5,-0.06,68
2,Entry short,2025-10-06 06:54,P6S|sig=1759748040000|zone=1759482000000|prox=25940.75|dist=25954.75|rvol=1.1271|room=12.4167,25941.75,1,51883.5,-28,-0.05,0,111,0.21,-28,-0.05,-60.5,-0.06,68
3,Exit long,2025-10-06 15:59,P6 Long Exit,25939,1,51931,-53,-0.10,0,14.5,0.03,-53,-0.10,-113.5,-0.11,16
3,Entry long,2025-10-06 15:43,P6L|sig=1759779780000|zone=1759766400000|prox=25965.75|dist=25940.00|rvol=0.7691|room=NaN,25965.5,1,51931,-53,-0.10,0,14.5,0.03,-53,-0.10,-113.5,-0.11,16
4,Exit long,2025-10-07 11:03,P6 Long Exit,25926.75,1,51888,-34.5,-0.07,0,50.5,0.10,-34.5,-0.07,-148,-0.15,26
4,Entry long,2025-10-07 10:37,P6L|sig=1759847820000|zone=1759831200000|prox=25947.25|dist=25927.75|rvol=0.9869|room=NaN,25944,1,51888,-34.5,-0.07,0,50.5,0.10,-34.5,-0.07,-148,-0.15,26
5,Exit short,2025-10-08 04:20,P6 Short Exit,25853.25,1,51693,-13.5,-0.03,0,18,0.03,-13.5,-0.03,-161.5,-0.16,29
5,Entry short,2025-10-08 03:51,P6S|sig=1759909860000|zone=1759896000000|prox=25844.00|dist=25852.25|rvol=0.8821|room=6.6757,25846.5,1,51693,-13.5,-0.03,0,18,0.03,-13.5,-0.03,-161.5,-0.16,29
6,Exit long,2025-10-08 09:47,P6 Long Exit,25916.5,1,51632.5,200.5,0.39,0,200.5,0.39,-31.5,-0.06,39,0.04,216
6,Entry long,2025-10-08 06:11,P6L|sig=1759918260000|zone=1759903200000|prox=25816.50|dist=25784.00|rvol=1.0989|room=3.903,25816.25,1,51632.5,200.5,0.39,0,200.5,0.39,-31.5,-0.06,39,0.04,216
7,Exit short,2025-10-09 10:31,P6 Short Exit,25994.5,1,52189,200,0.38,0,200,0.38,-9.5,-0.02,239,0.24,296
7,Entry short,2025-10-09 05:35,P6S|sig=1760002500000|zone=1759993200000|prox=26094.50|dist=26107.00|rvol=1.1825|room=4.6852,26094.5,1,52189,200,0.38,0,200,0.38,-9.5,-0.02,239,0.24,296
8,Exit short,2025-10-09 15:38,P6 Short Exit,26033.5,1,52019.5,-47.5,-0.09,0,25,0.05,-47.5,-0.09,191.5,0.19,29
8,Entry short,2025-10-09 15:09,P6S|sig=1760036940000|zone=1760022000000|prox=26008.25|dist=26032.50|rvol=0.9132|room=6.4158,26009.75,1,52019.5,-47.5,-0.09,0,25,0.05,-47.5,-0.09,191.5,0.19,29
9,Exit long,2025-10-10 02:51,P6 Long Exit,26053,1,52145.5,-39.5,-0.08,0,33,0.06,-39.5,-0.08,152,0.15,15
9,Entry long,2025-10-10 02:36,P6L|sig=1760078160000|zone=1760068800000|prox=26075.00|dist=26054.00|rvol=0.8152|room=NaN,26072.75,1,52145.5,-39.5,-0.08,0,33,0.06,-39.5,-0.08,152,0.15,15
10,Exit long,2025-10-10 10:57,P6 Long Exit,26045.25,1,52142.5,-52,-0.10,0,92.5,0.18,-52,-0.10,100,0.10,56
10,Entry long,2025-10-10 10:01,P6L|sig=1760104860000|zone=1760097600000|prox=26080.50|dist=26046.25|rvol=0.9144|room=NaN,26071.25,1,52142.5,-52,-0.10,0,92.5,0.18,-52,-0.10,100,0.10,56
11,Exit long,2025-10-15 01:00,P6 Long Exit,25636.75,1,51072.5,201,0.39,0,201,0.39,-30.5,-0.06,301,0.30,235
11,Entry long,2025-10-14 21:05,P6L|sig=1760490300000|zone=1760482800000|prox=25536.75|dist=25498.25|rvol=1.1182|room=3.1899,25536.25,1,51072.5,201,0.39,0,201,0.39,-30.5,-0.06,301,0.30,235
