market,name,sector,obs,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,dd_trough,pct_days_underwater,skew,excess_kurt,jarque_bera_p,hit_rate_pct,best_day_pct,worst_day_pct,var95_pct,cvar95_pct
NQ,E-mini Nasdaq 100,equity_index,9946,15.04,25.67,0.674,0.896,-75.3,0.2,2002-10-07,91.9,0.092,8.19,0.00e+00,54.91,18.77,-15.08,-2.52,-3.79
YM,E-mini Dow,equity_index,10301,9.4,17.56,0.601,0.73,-53.8,0.175,2009-03-09,91.3,-0.951,28.48,0.00e+00,52.48,11.37,-22.61,-1.61,-2.6
RTY,E-mini Russell 2000,equity_index,9504,9.06,21.44,0.512,0.652,-58.4,0.155,2009-03-09,92.9,-0.448,8.75,0.00e+00,54.73,9.39,-14.27,-2.04,-3.18
ES,E-mini S&P 500,equity_index,24281,6.43,18.67,0.427,0.536,-86.2,0.075,1932-06-01,94.0,-0.11,17.4,0.00e+00,52.5,16.61,-20.47,-1.67,-2.81
VX,VIX,volatility,9159,-11.81,111.77,0.411,0.786,-99.4,-0.119,2025-12-24,99.9,2.012,16.86,0.00e+00,45.17,115.6,-35.75,-9.3,-12.65
ZO,Oats,grains,10516,1.92,78.71,0.41,0.512,-77.3,0.025,2000-07-03,98.7,1.193,18.41,0.00e+00,43.68,68.55,-45.82,-6.77,-12.15
GC,Gold,metals,10101,5.23,15.76,0.402,0.534,-49.4,0.106,1999-08-25,97.3,-0.123,8.41,0.00e+00,50.55,10.95,-9.11,-1.51,-2.36
PA,Palladium,metals,10546,5.96,33.17,0.341,0.454,-86.5,0.069,2003-04-29,98.2,-0.133,7.95,0.00e+00,47.9,19.88,-20.53,-3.16,-4.92
NG,Henry Hub Natural Gas,energy,9320,0.35,65.56,0.327,0.491,-92.1,0.004,2020-06-25,99.5,1.328,22.87,0.00e+00,48.94,61.77,-35.7,-5.54,-8.56
SI,Silver,metals,10098,5.14,28.76,0.32,0.395,-77.2,0.067,2020-03-19,98.5,-0.852,12.47,0.00e+00,49.43,14.94,-26.91,-2.71,-4.39
CC,Cocoa,softs,10397,1.54,59.28,0.32,0.419,-75.2,0.021,2026-02-27,99.2,0.785,16.15,0.00e+00,48.65,42.11,-31.34,-4.86,-8.85
BZ,Brent Crude,energy,10375,4.38,36.83,0.302,0.401,-88.8,0.049,2020-04-21,98.3,-0.348,13.37,0.00e+00,51.13,21.02,-34.77,-3.46,-5.35
RB,RBOB Gasoline,energy,5160,3.97,39.75,0.297,0.406,-80.2,0.049,2020-03-23,98.7,-0.024,7.71,0.00e+00,52.25,24.18,-18.9,-3.87,-5.79
DC,Class III Milk,softs,5339,2.67,47.26,0.294,0.304,-74.8,0.036,2020-04-01,98.6,0.296,36.53,0.00e+00,46.83,39.05,-27.67,-3.02,-7.29
GF,Feeder Cattle,livestock,10212,3.04,15.57,0.27,0.36,-57.3,0.053,2020-03-16,97.4,0.567,18.72,0.00e+00,49.99,14.97,-9.55,-1.44,-2.27
CL,WTI Crude Oil,energy,10050,2.64,40.48,0.267,0.36,-89.3,0.03,2020-04-17,98.8,0.21,18.07,0.00e+00,51.22,37.66,-33.0,-3.67,-5.75
HO,NY Harbor ULSD,energy,10158,3.01,36.7,0.267,0.352,-83.6,0.036,1999-02-08,99.1,-0.668,10.01,0.00e+00,50.99,15.02,-32.36,-3.43,-5.36
LBR,Lumber,softs,10184,3.03,37.02,0.265,0.397,-80.4,0.038,2009-01-14,98.9,0.509,16.31,0.00e+00,48.47,27.68,-33.48,-3.21,-4.71
NKD,Nikkei 225 (USD),equity_index,9986,3.34,23.88,0.257,0.362,-84.6,0.039,2009-03-10,97.5,-0.039,6.56,0.00e+00,51.56,13.82,-16.13,-2.35,-3.44
ZW,Chicago Wheat,grains,10500,1.05,47.45,0.253,0.341,-80.3,0.013,2009-09-08,99.1,2.909,90.03,0.00e+00,48.42,69.9,-41.16,-2.99,-5.88
