market,name,sector,obs,ac1,ac5,ljungbox10_ret_p,ljungbox10_sq_p,adf_p_logprice,adf_p_return,hurst,vr5,vr5_z,vr21,vr21_z,vr63,vr63_z
BZ,Brent Crude,energy,10375,-0.0172,0.0025,0.00576,0,0.37,0,0.503,0.927,-1.84,0.906,-1.11,0.982,-0.13
CL,WTI Crude Oil,energy,10050,-0.0105,-0.0159,1.06e-11,0,0.415,0,0.506,0.901,-1.89,0.93,-0.63,0.99,-0.05
HO,NY Harbor ULSD,energy,10158,-0.0221,-0.0056,3.11e-05,1.17e-236,0.653,0,0.493,0.922,-2.27,0.87,-1.72,0.923,-0.61
NG,Henry Hub Natural Gas,energy,9320,-0.1624,0.0215,6.94e-52,1.5e-202,0.0164,0,0.466,0.72,-5.18,0.661,-3.61,0.637,-2.63
RB,RBOB Gasoline,energy,5160,-0.0202,-0.0132,0.0491,5.66e-153,0.0227,0,0.539,0.962,-0.8,1.089,0.86,1.275,1.57
ES,E-mini S&P 500,equity_index,24281,-0.0005,0.0091,1.33e-07,0,0.993,0,0.501,0.975,-0.72,1.003,0.05,1.003,0.02
NKD,Nikkei 225 (USD),equity_index,9986,-0.0716,0.003,2.42e-09,0,0.282,0,0.49,0.857,-3.99,0.845,-2.06,0.817,-1.52
NQ,E-mini Nasdaq 100,equity_index,9946,-0.0432,-0.0062,2.91e-07,0,0.897,0,0.475,0.886,-2.76,0.818,-1.98,0.792,-1.39
RTY,E-mini Russell 2000,equity_index,9504,-0.0294,-0.0047,0.00108,0,0.896,0,0.485,0.975,-0.49,0.963,-0.34,0.914,-0.51
YM,E-mini Dow,equity_index,10301,-0.0599,0.0074,1.25e-14,0,0.661,0,0.443,0.868,-2.24,0.772,-1.89,0.639,-2.03
6A,Australian Dollar,fx,14183,-0.0164,-0.0091,0.44,1,0.386,0,0.498,0.74,-9.64,0.675,-5.38,0.694,-3.19
6B,British Pound,fx,14452,0.0253,0.0068,0.535,1,0.174,0,0.518,0.76,-13.87,0.712,-7.49,0.771,-3.53
6E,Euro FX,fx,13077,-0.0019,0.0145,0.909,1,0.138,0,0.521,0.722,-15.11,0.706,-7.48,0.74,-3.82
6N,New Zealand Dollar,fx,14141,-0.0109,0.0005,0.533,1,0.3,0,0.495,0.762,-12.2,0.702,-7.01,0.696,-4.12
ZC,Corn,grains,10487,-0.1848,0.0359,1.35e-75,4.54e-170,0.184,0,0.488,0.698,-8.18,0.673,-4.82,0.702,-2.72
ZO,Oats,grains,10516,-0.3708,0.0468,0,0,0.0532,0,0.39,0.387,-12.37,0.264,-7.12,0.248,-4.56
ZR,Rough Rice,grains,10474,0.0166,0.0036,0.976,1,0.000231,0,0.505,1.028,4.38,1.039,2.76,1.06,2.58
ZS,Soybeans,grains,10255,-0.0146,-0.0261,0.0566,0,0.29,0,0.496,0.953,-1.01,0.924,-0.91,0.959,-0.31
ZW,Chicago Wheat,grains,10500,-0.2629,0.0596,1.89e-171,0,0.107,0,0.41,0.535,-4.8,0.423,-3.42,0.359,-2.92
GF,Feeder Cattle,livestock,10212,0.0153,-0.008,0.0226,1.76e-46,0.978,0,0.491,1.023,0.65,0.936,-0.9,0.998,-0.02
HE,Lean Hogs,livestock,10195,0.0218,0.0001,0.0947,0.99,0.000442,0,0.484,1.068,3.14,1.079,1.55,0.992,-0.09
LE,Live Cattle,livestock,10192,0.0226,0.0017,6.45e-06,7.68e-16,0.885,0,0.47,1.039,1.43,0.935,-1.09,0.922,-0.76
GC,Gold,metals,10101,-0.0066,0.0194,2.71e-05,9.74e-246,0.996,0,0.469,0.968,-0.93,0.916,-1.13,0.803,-1.6
HG,Copper,metals,8256,-0.0472,0.004,0.00266,1.2e-150,0.791,0,0.487,0.925,-2.15,0.916,-1.13,0.902,-0.78
PA,Palladium,metals,10546,0.0456,-0.0017,1.13e-05,0,0.671,0,0.486,1.032,0.9,0.952,-0.64,0.954,-0.38
PL,Platinum,metals,10507,0.0123,-0.0056,0.000144,0,0.523,0,0.486,0.99,-0.27,0.934,-0.84,0.92,-0.61
SI,Silver,metals,10098,-0.0097,0.0019,0.0836,0,0.952,0,0.476,0.986,-0.37,0.916,-0.97,0.852,-1.06
ZB,30-Year T-Bond,rates,10390,-0.0106,-0.0066,0.000241,1.38e-138,0.216,0,0.5,0.949,-1.78,0.96,-0.62,0.966,-0.32
