market,6A,6B,6E,6N,BZ,CC,CL,CT,DC,ES,GC,GF,HE,HG,HO,KC,LBR,LE,NG,NKD,NQ,PA,PL,RB,RTY,SB,SI,VX,YM,ZB,ZC,ZF,ZN,ZO,ZR,ZS,ZT,ZW
6A,1.0,0.56,0.309,0.766,0.192,0.056,0.18,0.083,0.029,0.227,0.324,0.04,0.009,0.32,0.165,0.085,0.073,0.064,0.055,0.158,0.236,0.256,0.299,0.264,0.344,0.09,0.356,-0.278,0.296,-0.063,0.1,-0.022,-0.045,0.033,-0.004,0.153,0.001,0.067
6B,0.56,1.0,0.484,0.547,0.102,0.087,0.09,0.063,0.04,0.07,0.256,0.021,0.018,0.176,0.098,0.054,0.028,0.038,0.045,0.185,0.058,0.174,0.206,0.173,0.129,0.063,0.253,-0.099,0.089,0.014,0.068,0.069,0.036,0.022,0.017,0.099,0.091,0.033
6E,0.309,0.484,1.0,0.309,0.061,0.075,0.059,0.063,0.03,0.038,0.307,0.016,0.005,0.165,0.06,0.059,0.015,0.023,0.038,0.178,-0.003,0.175,0.227,0.117,0.072,0.066,0.265,-0.043,0.036,0.043,0.072,0.11,0.074,0.031,0.026,0.097,0.136,0.05
6N,0.766,0.547,0.309,1.0,0.148,0.038,0.124,0.067,0.037,0.186,0.299,0.034,0.005,0.259,0.114,0.07,0.049,0.047,0.05,0.144,0.196,0.218,0.251,0.184,0.307,0.071,0.32,-0.246,0.242,-0.024,0.078,0.01,-0.011,0.028,0.019,0.111,0.031,0.063
BZ,0.192,0.102,0.061,0.148,1.0,0.023,0.836,0.095,0.066,0.13,0.173,0.033,0.033,0.187,0.766,0.072,0.059,0.04,0.142,0.026,0.078,0.142,0.159,0.767,0.152,0.101,0.193,-0.115,0.11,-0.141,0.115,-0.11,-0.119,0.022,0.012,0.141,-0.075,0.095
CC,0.056,0.087,0.075,0.038,0.023,1.0,0.031,-0.055,0.088,0.031,0.053,0.02,0.017,0.042,0.041,0.063,0.016,0.024,0.009,0.034,0.024,0.018,0.034,0.098,0.033,0.04,0.061,-0.049,0.022,-0.007,-0.092,0.002,0.0,0.047,0.011,0.029,-0.005,-0.053
CL,0.18,0.09,0.059,0.124,0.836,0.031,1.0,0.098,0.094,0.115,0.166,0.039,0.048,0.182,0.735,0.076,0.051,0.051,0.162,0.013,0.066,0.128,0.151,0.698,0.144,0.091,0.188,-0.109,0.102,-0.149,0.133,-0.106,-0.121,0.029,0.025,0.141,-0.073,0.107
CT,0.083,0.063,0.063,0.067,0.095,-0.055,0.098,1.0,-0.093,0.107,0.062,-0.002,0.023,0.141,0.078,0.061,0.034,0.046,0.02,0.014,0.086,0.091,0.088,0.181,0.124,0.074,0.103,-0.071,0.082,-0.04,0.335,-0.049,-0.054,-0.064,0.013,0.155,-0.037,0.163
DC,0.029,0.04,0.03,0.037,0.066,0.088,0.094,-0.093,1.0,0.038,0.022,-0.027,-0.009,0.067,0.099,0.008,0.044,0.05,-0.019,0.017,0.026,0.032,0.029,0.099,0.039,0.068,0.035,-0.024,0.034,-0.019,-0.025,-0.008,-0.014,0.115,0.051,0.092,0.005,-0.078
ES,0.227,0.07,0.038,0.186,0.13,0.031,0.115,0.107,0.038,1.0,-0.015,0.094,0.025,0.234,0.097,0.061,0.11,0.078,0.029,0.049,0.842,0.156,0.144,0.278,0.849,0.036,0.109,-0.703,0.961,-0.097,0.067,-0.121,-0.114,-0.001,0.028,0.091,-0.118,0.05
GC,0.324,0.256,0.307,0.299,0.173,0.053,0.166,0.062,0.022,-0.015,1.0,-0.005,0.004,0.229,0.155,0.067,0.013,0.032,0.051,0.126,-0.025,0.347,0.505,0.152,0.018,0.079,0.739,0.004,-0.032,0.054,0.097,0.101,0.086,0.042,0.047,0.118,0.103,0.069
GF,0.04,0.021,0.016,0.034,0.033,0.02,0.039,-0.002,-0.027,0.094,-0.005,1.0,0.13,0.035,0.016,0.02,0.029,0.482,0.012,0.045,0.079,0.046,0.037,0.049,0.107,0.019,0.023,-0.084,0.093,-0.038,-0.106,-0.036,-0.033,-0.013,-0.007,-0.034,-0.039,-0.05
HE,0.009,0.018,0.005,0.005,0.033,0.017,0.048,0.023,-0.009,0.025,0.004,0.13,1.0,0.031,0.018,0.012,0.02,0.127,0.004,0.014,0.021,0.022,0.023,0.024,0.029,0.024,0.029,-0.029,0.027,-0.014,0.038,-0.015,-0.013,0.007,0.006,0.063,-0.018,0.04
HG,0.32,0.176,0.165,0.259,0.187,0.042,0.182,0.141,0.067,0.234,0.229,0.035,0.031,1.0,0.154,0.097,0.082,0.06,0.04,0.117,0.171,0.259,0.288,0.282,0.234,0.098,0.315,-0.194,0.231,-0.106,0.122,-0.066,-0.086,0.036,0.076,0.161,-0.041,0.083
