a,b,corr,overlap_obs
ES,YM,0.961,9856
ZF,ZN,0.874,10283
ZB,ZN,0.873,10382
ES,RTY,0.849,9463
ZF,ZT,0.845,10319
ES,NQ,0.842,9913
BZ,CL,0.836,9721
RTY,YM,0.801,9318
ZB,ZF,0.797,10275
NQ,RTY,0.769,9480
BZ,RB,0.767,5150
6A,6N,0.766,14135
BZ,HO,0.766,9620
NQ,YM,0.748,9757
ZN,ZT,0.744,10444
GC,SI,0.739,10067
CL,HO,0.735,9874
HO,RB,0.721,5138
CL,RB,0.698,5108
ZB,ZT,0.633,10388
PA,PL,0.56,10464
6A,6B,0.56,14183
ZC,ZS,0.551,9940
6B,6N,0.547,14135
PL,SI,0.546,10044
GC,PL,0.505,10025
6B,6E,0.484,13077
GF,LE,0.482,10169
ZC,ZW,0.436,10437
PA,SI,0.403,10082
6A,SI,0.356,10077
GC,PA,0.347,10093
6A,RTY,0.344,9490
CT,ZC,0.335,9626
6A,GC,0.324,10082
6N,SI,0.32,10083
6A,HG,0.32,8241
HG,SI,0.315,8248
6A,6E,0.309,12937
6E,6N,0.309,12912
6N,RTY,0.307,9495
6E,GC,0.307,9923
6N,GC,0.299,10088
6A,PL,0.299,10480
6A,YM,0.296,10286
HG,PL,0.288,8252
HG,RB,0.282,4475
ES,RB,0.278,5012
ZS,ZW,0.277,9959
RB,YM,0.276,5000
6E,SI,0.265,9938
6A,RB,0.264,5135
HG,PA,0.259,8248
6N,HG,0.259,8247
6A,PA,0.256,10519
6B,GC,0.256,10082
RB,RTY,0.254,4997
6B,SI,0.253,10077
6N,PL,0.251,10486
6N,YM,0.242,10292
6A,NQ,0.236,9931
HG,RTY,0.234,8102
ES,HG,0.234,8111
PA,RB,0.233,5152
HG,YM,0.231,7971
GC,HG,0.229,8246
6E,PL,0.227,10346
6A,ES,0.227,13410
RB,ZS,0.222,5048
PL,RB,0.219,5156
6N,PA,0.218,10525
NQ,RB,0.215,5016
RB,SI,0.21,5146
HO,NG,0.207,8651
6B,PL,0.206,10480
6N,NQ,0.196,9937
BZ,SI,0.193,10020
6A,BZ,0.192,10356
PA,RTY,0.189,9498
CL,SI,0.188,9452
BZ,HG,0.187,8230
6N,ES,0.186,13396
6B,NKD,0.185,9984
6N,RB,0.184,5141
CL,HG,0.182,8133
CT,RB,0.181,4549
6A,CL,0.18,10031
RB,ZC,0.178,5082
6E,NKD,0.178,9832
PL,RTY,0.176,9498
6B,HG,0.176,8241
6E,PA,0.175,10347
6B,PA,0.174,10519
BZ,GC,0.173,10029
6B,RB,0.173,5135
HG,NQ,0.171,8126
CL,GC,0.166,9429
6E,HG,0.165,8178
6A,HO,0.165,10137
RB,SB,0.163,5028
CT,ZW,0.163,9650
SI,ZS,0.163,9555
HO,SI,0.163,9351
CL,NG,0.162,8745
HG,ZS,0.161,8154
BZ,PL,0.159,10281
6A,NKD,0.158,9984
ES,PA,0.156,9871
GC,HO,0.155,9332
CT,ZS,0.155,9420
HG,HO,0.154,8035
6A,ZS,0.153,10237
RTY,SI,0.152,9486
BZ,RTY,0.152,9459
NKD,SI,0.152,9143
GC,RB,0.152,5142
CL,PL,0.151,9893
VX,ZF,0.15,9083
6N,BZ,0.148,10362
VX,ZN,0.147,9093
NKD,PL,0.145,9517
ES,PL,0.144,9908
6N,NKD,0.144,9963
CL,RTY,0.144,9342
PA,YM,0.143,10105
BZ,PA,0.142,10352
BZ,NG,0.142,9306
BZ,ZS,0.141,9804
CT,HG,0.141,7496
CL,ZS,0.141,9954
VX,ZT,0.14,9083
HO,PL,0.139,9796
VX,ZB,0.137,9067
HO,ZS,0.136,9916
6E,ZT,0.136,10280
PA,ZS,0.135,9955
CL,ZC,0.133,9802
PL,YM,0.132,10068
KC,RB,0.132,4957
ZO,ZS,0.131,9971
GF,HE,0.13,10157
BZ,ES,0.13,9729
RB,ZW,0.129,5076
6B,RTY,0.129,9490
CL,PA,0.128,9852
HE,LE,0.127,10164
PL,ZS,0.127,9966
GC,NKD,0.126,9123
SB,ZS,0.125,10070
NG,RB,0.124,5150
CT,RTY,0.124,8733
6N,CL,0.124,10037
SI,ZC,0.124,9977
NQ,PA,0.123,9888
HG,ZC,0.122,8167
