market,obs,Mon_bps,Mon_t,Tue_bps,Tue_t,Wed_bps,Wed_t,Thu_bps,Thu_t,Fri_bps,Fri_t
6A,14183,-1.62,-1.2,-1.52,-0.69,0.3,0.23,0.5,0.42,-0.42,-0.37
6B,14452,-0.61,-0.56,-0.93,-0.46,2.89,2.77,0.22,0.2,-4.37,-3.96
6E,13077,-1.05,-0.88,0.85,0.75,2.21,1.92,0.28,0.25,-3.69,-1.67
6N,14141,-1.49,-1.04,-1.85,-0.84,0.42,0.32,-0.62,-0.5,1.35,1.01
BZ,10375,-8.18,-1.45,-4.72,-0.97,7.07,1.36,15.92,3.15,11.88,2.58
CC,10397,-0.21,-0.02,-12.37,-1.48,11.99,1.6,24.3,3.13,13.32,1.7
CL,10050,-3.64,-0.55,-7.63,-1.44,6.38,1.08,12.9,2.27,12.25,2.51
CT,10165,-14.23,-2.22,28.8,5.1,11.6,2.79,-6.43,-1.2,-6.6,-1.39
DC,5339,34.61,3.14,-9.03,-1.05,-16.74,-2.22,24.08,2.76,-4.22,-0.45
ES,24281,-6.61,-3.3,5.54,3.41,7.9,4.78,3.56,2.28,4.92,3.13
GC,10101,-1.17,-0.54,0.53,0.24,2.47,1.15,2.36,1.08,8.38,3.66
GF,10212,1.71,0.75,5.17,2.48,0.19,0.11,2.91,1.53,-1.46,-0.53
HE,10195,-11.11,-1.89,-2.86,-0.61,2.87,0.71,2.33,0.51,12.35,2.48
HG,8256,-9.19,-2.32,-1.23,-0.31,7.09,1.73,2.24,0.6,9.78,2.43
HO,10158,-10.7,-1.75,-1.36,-0.28,14.17,2.78,16.3,3.35,-0.85,-0.18
KC,10226,3.5,0.53,11.9,2.14,11.92,2.26,1.53,0.3,-11.44,-2.33
LBR,10184,-4.51,-0.77,-28.05,-5.49,-0.39,-0.08,34.51,7.14,15.69,3.26
LE,10192,-5.92,-2.06,0.39,0.16,2.19,0.98,1.56,0.7,7.93,3.32
NG,9320,12.49,1.07,23.91,2.59,17.07,1.97,-25.15,-2.58,14.35,1.77
NKD,9986,-3.18,-0.87,3.93,1.19,4.62,1.39,9.62,2.93,-3.13,-0.96
NQ,9946,2.92,0.75,8.15,2.21,16.4,4.6,7.19,2.01,-0.94,-0.28
PA,10546,0.53,0.12,5.67,1.27,7.24,1.51,3.95,0.88,5.04,1.15
PL,10507,2.07,0.62,1.0,0.3,6.17,1.97,0.12,0.04,2.54,0.78
RB,5160,-28.82,-3.44,4.61,0.59,11.71,1.43,17.13,2.26,16.86,2.46
RTY,9504,-2.8,-0.8,7.15,2.34,6.48,2.16,4.28,1.38,6.26,2.19
SB,10249,-6.93,-0.97,0.53,0.09,11.0,1.99,3.44,0.6,8.68,1.43
SI,10098,1.11,0.29,2.24,0.55,7.74,2.03,2.42,0.58,4.73,1.12
VX,9159,195.23,10.61,-16.11,-1.07,-32.41,-2.12,22.79,1.43,-73.22,-4.38
YM,10301,5.45,1.93,8.06,3.37,4.86,2.14,0.93,0.39,1.74,0.76
ZB,10390,-5.5,-1.74,6.95,1.94,-1.32,-0.4,2.6,0.76,8.63,2.32
ZC,10487,-11.08,-2.0,27.85,5.31,2.92,0.76,-3.76,-0.99,-2.01,-0.46
ZF,10323,-1.8,-3.01,1.25,1.78,0.85,1.31,0.24,0.35,0.47,0.64
ZN,10482,-2.71,-2.29,3.17,2.41,0.2,0.16,2.06,1.54,0.65,0.46
ZO,10516,21.67,2.0,28.83,2.43,-4.63,-0.43,8.11,0.78,10.4,1.02
ZR,10474,4.22,1.22,-7.74,-2.31,18.97,0.99,3.93,1.14,11.99,3.37
ZS,10255,-4.38,-1.11,4.17,1.4,5.78,1.99,0.28,0.09,4.03,1.25
ZT,10484,-0.82,-3.64,0.46,1.83,0.2,0.83,0.3,1.21,0.32,1.12
ZW,10500,-0.63,-0.08,18.39,2.99,11.62,1.98,-5.93,-1.12,0.42,0.06
