market,obs,Jan_bps,Jan_t,Feb_bps,Feb_t,Mar_bps,Mar_t,Apr_bps,Apr_t,May_bps,May_t,Jun_bps,Jun_t,Jul_bps,Jul_t,Aug_bps,Aug_t,Sep_bps,Sep_t,Oct_bps,Oct_t,Nov_bps,Nov_t,Dec_bps,Dec_t
6A,14183,-3.89,-0.87,-1.45,-0.74,-0.37,-0.19,2.28,1.26,-2.41,-1.3,0.73,0.41,-0.51,-0.29,-2.31,-1.38,-1.15,-0.55,0.74,0.3,-0.53,-0.2,2.29,1.46
6B,14452,-5.39,-1.21,-2.07,-1.26,-0.04,-0.02,3.31,2.14,-2.07,-1.34,-1.2,-0.65,1.85,1.16,-2.32,-1.5,-1.64,-0.87,0.52,0.3,-0.27,-0.16,2.54,1.61
6E,13077,-9.33,-1.89,-0.62,-0.34,-1.16,-0.63,1.6,0.9,-2.66,-1.48,0.54,0.32,0.77,0.47,0.05,0.03,2.28,1.17,0.45,0.26,-0.5,-0.28,5.39,3.23
6N,14141,-4.4,-0.96,0.37,0.2,-1.51,-0.73,3.32,1.93,-2.92,-1.61,-0.11,-0.05,-1.47,-0.82,-2.86,-1.05,-0.25,-0.11,0.9,0.4,1.62,0.75,2.58,1.33
BZ,10375,6.88,0.77,8.29,1.15,11.14,1.14,20.48,2.25,2.94,0.42,2.72,0.4,4.01,0.6,10.46,1.4,6.96,0.92,-8.01,-1.05,-11.03,-1.4,-1.12,-0.14
CC,10397,3.41,0.35,11.91,0.86,12.02,0.86,15.62,1.35,-2.85,-0.18,5.26,0.55,12.8,0.87,14.07,1.4,1.68,0.1,-12.75,-2.08,20.07,1.73,10.55,0.67
CL,10050,-3.83,-0.38,2.81,0.33,15.44,1.45,24.47,2.03,7.05,0.9,6.8,0.89,5.71,0.82,7.34,0.99,7.39,0.9,-8.89,-1.17,-12.42,-1.48,-1.84,-0.21
CT,10165,8.84,1.04,10.7,1.28,0.02,0.0,11.27,1.49,-7.29,-0.9,-7.45,-1.06,-10.46,-0.83,-0.62,-0.12,-0.49,-0.05,0.3,0.05,7.41,0.92,17.94,2.05
DC,5339,-12.33,-0.7,13.89,1.02,15.23,1.68,17.06,1.09,20.25,2.07,4.21,0.47,2.95,0.18,4.32,0.33,-7.49,-0.46,2.98,0.22,20.35,1.24,-16.0,-0.95
ES,24281,5.77,2.55,-0.02,-0.01,2.33,0.87,6.78,2.68,-0.25,-0.1,3.98,1.59,8.22,3.5,2.87,1.22,-5.08,-1.75,3.06,0.9,4.74,1.61,5.2,2.28
GC,10101,6.9,1.95,3.55,0.9,-0.93,-0.27,2.74,0.82,0.41,0.13,-2.67,-0.75,3.47,1.21,3.27,1.01,5.43,1.44,0.4,0.11,5.3,1.57,2.53,0.79
GF,10212,-3.33,-1.05,0.23,0.07,1.8,0.56,0.39,0.1,10.9,2.43,8.94,2.68,4.6,1.44,0.02,0.01,-1.61,-0.55,-0.99,-0.38,-1.58,-0.43,0.08,0.03
HE,10195,8.05,1.5,5.43,0.77,4.56,0.85,45.37,4.13,11.38,1.7,-4.85,-0.83,-10.2,-1.48,-57.46,-5.24,16.12,2.82,-15.56,-2.03,3.45,0.65,13.64,1.82
HG,8256,0.78,0.12,4.96,0.76,6.59,1.17,4.48,0.66,-4.07,-0.7,1.65,0.24,8.12,1.27,-3.49,-0.67,-2.36,-0.39,2.2,0.36,3.63,0.57,1.72,0.32
HO,10158,-0.48,-0.05,6.67,0.73,6.47,0.64,5.58,0.64,-7.39,-0.97,9.08,1.36,7.12,1.13,21.6,3.04,7.59,1.04,-6.05,-0.86,-3.32,-0.45,-1.21,-0.16
KC,10226,-2.73,-0.38,12.88,1.65,-4.01,-0.47,9.5,1.3,0.16,0.02,-11.64,-1.46,8.05,0.73,12.46,1.66,-7.18,-0.76,2.6,0.34,10.34,1.21,13.21,1.36
LBR,10184,15.47,1.76,13.69,2.06,-1.63,-0.18,-4.54,-0.68,5.44,0.6,-3.86,-0.58,-6.26,-0.67,9.2,1.41,-28.01,-2.64,7.12,1.19,28.7,2.97,12.27,2.12
LE,10192,4.21,1.37,9.08,2.73,-4.16,-1.1,-5.86,-1.27,-13.48,-2.86,-0.83,-0.21,4.79,1.28,5.82,1.86,2.65,0.79,9.8,2.76,2.33,0.64,2.22,0.6
NG,9320,-10.79,-0.52,-9.29,-0.58,10.51,0.99,19.73,1.77,17.22,1.64,2.66,0.25,-8.47,-0.8,9.18,0.82,53.05,2.84,37.05,2.7,11.15,0.55,-30.72,-1.72
NKD,9986,2.96,0.51,4.68,0.95,2.33,0.4,9.11,1.7,-1.55,-0.33,1.48,0.32,3.42,0.78,-0.78,-0.15,-2.1,-0.38,1.92,0.31,1.43,0.26,6.09,1.3
NQ,9946,12.92,2.12,4.65,0.88,4.35,0.73,11.26,1.74,9.05,1.78,4.28,0.89,8.3,1.64,2.57,0.52,-1.3,-0.25,8.51,1.27,11.09,1.95,7.06,1.32
PA,10546,16.54,2.37,14.81,1.99,7.02,0.86,5.26,0.71,-7.04,-0.99,-3.04,-0.4,11.6,1.93,-6.21,-0.93,-3.31,-0.49,4.3,0.64,2.07,0.33,12.1,1.71
PL,10507,15.52,2.87,10.54,1.94,-0.84,-0.15,4.16,0.84,2.92,0.62,-5.98,-1.24,3.68,0.86,0.52,0.1,-8.55,-1.54,1.43,0.29,3.23,0.63,2.41,0.47
