market,turn_of_month_bps,turn_t,turn_obs,rest_of_month_bps,rest_t,rest_obs,spread_bps
6A,-1.15,-0.51,2667,-0.41,-0.64,11516,-0.74
6B,-1.71,-0.78,2667,-0.3,-0.56,11785,-1.41
6E,-2.03,-0.87,2475,0.13,0.23,10602,-2.16
6N,0.76,0.34,2667,-0.7,-1.04,11474,1.47
BZ,11.31,1.97,1930,2.84,1.15,8445,8.47
CC,9.47,1.06,1993,7.06,1.76,8404,2.41
CL,7.94,1.39,1990,3.39,1.19,8060,4.54
CT,11.82,1.87,2048,0.34,0.13,8117,11.49
DC,-18.49,-1.38,1022,11.21,2.87,4317,-29.69
ES,12.57,7.54,4730,0.89,1.05,19551,11.68
GC,4.1,1.72,1870,2.16,1.99,8231,1.95
GF,-0.88,-0.36,2010,2.29,2.19,8202,-3.18
HE,2.66,0.7,2014,0.5,0.2,8181,2.16
HG,5.91,1.51,1822,0.85,0.43,6434,5.06
HO,-1.17,-0.2,2032,5.15,2.1,8126,-6.31
KC,11.08,2.03,2026,1.62,0.59,8200,9.46
LBR,5.65,1.27,2014,3.46,1.3,8170,2.19
LE,-6.93,-2.27,2014,3.38,3.01,8178,-10.3
NG,-5.89,-0.57,1742,11.81,2.52,7578,-17.7
NKD,0.26,0.08,2037,2.99,1.78,7949,-2.73
NQ,14.32,3.85,1961,5.04,2.8,7985,9.28
PA,9.03,1.94,1952,3.46,1.53,8594,5.57
PL,9.26,2.6,1958,0.81,0.51,8549,8.45
RB,1.27,0.13,998,5.51,1.51,4162,-4.23
RTY,11.01,3.54,1875,2.73,1.76,7629,8.28
SB,13.33,1.83,2018,1.2,0.42,8231,12.13
SI,11.55,2.56,1874,1.85,0.94,8224,9.7
VX,32.64,1.9,1754,14.8,1.82,7405,17.84
YM,8.56,3.76,1982,3.14,2.54,8319,5.41
ZB,6.06,1.64,1949,1.41,0.83,8441,4.65
ZC,6.71,1.18,1958,1.89,0.87,8529,4.82
ZF,2.63,3.6,1926,-0.35,-1.05,8397,2.98
ZN,2.32,1.73,1958,0.3,0.47,8524,2.02
ZO,26.63,2.18,1960,9.65,1.84,8556,16.98
ZR,9.13,2.52,1962,5.66,1.14,8512,3.47
ZS,6.46,1.98,2006,0.98,0.61,8249,5.48
ZT,1.11,4.28,1958,-0.14,-1.14,8526,1.25
ZW,10.15,1.43,1958,3.53,1.11,8542,6.62
