year,6A,6B,6E,6N,BZ,CC,CL,CT,DC,ES,GC,GF,HE,HG,HO,KC,LBR,LE,NG,NKD,NQ,PA,PL,RB,RTY,SB,SI,VX,YM,ZB,ZC,ZF,ZN,ZO,ZR,ZS,ZT,ZW
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,,,,,,,,,,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,51.1,49.4,,52.5,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.7,4.6,,2.4,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,5.7,6.2,,12.5,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,12.5,7.0,,10.7,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,3.2,5.2,50.3,15.8,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,18.4,9.2,3.4,9.3,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,3.2,5.0,4.1,3.3,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,4.2,8.3,9.6,6.5,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,2.7,8.7,5.8,8.0,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,3.2,7.8,8.4,4.4,,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,4.1,13.4,13.3,6.7,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,4.9,9.1,9.4,5.8,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,11.8,8.4,8.2,10.2,,,,45.9,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,7.5,9.9,10.1,5.4,,,,30.9,,12.7,,8.8,23.4,,18.8,19.8,32.1,10.7,,15.3,,,,,,111.0,,,,,,,,,,16.7,,
1985,16.4,16.7,13.7,26.4,,42.6,20.5,31.7,,10.2,,17.9,29.8,,23.1,26.4,36.4,21.4,,12.2,13.2,36.8,24.1,,,99.9,,,9.6,11.0,21.5,,9.9,16.1,0.0,16.0,1.8,17.8
1986,11.9,10.3,11.8,14.8,63.5,56.2,66.7,76.8,,14.2,,19.2,35.1,,62.8,45.9,35.6,25.4,,20.2,14.3,31.7,33.4,,,87.4,,,15.2,32.5,38.3,5.4,12.5,24.5,388.2,16.9,2.1,50.0
1987,9.0,9.6,10.2,12.9,30.4,40.7,25.7,43.8,,32.3,13.2,12.8,34.0,,25.3,30.4,29.8,19.9,,29.0,33.7,29.1,28.8,,34.9,68.2,33.9,,34.3,40.3,40.8,9.1,14.1,29.6,34.5,18.7,2.7,26.5
1988,9.9,10.3,9.3,12.4,37.0,88.2,35.3,38.5,,16.5,12.5,14.1,31.1,29.7,32.2,26.3,18.8,17.8,,13.7,16.6,22.7,27.4,,9.8,97.7,25.2,,17.9,27.8,45.5,4.7,9.2,37.9,33.3,33.9,1.8,33.2
1989,12.7,12.3,10.7,9.9,25.2,119.8,35.0,35.2,,13.2,13.2,8.2,28.7,33.9,31.8,38.2,15.0,14.2,,14.7,13.6,24.5,19.5,,8.1,42.5,18.7,,14.0,22.4,21.3,5.2,8.6,29.7,17.0,23.9,2.4,15.7
1990,10.6,9.9,8.7,8.3,54.1,120.1,59.6,39.6,,15.9,16.9,8.5,26.1,32.5,54.5,29.6,19.7,13.9,63.6,36.7,21.8,20.4,19.0,,13.3,32.9,17.9,124.7,16.1,26.6,21.7,4.4,9.1,28.0,25.4,17.3,2.0,24.9
1991,6.4,12.3,13.0,7.7,53.6,65.4,52.4,39.1,,14.3,12.1,10.8,27.4,17.1,53.9,26.0,27.0,13.6,49.7,24.2,20.9,25.6,16.8,,12.5,42.2,21.6,105.8,14.6,20.9,20.1,3.5,7.0,28.6,15.9,21.9,1.5,26.7
