market,vol63d_now_pct,pctile_vs_history,median_pct,p05_pct,p95_pct,vol_of_vol,as_of
SI,52.2,96.4,23.7,13.6,49.1,2.7,2026-07-02
PL,39.8,96.2,19.8,11.2,37.7,2.4,2026-07-02
BZ,59.2,94.6,30.2,16.1,61.1,2.8,2026-07-02
HO,61.0,94.0,30.7,17.2,63.9,2.7,2026-07-02
CL,65.5,93.6,32.1,16.8,71.7,2.7,2026-07-02
GC,23.2,91.7,13.4,6.5,26.3,2.9,2026-07-02
NKD,32.9,89.6,21.2,11.9,38.9,2.7,2026-07-02
PA,44.3,89.0,27.9,14.7,54.7,2.7,2026-07-02
RB,45.1,81.9,33.8,21.4,61.8,3.2,2026-07-02
CC,64.8,74.9,45.2,22.0,109.9,3.1,2026-07-02
HG,27.8,74.2,23.0,14.7,40.4,2.5,2026-07-02
GF,16.3,70.9,13.1,7.1,25.8,4.2,2026-07-02
VX,118.0,70.6,96.7,62.8,183.3,3.7,2026-07-02
RTY,20.2,68.7,17.2,7.2,37.5,2.7,2026-07-02
NQ,23.2,67.3,18.6,11.7,48.9,2.5,2026-07-02
ZR,23.9,61.5,21.9,11.7,44.9,,2026-07-02
ES,13.6,55.5,12.7,7.1,34.4,2.8,2026-07-02
6N,9.6,53.8,9.2,2.8,18.2,8.8,2026-07-03
ZW,31.4,52.3,30.7,18.6,88.5,3.7,2026-07-02
LE,16.3,51.7,16.0,9.7,25.9,4.2,2026-07-02
YM,13.0,50.2,13.0,7.8,28.2,3.0,2026-07-02
ZO,40.6,49.1,41.2,21.0,158.6,3.8,2026-07-02
KC,34.6,47.1,35.2,20.6,61.0,2.5,2026-07-02
CT,29.9,45.3,31.2,18.3,60.6,5.6,2026-07-02
ZT,1.4,41.5,1.6,0.4,2.9,2.7,2026-07-02
6A,7.9,39.2,8.7,2.0,17.3,,2026-07-03
HE,27.5,36.3,31.1,17.4,53.4,6.6,2026-07-02
ZF,3.8,35.0,4.3,2.4,7.3,2.5,2026-07-02
ZC,23.0,32.0,28.0,15.4,55.7,3.5,2026-07-02
NG,42.4,28.6,53.7,28.9,111.2,3.5,2026-07-02
SB,26.6,27.8,31.8,19.7,82.4,2.7,2026-07-02
ZN,6.9,26.4,8.3,5.3,14.4,2.3,2026-07-02
ZS,15.7,21.9,19.2,11.9,37.3,2.7,2026-07-02
DC,20.3,18.3,30.3,13.7,107.7,6.1,2026-07-02
6B,6.1,17.1,8.2,4.0,15.1,5.5,2026-07-03
ZB,17.0,14.4,22.4,14.9,38.7,2.3,2026-07-02
6E,4.9,8.2,8.6,4.4,14.3,2.6,2026-07-03
LBR,13.3,1.6,32.5,17.9,61.6,3.6,2026-07-02
