market,start,trough,end,depth_pct,length_days,recovery_days
6A,1973-12-11,2001-04-02,2026-07-03,-67.2,13482,6562
6A,1972-08-09,1973-08-01,1973-09-07,-1.5,256,25
6A,1971-08-27,1971-08-31,1971-09-17,-0.7,16,13
6A,1971-02-04,1971-04-02,1971-08-16,-0.4,136,96
6A,1972-01-17,1972-01-20,1972-08-07,-0.4,135,131
6B,1972-03-10,1985-02-26,2026-07-03,-60.2,14144,10761
6B,1971-08-27,1971-08-31,1971-09-17,-0.8,16,13
6B,1972-02-03,1972-02-15,1972-02-23,-0.5,15,6
6B,1971-10-08,1971-10-08,1971-10-11,-0.4,2,1
6B,1971-10-13,1971-10-14,1971-10-19,-0.4,5,3
6E,1978-10-31,1985-02-26,1990-10-15,-54.3,2950,1390
6E,1991-02-12,2000-10-25,2008-02-25,-44.4,4335,1913
6E,2008-04-23,2022-09-27,2026-07-03,-39.4,4721,979
6E,1975-03-04,1976-07-26,1978-10-16,-15.5,898,550
6E,1990-11-20,1991-01-16,1991-02-05,-5.8,51,14
6N,1973-11-09,2000-11-21,2026-07-03,-63.8,13473,6662
6N,1973-07-10,1973-07-17,1973-09-07,-3.4,42,36
6N,1972-01-17,1973-03-09,1973-04-10,-2.0,289,22
6N,1973-04-17,1973-06-14,1973-07-06,-1.8,55,14
6N,1971-08-27,1971-08-31,1971-09-14,-0.8,11,8
BZ,2008-07-04,2020-04-21,2026-07-02,-88.8,4627,1575
BZ,1990-10-10,1998-12-10,2004-07-29,-75.7,3596,1470
BZ,1986-05-20,1986-07-22,1986-12-12,-44.3,149,103
BZ,1987-08-04,1988-10-05,1989-03-24,-43.5,421,118
BZ,2006-08-08,2007-01-11,2007-09-18,-34.0,291,178
CC,2024-04-22,2026-02-27,2026-07-02,-75.2,552,87
CC,1985-04-22,2000-12-12,2008-02-14,-72.9,5954,1872
CC,2011-03-04,2017-05-03,2023-11-02,-55.5,2932,1574
CC,2008-07-02,2008-11-12,2009-10-20,-43.1,340,244
CC,2010-01-19,2010-09-15,2011-02-21,-25.4,285,113
CL,2008-07-15,2020-04-17,2021-10-18,-89.3,3292,373
CL,1990-10-12,1998-06-15,2005-08-09,-80.4,3498,1698
CL,1985-11-21,1986-03-27,1990-09-21,-60.8,1174,1093
CL,2022-03-09,2025-12-16,2026-03-27,-45.3,1012,71
CL,2026-04-08,2026-07-01,2026-07-02,-39.3,62,1
CT,2011-03-07,2020-04-01,2026-07-02,-80.5,3524,1535
CT,1991-05-21,2001-10-25,2010-10-22,-79.4,4602,2044
CT,1984-05-30,1986-09-01,1990-06-22,-67.8,1579,992
CT,1990-07-06,1990-11-22,1991-05-17,-27.0,226,126
CT,2010-11-10,2010-11-23,2010-12-17,-25.2,28,18
DC,2006-07-05,2020-04-01,2026-07-02,-74.8,5042,1488
DC,2005-09-02,2005-11-23,2006-05-08,-26.5,161,104
DC,2006-06-21,2006-07-03,2006-07-03,-23.9,9,0
DC,2006-05-15,2006-05-15,2006-05-18,-8.1,4,3
DC,2006-06-15,2006-06-15,2006-06-16,-6.3,2,1
ES,1929-09-17,1932-06-01,1954-09-21,-86.2,6248,5570
ES,2007-07-20,2009-03-09,2013-05-06,-54.5,1409,1012
ES,1972-12-12,1974-10-03,1980-07-11,-48.2,1849,1410
ES,2000-03-27,2002-07-23,2006-12-13,-42.6,1629,1070
ES,1968-12-02,1970-05-26,1972-11-01,-36.1,976,607
GC,1987-12-15,1999-08-25,2005-11-28,-49.4,4685,1633
GC,2011-09-06,2015-12-17,2023-11-30,-45.6,3171,2055
GC,2008-03-18,2008-11-12,2009-09-10,-29.1,388,216
GC,2026-01-29,2026-06-24,2026-07-02,-25.8,109,6
GC,2006-05-12,2006-06-14,2007-09-17,-22.2,352,328
GF,2014-10-09,2020-03-16,2023-07-31,-57.3,2164,824
GF,1993-08-09,1996-04-26,2003-09-10,-42.6,2453,1789
GF,2004-08-24,2008-12-09,2012-01-09,-40.2,1790,752
GF,2003-10-14,2004-02-10,2004-06-18,-25.6,165,87
GF,1985-01-29,1986-04-25,1987-06-19,-23.1,586,282
HE,1990-05-22,2020-04-16,2026-07-02,-91.9,8775,1510
HE,1986-08-18,1988-09-02,1990-05-16,-41.5,918,415
HE,1984-08-10,1985-08-26,1986-05-30,-34.0,441,185
HE,1986-06-23,1986-06-23,1986-07-01,-8.1,7,6
HE,1986-07-18,1986-07-22,1986-08-07,-6.6,15,12
