market,date,return_pct,rank
6A,1971-01-05,-49.98,worst
6A,1976-11-29,-17.51,worst
6A,1974-09-25,-11.95,worst
6A,1983-03-08,-10.02,worst
6A,2008-10-24,-7.03,worst
6A,2008-10-16,4.41,best
6A,1998-10-07,4.79,best
6A,1973-09-10,5.02,best
6A,2008-10-28,6.65,best
6A,2008-10-13,8.63,best
6B,1971-01-05,-49.98,worst
6B,2016-06-24,-8.05,worst
6B,1992-09-16,-4.05,worst
6B,1981-06-04,-3.77,worst
6B,1978-01-05,-3.75,worst
6B,1993-01-05,3.3,best
6B,1985-02-27,3.37,best
6B,1977-10-31,3.49,best
6B,1985-09-23,4.39,best
6B,1985-03-27,4.7,best
6E,1975-01-03,-49.68,worst
6E,1978-11-01,-4.91,worst
6E,1992-09-14,-3.33,worst
6E,1992-01-15,-3.22,worst
6E,1991-08-19,-3.03,worst
6E,1981-08-12,3.26,best
6E,1992-08-24,3.39,best
6E,2009-03-18,3.51,best
6E,1985-02-27,4.02,best
6E,1985-09-23,4.84,best
6N,1971-01-05,-49.98,worst
6N,1975-08-11,-15.02,worst
6N,1985-12-16,-9.41,worst
6N,1974-09-25,-8.96,worst
6N,1983-03-08,-8.6,worst
6N,1986-01-07,4.38,best
6N,2008-12-16,4.42,best
6N,1998-10-12,4.61,best
6N,1973-09-10,9.74,best
6N,1985-08-16,19.73,best
BZ,1991-01-17,-34.77,worst
BZ,2020-03-09,-26.51,worst
BZ,2020-04-21,-24.4,worst
BZ,2020-03-16,-14.88,worst
BZ,1990-10-22,-13.51,worst
BZ,2019-09-16,14.61,best
BZ,1986-08-05,15.42,best
BZ,1986-08-04,19.47,best
BZ,1986-07-16,19.89,best
BZ,2020-04-02,21.02,best
CC,1989-02-20,-31.34,worst
CC,1988-09-07,-26.62,worst
CC,1988-09-16,-26.62,worst
CC,1990-02-28,-26.24,worst
CC,1989-05-11,-25.01,worst
CC,1990-12-26,33.27,best
CC,1988-09-02,34.66,best
CC,1989-05-12,35.63,best
CC,1990-03-01,38.81,best
CC,1989-02-21,42.11,best
