market,name,sector,obs,ac1,ac5,ljungbox10_ret_p,ljungbox10_sq_p,adf_p_logprice,adf_p_return,hurst,vr5,vr5_z,vr21,vr21_z,vr63,vr63_z
BZ,Brent Crude,energy,5540,-0.0212,-0.0069,0.371,0,0.0401,0,0.524,0.96,-0.71,0.967,-0.26,1.162,0.78
CL,WTI Crude Oil,energy,5321,-0.0155,-0.0158,7.64e-07,0,0.0262,0,0.529,0.903,-1.2,1.031,0.18,1.143,0.52
HO,NY Harbor ULSD,energy,5355,-0.023,-0.0125,0.0928,0,0.0803,0,0.521,0.939,-1.31,0.965,-0.33,1.121,0.7
NG,Henry Hub Natural Gas,energy,5540,-0.1578,-0.0129,7.96e-28,1.11e-110,0.071,0,0.477,0.782,-3.22,0.734,-2.35,0.707,-1.73
RB,RBOB Gasoline,energy,5160,-0.0202,-0.0132,0.0491,5.66e-153,0.0227,0,0.539,0.962,-0.8,1.089,0.86,1.275,1.57
ES,E-mini S&P 500,equity_index,5240,-0.118,0.0068,1.79e-20,0,0.987,0,0.445,0.793,-2.72,0.696,-1.81,0.588,-1.58
NKD,Nikkei 225 (USD),equity_index,5059,-0.1462,0.0154,3.2e-21,0,0.966,0,0.456,0.753,-4.3,0.689,-2.62,0.605,-2.14
NQ,E-mini Nasdaq 100,equity_index,5244,-0.1109,0.0145,8.46e-20,0,0.99,0,0.466,0.8,-3.26,0.737,-1.98,0.685,-1.5
RTY,E-mini Russell 2000,equity_index,5237,-0.0928,-0.0144,3.33e-12,0,0.877,0,0.449,0.862,-2.14,0.77,-1.64,0.652,-1.58
YM,E-mini Dow,equity_index,5332,-0.1177,0.0053,2.44e-26,0,0.974,0,0.432,0.826,-2.12,0.732,-1.49,0.565,-1.6
6A,Australian Dollar,fx,5582,-0.0367,-0.0332,4.97e-05,0,0.449,0,0.493,0.943,-0.85,0.888,-0.75,0.92,-0.34
6B,British Pound,fx,5582,0.042,-0.0389,0.00531,2.09e-111,0.44,0,0.489,1.048,1.01,0.943,-0.57,0.971,-0.18
6E,Euro FX,fx,5582,0.0108,0.0068,0.344,7.31e-245,0.325,0,0.501,0.991,-0.24,0.99,-0.12,0.991,-0.06
6N,New Zealand Dollar,fx,5588,-0.003,-0.0195,0.0187,0,0.241,0,0.485,0.997,-0.08,0.95,-0.51,0.9,-0.6
ZC,Corn,grains,5492,-0.1547,0.0137,5.5e-27,2.86e-85,0.0396,0,0.489,0.756,-5.16,0.722,-3.06,0.743,-1.69
ZO,Oats,grains,5489,-0.2988,0.0017,4.17e-104,0,0.0382,0,0.377,0.485,-8.58,0.333,-5.57,0.276,-3.73
ZR,Rough Rice,grains,5432,0.0932,0.0143,3.29e-10,3.45e-32,0.0259,0,0.458,1.108,2.37,0.959,-0.41,0.868,-0.76
ZS,Soybeans,grains,5283,-0.0373,-0.0168,0.0449,1.61e-210,0.0367,0,0.491,0.909,-1.23,0.915,-0.7,0.891,-0.59
ZW,Chicago Wheat,grains,5482,-0.271,0.0652,8.57e-94,7.22e-290,0.0274,0,0.401,0.518,-3.67,0.4,-2.61,0.336,-2.24
GF,Feeder Cattle,livestock,5255,-0.0006,-0.0055,0.304,4.46e-20,0.968,0,0.489,0.988,-0.24,0.898,-1.05,0.948,-0.33
HE,Lean Hogs,livestock,5249,0.017,-0.0012,0.366,0.996,0.000305,0,0.49,1.065,2.21,1.08,1.15,1.029,0.22
LE,Live Cattle,livestock,5237,0.0122,0.0122,0.00215,1.89e-18,0.886,0,0.489,1.009,0.21,0.942,-0.65,0.995,-0.03
GC,Gold,metals,5568,0.0062,0.0164,0.000931,1.64e-161,0.782,0,0.464,0.981,-0.43,0.909,-0.95,0.792,-1.28
HG,Copper,metals,4665,-0.0604,0.0032,0.00841,9.97e-69,0.102,0,0.489,0.925,-1.59,0.914,-0.87,0.907,-0.56
PA,Palladium,metals,5590,0.0373,-0.0289,0.000184,7.61e-171,0.315,0,0.467,1.055,1.21,0.871,-1.35,0.872,-0.8
PL,Platinum,metals,5590,0.0215,-0.0042,3.56e-05,0,0.17,0,0.503,1.033,0.66,1.001,0.01,1.044,0.24
SI,Silver,metals,5576,-0.0064,-0.003,0.104,4.07e-237,0.456,0,0.487,0.994,-0.13,0.938,-0.54,0.92,-0.43
ZB,30-Year T-Bond,rates,5428,-0.0293,-0.0042,0.000876,0,0.406,0,0.497,0.888,-2.57,0.875,-1.32,0.904,-0.62
ZF,5-Year T-Note,rates,5474,-0.053,0.0024,5.05e-09,0,0.585,0,0.515,0.859,-3.34,0.884,-1.21,0.981,-0.12
ZN,10-Year T-Note,rates,5476,-0.0416,-0.0153,2.23e-05,8.61e-249,0.451,0,0.505,0.884,-2.84,0.897,-1.13,0.938,-0.4
ZT,2-Year T-Note,rates,5476,-0.0677,0.0213,1.34e-12,0,0.803,0,0.558,0.841,-2.62,0.915,-0.65,1.245,1.18
CC,Cocoa,softs,5197,-0.1651,0.0171,6.63e-28,1.68e-277,0.324,0,0.444,0.765,-4.6,0.674,-3.13,0.58,-2.52
CT,Cotton,softs,4924,-0.1003,-0.0071,1.01e-08,1.16e-127,0.0355,0,0.462,0.812,-3.09,0.724,-2.57,0.669,-2.01
DC,Class III Milk,softs,5339,-0.2779,0.0565,7.61e-99,8.04e-205,0.00633,0,0.459,0.575,-4.48,0.545,-2.79,0.5,-2.02
KC,Coffee,softs,5235,-0.0716,-0.0066,0.000141,3.76e-117,0.385,0,0.466,0.899,-2.39,0.85,-1.77,0.754,-1.79
LBR,Lumber,softs,5214,0.0847,-0.0147,1.84e-07,1.49e-10,0.167,0,0.513,1.155,3.59,1.274,2.96,1.28,1.78
SB,Sugar #11,softs,5304,-0.0186,-0.0233,0.306,5.51e-75,0.0499,0,0.514,0.969,-0.81,0.99,-0.12,1.058,0.4
VX,VIX,volatility,5489,-0.0694,-0.0135,1.08e-08,5.84e-25,2.15e-06,0,0.369,0.828,-3.62,0.595,-4.37,0.411,-4.15
