market,6A,6B,6E,6N,BZ,CC,CL,CT,DC,ES,GC,GF,HE,HG,HO,KC,LBR,LE,NG,NKD,NQ,PA,PL,RB,RTY,SB,SI,VX,YM,ZB,ZC,ZF,ZN,ZO,ZR,ZS,ZT,ZW
6A,1.0,0.564,0.58,0.835,0.284,0.124,0.272,0.178,0.029,0.536,0.341,0.067,0.024,0.45,0.262,0.183,0.101,0.108,0.074,0.196,0.478,0.369,0.399,0.264,0.495,0.165,0.427,-0.368,0.512,-0.106,0.144,-0.042,-0.08,0.074,0.129,0.25,-0.006,0.088
6B,0.564,1.0,0.64,0.554,0.184,0.136,0.164,0.131,0.04,0.281,0.301,0.035,0.028,0.281,0.173,0.123,0.071,0.074,0.062,0.197,0.239,0.263,0.303,0.173,0.263,0.103,0.333,-0.186,0.265,-0.003,0.095,0.074,0.032,0.051,0.074,0.159,0.107,0.047
6E,0.58,0.64,1.0,0.571,0.132,0.127,0.127,0.13,0.03,0.215,0.367,0.027,0.014,0.277,0.128,0.118,0.054,0.043,0.055,0.171,0.173,0.26,0.317,0.117,0.206,0.117,0.364,-0.12,0.196,0.017,0.119,0.113,0.065,0.057,0.102,0.163,0.151,0.072
6N,0.835,0.554,0.571,1.0,0.211,0.114,0.198,0.145,0.037,0.468,0.333,0.052,0.004,0.374,0.194,0.162,0.081,0.082,0.058,0.165,0.41,0.326,0.359,0.184,0.44,0.136,0.396,-0.325,0.444,-0.052,0.12,0.014,-0.022,0.053,0.115,0.196,0.041,0.081
BZ,0.284,0.184,0.132,0.211,1.0,0.091,0.89,0.182,0.066,0.282,0.18,0.067,0.043,0.296,0.825,0.152,0.097,0.099,0.148,0.066,0.216,0.248,0.235,0.767,0.259,0.21,0.248,-0.209,0.271,-0.21,0.196,-0.171,-0.198,0.075,0.103,0.246,-0.125,0.136
CC,0.124,0.136,0.127,0.114,0.091,1.0,0.095,-0.037,0.088,0.08,0.07,0.041,0.032,0.101,0.099,0.12,0.04,0.038,-0.034,0.071,0.067,0.052,0.073,0.098,0.066,0.108,0.091,-0.076,0.075,-0.042,-0.056,-0.037,-0.036,0.034,0.065,0.069,-0.028,-0.06
CL,0.272,0.164,0.127,0.198,0.89,0.095,1.0,0.189,0.094,0.261,0.172,0.063,0.063,0.289,0.746,0.138,0.087,0.098,0.14,0.04,0.199,0.228,0.215,0.698,0.242,0.213,0.229,-0.194,0.255,-0.206,0.2,-0.162,-0.19,0.086,0.107,0.24,-0.113,0.148
CT,0.178,0.131,0.13,0.145,0.182,-0.037,0.189,1.0,-0.093,0.182,0.099,0.002,0.015,0.216,0.171,0.136,0.028,0.084,0.104,0.041,0.163,0.15,0.143,0.181,0.163,0.173,0.146,-0.109,0.155,-0.08,0.345,-0.057,-0.07,-0.002,0.097,0.218,-0.044,0.266
DC,0.029,0.04,0.03,0.037,0.066,0.088,0.094,-0.093,1.0,0.038,0.022,-0.027,-0.009,0.067,0.099,0.008,0.044,0.05,-0.019,0.017,0.026,0.032,0.029,0.099,0.039,0.068,0.035,-0.024,0.034,-0.019,-0.025,-0.008,-0.014,0.115,0.051,0.092,0.005,-0.078
ES,0.536,0.281,0.215,0.468,0.282,0.08,0.261,0.182,0.038,1.0,0.069,0.125,0.03,0.319,0.234,0.118,0.133,0.119,0.068,0.021,0.929,0.271,0.253,0.278,0.898,0.111,0.213,-0.722,0.966,-0.292,0.099,-0.289,-0.301,0.029,0.072,0.135,-0.261,0.069
GC,0.341,0.301,0.367,0.333,0.18,0.07,0.172,0.099,0.022,0.069,1.0,-0.002,0.006,0.313,0.163,0.103,0.022,0.049,0.049,0.161,0.054,0.439,0.589,0.152,0.07,0.114,0.789,-0.039,0.047,0.149,0.132,0.208,0.188,0.067,0.078,0.15,0.196,0.085
GF,0.067,0.035,0.027,0.052,0.067,0.041,0.063,0.002,-0.027,0.125,-0.002,1.0,0.115,0.058,0.026,0.033,0.033,0.498,0.013,0.059,0.117,0.065,0.064,0.049,0.129,0.033,0.035,-0.099,0.129,-0.05,-0.106,-0.043,-0.041,-0.011,-0.042,-0.022,-0.043,-0.042
HE,0.024,0.028,0.014,0.004,0.043,0.032,0.063,0.015,-0.009,0.03,0.006,0.115,1.0,0.048,0.021,0.018,0.032,0.097,0.023,0.024,0.02,0.046,0.044,0.024,0.034,0.038,0.034,-0.028,0.036,-0.021,0.056,-0.027,-0.024,0.032,0.02,0.06,-0.036,0.042
HG,0.45,0.281,0.277,0.374,0.296,0.101,0.289,0.216,0.067,0.319,0.313,0.058,0.048,1.0,0.26,0.174,0.116,0.102,0.058,0.156,0.269,0.395,0.402,0.282,0.295,0.18,0.413,-0.238,0.311,-0.147,0.168,-0.09,-0.123,0.068,0.108,0.239,-0.049,0.103
HO,0.262,0.173,0.128,0.194,0.825,0.099,0.746,0.171,0.099,0.234,0.163,0.026,0.021,0.26,1.0,0.148,0.089,0.069,0.175,0.053,0.177,0.21,0.21,0.721,0.218,0.193,0.214,-0.173,0.223,-0.176,0.178,-0.136,-0.165,0.079,0.088,0.237,-0.099,0.134
KC,0.183,0.123,0.118,0.162,0.152,0.12,0.138,0.136,0.008,0.118,0.103,0.033,0.018,0.174,0.148,1.0,0.075,0.071,0.068,0.051,0.103,0.153,0.146,0.132,0.115,0.19,0.146,-0.086,0.109,-0.043,0.148,-0.035,-0.044,0.016,0.086,0.18,-0.022,0.094
LBR,0.101,0.071,0.054,0.081,0.097,0.04,0.087,0.028,0.044,0.133,0.022,0.033,0.032,0.116,0.089,0.075,1.0,0.034,0.002,0.012,0.12,0.082,0.075,0.083,0.134,0.023,0.052,-0.103,0.137,-0.054,0.056,-0.043,-0.052,0.033,0.028,0.069,-0.026,0.04
LE,0.108,0.074,0.043,0.082,0.099,0.038,0.098,0.084,0.05,0.119,0.049,0.498,0.097,0.102,0.069,0.071,0.034,1.0,0.013,0.054,0.112,0.105,0.108,0.067,0.121,0.068,0.092,-0.101,0.123,-0.049,0.055,-0.046,-0.044,0.011,-0.006,0.069,-0.049,0.017
NG,0.074,0.062,0.055,0.058,0.148,-0.034,0.14,0.104,-0.019,0.068,0.049,0.013,0.023,0.058,0.175,0.068,0.002,0.013,1.0,-0.0,0.048,0.051,0.059,0.124,0.051,0.046,0.055,-0.019,0.051,-0.03,0.146,-0.023,-0.032,0.024,0.035,0.078,-0.024,0.106
NKD,0.196,0.197,0.171,0.165,0.066,0.071,0.04,0.041,0.017,0.021,0.161,0.059,0.024,0.156,0.053,0.051,0.012,0.054,-0.0,1.0,0.015,0.176,0.187,0.07,0.017,0.071,0.186,-0.026,0.026,0.079,0.029,0.131,0.107,0.038,0.038,0.086,0.128,0.009
NQ,0.478,0.239,0.173,0.41,0.216,0.067,0.199,0.163,0.026,0.929,0.054,0.117,0.02,0.269,0.177,0.103,0.12,0.112,0.048,0.015,1.0,0.233,0.221,0.215,0.826,0.085,0.194,-0.699,0.853,-0.238,0.079,-0.235,-0.244,0.023,0.05,0.113,-0.216,0.053
PA,0.369,0.263,0.26,0.326,0.248,0.052,0.228,0.15,0.032,0.271,0.439,0.065,0.046,0.395,0.21,0.153,0.082,0.105,0.051,0.176,0.233,1.0,0.64,0.233,0.27,0.158,0.508,-0.223,0.263,-0.067,0.15,-0.023,-0.048,0.058,0.098,0.207,0.012,0.076
PL,0.399,0.303,0.317,0.359,0.235,0.073,0.215,0.143,0.029,0.253,0.589,0.064,0.044,0.402,0.21,0.146,0.075,0.108,0.059,0.187,0.221,0.64,1.0,0.219,0.244,0.149,0.644,-0.209,0.244,-0.019,0.121,0.024,-0.0,0.047,0.1,0.195,0.042,0.077
RB,0.264,0.173,0.117,0.184,0.767,0.098,0.698,0.181,0.099,0.278,0.152,0.049,0.024,0.282,0.721,0.132,0.083,0.067,0.124,0.07,0.215,0.233,0.219,1.0,0.254,0.163,0.21,-0.198,0.276,-0.183,0.178,-0.158,-0.177,0.085,0.091,0.222,-0.121,0.129
RTY,0.495,0.263,0.206,0.44,0.259,0.066,0.242,0.163,0.039,0.898,0.07,0.129,0.034,0.295,0.218,0.115,0.134,0.121,0.051,0.017,0.826,0.27,0.244,0.254,1.0,0.107,0.212,-0.664,0.87,-0.271,0.085,-0.256,-0.274,0.031,0.051,0.128,-0.222,0.073
SB,0.165,0.103,0.117,0.136,0.21,0.108,0.213,0.173,0.068,0.111,0.114,0.033,0.038,0.18,0.193,0.19,0.023,0.068,0.046,0.071,0.085,0.158,0.149,0.163,0.107,1.0,0.152,-0.084,0.105,-0.066,0.172,-0.052,-0.061,0.097,0.087,0.203,-0.041,0.153
SI,0.427,0.333,0.364,0.396,0.248,0.091,0.229,0.146,0.035,0.213,0.789,0.035,0.034,0.413,0.214,0.146,0.052,0.092,0.055,0.186,0.194,0.508,0.644,0.21,0.212,0.152,1.0,-0.172,0.189,0.025,0.157,0.082,0.056,0.068,0.098,0.206,0.093,0.093
VX,-0.368,-0.186,-0.12,-0.325,-0.209,-0.076,-0.194,-0.109,-0.024,-0.722,-0.039,-0.099,-0.028,-0.238,-0.173,-0.086,-0.103,-0.101,-0.019,-0.026,-0.699,-0.223,-0.209,-0.198,-0.664,-0.084,-0.172,1.0,-0.694,0.234,-0.043,0.24,0.249,-0.037,-0.048,-0.122,0.222,-0.023
