a,b,corr,overlap_obs
ES,YM,0.966,5226
ZF,ZN,0.932,5434
ES,NQ,0.929,5224
ZB,ZN,0.92,5420
ES,RTY,0.898,5207
BZ,CL,0.89,5319
ZF,ZT,0.887,5470
RTY,YM,0.87,5205
NQ,YM,0.853,5222
6A,6N,0.835,5582
NQ,RTY,0.826,5213
BZ,HO,0.825,5349
ZB,ZF,0.79,5426
GC,SI,0.789,5564
BZ,RB,0.767,5150
CL,HO,0.746,5305
ZN,ZT,0.744,5438
HO,RB,0.721,5138
CL,RB,0.698,5108
PL,SI,0.644,5564
6B,6E,0.64,5582
PA,PL,0.64,5584
GC,PL,0.589,5560
6A,6E,0.58,5582
ZB,ZT,0.573,5426
6E,6N,0.571,5582
ZC,ZS,0.571,5243
6A,6B,0.564,5582
6B,6N,0.554,5582
6A,ES,0.536,5225
6A,YM,0.512,5317
PA,SI,0.508,5560
GF,LE,0.498,5227
6A,RTY,0.495,5223
ZC,ZW,0.479,5442
6A,NQ,0.478,5229
6N,ES,0.468,5231
6A,HG,0.45,4650
6N,YM,0.444,5323
6N,RTY,0.44,5228
GC,PA,0.439,5560
6A,SI,0.427,5555
HG,SI,0.413,4657
6N,NQ,0.41,5235
HG,PL,0.402,4661
6A,PL,0.399,5563
6N,SI,0.396,5561
HG,PA,0.395,4657
6N,HG,0.374,4656
6A,PA,0.369,5563
6E,GC,0.367,5549
6E,SI,0.364,5555
6N,PL,0.359,5569
CT,ZC,0.345,4892
6A,GC,0.341,5549
6N,GC,0.333,5555
6B,SI,0.333,5555
6N,PA,0.326,5569
ES,HG,0.319,4531
6E,PL,0.317,5563
GC,HG,0.313,4655
HG,YM,0.311,4525
6B,PL,0.303,5563
6B,GC,0.301,5549
BZ,HG,0.296,4661
HG,RTY,0.295,4517
CL,HG,0.289,4619
6A,BZ,0.284,5521
BZ,ES,0.282,5222
HG,RB,0.282,4475
6B,HG,0.281,4650
6B,ES,0.281,5225
ES,RB,0.278,5012
6E,HG,0.277,4650
RB,YM,0.276,5000
ZS,ZW,0.272,5239
6A,CL,0.272,5302
BZ,YM,0.271,5310
ES,PA,0.271,5232
PA,RTY,0.27,5231
HG,NQ,0.269,4536
CT,ZW,0.266,4894
6B,YM,0.265,5317
6A,RB,0.264,5135
6B,RTY,0.263,5223
PA,YM,0.263,5324
6B,PA,0.263,5563
6A,HO,0.262,5334
CL,ES,0.261,5203
