market,obs,Mon_bps,Mon_t,Tue_bps,Tue_t,Wed_bps,Wed_t,Thu_bps,Thu_t,Fri_bps,Fri_t
6A,5582,1.56,0.7,1.3,0.56,1.52,0.66,0.6,0.26,-4.1,-1.8
6B,5582,-1.78,-1.09,0.88,0.52,2.11,1.25,0.83,0.48,-4.12,-2.24
6E,5582,-1.11,-0.74,-0.15,-0.09,1.6,0.95,1.49,0.85,-2.28,-1.36
6N,5588,-0.82,-0.38,-0.32,-0.14,2.4,0.98,-0.49,-0.21,-1.07,-0.47
BZ,5540,-14.39,-1.93,-4.31,-0.64,8.56,1.2,12.83,1.9,15.52,2.47
CC,5197,5.34,0.58,-1.65,-0.2,14.48,2.05,0.33,0.04,7.61,0.96
CL,5321,-2.08,-0.24,-7.23,-0.97,9.94,1.13,15.04,1.84,11.22,1.59
CT,4924,-10.92,-1.35,31.6,4.23,8.29,1.45,-2.83,-0.44,-8.82,-1.3
DC,5339,34.61,3.14,-9.03,-1.05,-16.74,-2.22,24.08,2.76,-4.22,-0.45
ES,5240,2.6,0.62,9.25,2.47,5.23,1.49,1.66,0.45,2.73,0.81
GC,5568,-0.29,-0.09,1.71,0.51,6.09,1.85,2.64,0.79,11.87,3.46
GF,5255,0.25,0.07,10.92,3.19,1.82,0.67,1.99,0.67,-2.99,-0.71
HE,5249,-12.61,-1.58,7.91,1.1,8.31,1.43,-5.67,-0.81,9.96,1.26
HG,4665,0.51,0.09,-1.19,-0.22,5.11,0.91,-1.52,-0.29,8.41,1.54
HO,5355,-6.81,-0.9,5.67,0.85,10.24,1.43,14.27,2.27,-2.21,-0.36
KC,5235,3.99,0.54,17.46,2.56,11.75,1.75,-1.55,-0.23,-8.2,-1.27
LBR,5214,-13.98,-1.64,-22.63,-2.89,-0.36,-0.04,36.13,4.86,17.28,2.42
LE,5237,-2.98,-0.75,5.29,1.55,4.87,1.49,1.64,0.52,-0.46,-0.13
NG,5540,7.19,0.51,30.13,2.59,15.17,1.51,-27.81,-2.37,5.98,0.57
NKD,5059,1.81,0.4,1.91,0.43,3.15,0.72,8.08,1.74,-2.48,-0.55
NQ,5244,6.12,1.31,11.64,2.71,10.46,2.54,3.32,0.77,-0.2,-0.05
PA,5590,4.69,0.69,-1.61,-0.25,12.94,1.93,4.99,0.75,7.81,1.22
PL,5590,2.96,0.59,-0.52,-0.1,7.17,1.55,-0.46,-0.1,2.41,0.49
RB,5160,-28.82,-3.44,4.61,0.59,11.71,1.43,17.13,2.26,16.86,2.46
RTY,5237,0.9,0.17,11.24,2.39,4.0,0.85,2.22,0.45,4.84,1.13
SB,5304,1.5,0.21,1.29,0.21,7.33,1.28,0.29,0.04,2.49,0.41
SI,5576,7.11,1.18,2.7,0.45,15.79,2.8,-7.04,-1.09,11.16,1.67
VX,5489,168.36,6.3,6.25,0.29,-26.82,-1.18,44.98,1.93,-61.46,-2.63
YM,5332,3.59,0.93,7.65,2.17,3.59,1.1,1.35,0.39,2.33,0.73
ZB,5428,1.63,0.36,1.2,0.25,-3.85,-0.82,-0.65,-0.14,6.31,1.3
ZC,5492,-7.9,-1.01,17.08,2.36,5.23,0.98,0.73,0.13,2.72,0.43
ZF,5474,0.24,0.29,0.66,0.76,-0.09,-0.1,-0.61,-0.7,-0.35,-0.39
ZN,5476,0.74,0.47,0.84,0.49,-0.68,-0.4,-0.33,-0.2,-0.04,-0.02
ZO,5489,20.93,1.64,11.08,0.93,-0.58,-0.05,16.67,1.49,-6.07,-0.57
ZR,5432,4.59,0.99,-2.79,-0.59,-1.97,-0.36,4.13,0.95,8.69,2.01
ZS,5283,-2.56,-0.46,2.46,0.55,5.97,1.47,3.06,0.72,7.53,1.51
ZT,5476,-0.18,-0.61,-0.17,-0.54,0.18,0.6,0.26,0.89,-0.24,-0.74
ZW,5482,7.35,0.54,19.18,1.97,14.86,1.55,-5.96,-0.74,-1.61,-0.14
