market,obs,Jan_bps,Jan_t,Feb_bps,Feb_t,Mar_bps,Mar_t,Apr_bps,Apr_t,May_bps,May_t,Jun_bps,Jun_t,Jul_bps,Jul_t,Aug_bps,Aug_t,Sep_bps,Sep_t,Oct_bps,Oct_t,Nov_bps,Nov_t,Dec_bps,Dec_t
6A,5582,-0.88,-0.28,0.73,0.23,1.17,0.34,6.72,2.02,-4.72,-1.44,2.03,0.6,2.66,0.9,-5.15,-1.65,-1.52,-0.44,0.1,0.02,-1.8,-0.43,2.72,0.91
6B,5582,2.33,0.86,-3.15,-1.27,-1.14,-0.4,6.72,2.85,-3.07,-1.36,-0.57,-0.18,1.79,0.75,-3.18,-1.43,-2.85,-1.02,-0.71,-0.24,-0.17,-0.06,-1.22,-0.45
6E,5582,-1.71,-0.66,-1.7,-0.71,2.13,0.76,4.1,1.76,-4.15,-1.68,1.19,0.46,1.35,0.58,-0.72,-0.31,-1.83,-0.72,-2.24,-0.83,-1.2,-0.43,3.58,1.41
6N,5588,-2.29,-0.69,-1.19,-0.36,0.28,0.08,4.39,1.32,-3.09,-0.9,0.58,0.16,1.85,0.59,-5.66,-1.63,-1.25,-0.35,-0.3,-0.07,0.92,0.23,5.09,1.58
BZ,5540,12.11,1.25,19.63,1.99,6.78,0.46,21.67,1.58,2.54,0.25,9.51,1.0,1.85,0.22,-1.92,-0.22,-8.35,-0.81,-6.41,-0.65,-11.76,-1.1,-1.93,-0.19
CC,5197,-2.05,-0.2,16.4,1.42,4.09,0.3,22.95,1.74,-3.92,-0.26,12.31,1.07,-3.02,-0.23,9.96,0.91,-10.39,-0.77,-8.18,-0.97,14.8,1.2,12.12,0.85
CL,5321,6.36,0.54,11.34,0.96,13.92,0.83,35.82,1.83,8.75,0.76,14.08,1.4,3.36,0.37,-5.89,-0.61,-1.64,-0.14,-8.26,-0.81,-10.3,-0.87,-0.76,-0.06
CT,4924,11.04,1.08,17.0,1.57,2.03,0.19,9.26,0.9,-18.02,-1.48,-7.44,-0.68,4.81,0.32,-0.1,-0.01,-10.46,-0.9,5.91,0.64,2.2,0.23,23.85,2.38
DC,5339,-12.33,-0.7,13.89,1.02,15.23,1.68,17.06,1.09,20.25,2.07,4.21,0.47,2.95,0.18,4.32,0.33,-7.49,-0.46,2.98,0.22,20.35,1.24,-16.0,-0.95
ES,5240,1.59,0.33,1.87,0.36,3.94,0.52,11.35,1.93,3.12,0.66,1.31,0.27,11.97,2.9,0.8,0.15,-1.38,-0.23,4.22,0.6,11.13,1.67,1.49,0.29
GC,5568,16.49,3.19,6.81,1.24,0.2,0.04,7.14,1.35,-1.71,-0.37,-3.23,-0.61,6.63,1.56,7.15,1.5,1.26,0.23,3.56,0.65,5.29,0.96,3.71,0.73
GF,5255,-7.32,-1.51,3.61,0.73,7.53,1.39,2.6,0.4,15.97,2.1,8.78,1.76,3.16,0.67,-0.56,-0.13,-3.26,-0.67,-4.19,-1.06,-5.86,-1.05,5.72,1.24
HE,5249,0.19,0.03,19.07,1.88,2.23,0.27,41.14,2.49,15.88,1.52,-6.83,-0.81,-5.86,-0.57,-54.36,-3.47,7.74,0.86,-21.23,-1.75,2.92,0.38,26.6,2.52
HG,4665,2.87,0.32,10.14,1.08,7.68,0.99,9.92,1.13,-4.27,-0.53,2.06,0.26,8.19,0.92,-11.75,-1.62,-0.71,-0.08,0.2,0.02,0.2,0.02,3.38,0.42
HO,5355,11.86,1.2,10.82,0.95,11.66,0.85,7.98,0.67,0.08,0.01,18.88,1.88,2.36,0.26,8.22,0.92,-3.5,-0.34,-3.98,-0.44,-7.94,-0.76,-5.23,-0.54
KC,5235,4.88,0.52,8.01,0.76,-10.45,-0.97,13.69,1.31,-10.61,-1.05,2.54,0.27,17.15,1.34,9.04,0.96,-1.24,-0.11,-2.6,-0.28,21.15,1.91,6.71,0.57
LBR,5214,12.08,0.93,14.86,1.55,-3.61,-0.26,-7.12,-0.7,-1.52,-0.11,-5.52,-0.55,-3.19,-0.23,3.68,0.36,-15.92,-0.95,5.17,0.57,35.04,2.41,17.01,2.01
LE,5237,-1.39,-0.32,7.74,1.86,-7.66,-1.32,2.1,0.36,-16.37,-2.23,4.03,0.77,6.26,1.15,2.73,0.65,0.8,0.15,9.41,2.03,2.42,0.44,11.7,2.5
NG,5540,-5.33,-0.25,-18.56,-1.04,3.1,0.24,22.16,1.38,18.62,1.29,8.97,0.61,-1.25,-0.08,7.71,0.54,42.51,1.63,28.5,1.63,15.99,0.64,-50.23,-2.69
NKD,5059,0.18,0.02,4.72,0.65,-5.68,-0.69,10.11,1.38,-1.12,-0.19,3.52,0.56,6.12,1.13,-2.44,-0.36,4.41,0.66,-3.01,-0.37,4.37,0.59,9.58,1.61
NQ,5244,4.03,0.64,3.48,0.54,6.12,0.75,12.93,1.83,8.42,1.47,2.45,0.41,15.8,3.06,4.21,0.7,0.35,0.05,7.07,0.92,10.14,1.37,-0.5,-0.09
PA,5590,16.19,1.56,17.61,1.74,3.42,0.27,10.95,1.15,-13.5,-1.47,-5.49,-0.53,15.6,1.85,-2.69,-0.29,-4.83,-0.46,12.77,1.23,7.49,0.74,12.76,1.17
PL,5590,20.38,2.48,11.24,1.46,-7.64,-0.87,8.01,1.2,-1.31,-0.19,-7.16,-0.99,4.25,0.67,-0.75,-0.11,-13.12,-1.55,2.38,0.31,2.25,0.29,9.27,1.16
RB,5160,10.3,0.96,33.43,2.46,35.47,2.21,26.57,2.16,4.09,0.36,7.32,0.71,-4.91,-0.49,-19.62,-1.7,-18.78,-1.41,-17.77,-1.64,-5.78,-0.46,7.85,0.73
RTY,5237,4.11,0.63,4.44,0.69,1.06,0.11,8.01,1.05,2.49,0.38,4.67,0.72,12.13,1.99,0.18,0.03,-0.97,-0.14,1.62,0.2,14.69,1.71,4.13,0.57
SB,5304,13.28,1.48,1.2,0.12,-31.05,-3.14,-10.11,-1.06,-6.43,-0.67,23.23,2.45,9.41,0.96,-4.17,-0.5,18.61,1.62,15.99,1.48,-2.9,-0.32,7.33,0.78
SI,5576,21.84,2.11,13.03,1.23,-1.89,-0.2,8.18,0.85,2.08,0.22,-14.09,-1.57,16.5,2.06,6.48,0.68,-7.21,-0.69,9.41,0.94,8.86,0.97,8.6,0.93
VX,5489,43.59,1.3,49.89,1.04,5.76,0.16,3.74,0.1,13.73,0.4,29.74,0.8,8.47,0.28,61.13,1.39,41.78,1.23,44.43,1.21,-24.38,-0.71,30.74,0.86
