market,turn_of_month_bps,turn_t,turn_obs,rest_of_month_bps,rest_t,rest_obs,spread_bps
6A,2.2,0.97,1035,-0.29,-0.25,4547,2.49
6B,0.72,0.41,1035,-0.68,-0.79,4547,1.4
6E,-0.44,-0.25,1035,-0.01,-0.01,4547,-0.43
6N,2.17,0.96,1035,-0.57,-0.5,4553,2.74
BZ,14.43,1.83,1034,1.21,0.36,4506,13.22
CC,-1.46,-0.19,1034,6.96,1.73,4163,-8.42
CL,13.02,1.51,1034,3.81,0.96,4287,9.21
CT,13.61,1.74,1034,0.81,0.24,3890,12.8
DC,-18.49,-1.38,1022,11.21,2.87,4317,-29.69
ES,3.83,1.06,1034,4.38,2.35,4206,-0.55
GC,7.84,2.13,1034,3.62,2.23,4534,4.22
GF,-1.87,-0.5,1034,3.35,2.0,4221,-5.23
HE,-5.79,-0.97,1034,3.59,0.96,4215,-9.38
HG,7.45,1.38,1034,0.85,0.31,3631,6.6
HO,15.92,2.09,1034,1.67,0.51,4321,14.25
KC,12.26,1.81,1034,2.75,0.8,4201,9.51
LBR,2.25,0.34,1034,4.34,1.07,4180,-2.1
LE,-14.7,-3.08,1034,5.76,3.84,4203,-20.46
NG,-2.09,-0.18,1034,7.96,1.36,4506,-10.05
NKD,-4.79,-1.08,1034,4.4,1.94,4025,-9.19
NQ,7.22,1.7,1034,6.0,2.8,4210,1.21
PA,11.01,1.71,1034,4.57,1.38,4556,6.44
PL,9.95,1.85,1034,0.58,0.24,4556,9.37
RB,1.27,0.13,998,5.51,1.51,4162,-4.23
RTY,3.05,0.64,1034,5.0,2.1,4203,-1.95
SB,6.97,0.92,1034,1.58,0.53,4270,5.39
SI,10.05,1.44,1034,5.0,1.67,4542,5.04
VX,27.32,1.08,1034,25.33,2.17,4455,1.99
YM,4.11,1.24,1034,3.57,2.04,4298,0.54
ZB,-3.23,-0.64,1034,1.87,0.8,4394,-5.1
ZC,5.22,0.66,1034,3.23,1.05,4458,1.99
ZF,1.35,1.5,1034,-0.36,-0.83,4440,1.71
ZN,-0.47,-0.27,1034,0.23,0.28,4442,-0.7
ZO,20.25,1.57,1034,5.59,0.97,4455,14.67
ZR,11.99,2.39,1034,0.29,0.12,4398,11.71
ZS,1.7,0.35,1034,3.78,1.63,4249,-2.08
ZT,0.74,2.39,1034,-0.21,-1.37,4442,0.94
ZW,11.33,1.01,1034,5.67,1.08,4448,5.66
