year,6A,6B,6E,6N,BZ,CC,CL,CT,DC,ES,GC,GF,HE,HG,HO,KC,LBR,LE,NG,NKD,NQ,PA,PL,RB,RTY,SB,SI,VX,YM,ZB,ZC,ZF,ZN,ZO,ZR,ZS,ZT,ZW
2005,9.0,8.1,8.8,10.2,30.5,42.9,31.8,37.6,38.8,10.1,12.2,11.9,28.0,25.7,39.4,39.2,34.1,15.2,49.1,15.6,13.8,28.1,11.7,36.8,15.9,23.3,20.9,83.3,10.2,21.1,45.1,3.7,7.3,135.7,23.2,26.3,1.3,40.8
2006,8.5,7.6,7.5,11.0,26.0,53.5,27.6,35.6,90.4,9.9,23.5,14.3,31.2,35.9,30.6,29.1,26.3,16.6,74.9,21.3,15.5,38.9,23.0,39.8,17.3,38.2,43.4,93.7,9.7,17.1,45.1,3.2,5.8,108.8,20.9,18.8,1.4,41.5
2007,12.3,7.0,6.2,14.3,26.9,40.6,30.7,39.7,71.9,16.2,16.6,12.1,28.4,28.0,27.7,27.6,32.2,14.9,59.7,18.8,18.9,19.3,14.9,34.9,20.6,24.9,25.7,136.8,14.3,21.4,43.0,5.1,8.3,50.1,17.2,22.7,2.2,48.1
2008,26.3,13.7,13.8,20.5,54.8,48.7,62.5,50.2,37.8,41.6,31.1,19.5,39.9,42.0,45.2,33.8,43.1,17.3,51.1,43.3,42.7,51.4,43.5,56.6,47.0,49.9,51.9,125.0,37.2,35.5,52.4,8.6,14.5,79.6,35.0,51.4,3.5,117.2
2009,18.2,13.6,12.0,19.6,45.0,44.3,54.1,45.5,42.7,26.4,20.1,14.0,42.4,39.5,43.8,31.5,57.0,17.8,119.0,28.0,25.4,32.9,25.1,46.8,35.5,41.8,32.9,89.2,23.8,36.0,47.5,6.1,12.9,53.1,26.2,33.2,1.6,157.5
2010,14.5,9.9,11.8,14.2,26.2,54.1,27.5,39.8,38.2,18.0,15.8,10.8,27.8,25.5,26.7,30.8,38.6,13.6,51.7,21.2,19.6,35.2,19.2,27.2,24.9,50.5,29.5,117.1,15.9,27.9,42.9,5.0,10.1,37.8,25.8,22.2,1.2,75.7
2011,14.3,8.3,11.7,14.9,29.5,41.1,34.2,55.1,32.7,23.6,20.1,15.4,27.8,30.7,26.7,30.8,39.3,16.6,48.1,23.3,23.9,34.1,20.4,34.7,33.0,41.9,44.8,137.7,21.4,33.4,36.5,4.6,10.6,47.7,28.6,21.2,0.9,40.8
2012,8.8,6.2,8.1,9.8,22.6,36.1,25.7,37.8,20.5,12.7,14.8,13.2,32.5,21.3,19.9,38.3,24.5,13.7,52.6,15.0,15.5,25.3,18.5,30.0,17.0,28.2,26.2,96.1,11.7,22.3,30.4,2.6,7.1,53.6,20.1,22.5,0.4,33.8
2013,9.9,7.4,7.3,10.5,16.9,21.9,18.4,26.0,91.5,10.9,21.1,16.7,29.6,19.1,17.4,42.7,26.8,12.1,31.8,24.5,12.1,23.9,20.5,23.0,14.5,19.8,32.4,110.3,10.0,21.2,43.0,3.5,7.6,53.4,17.8,25.0,0.5,28.8
2014,8.3,5.6,6.1,9.1,19.9,21.0,21.6,24.7,83.2,11.5,14.2,11.1,33.6,14.9,19.1,49.9,20.5,17.7,49.5,19.3,14.2,18.9,15.1,23.3,16.3,30.4,22.4,120.2,11.0,16.4,29.0,3.0,5.7,73.3,18.0,25.0,0.7,41.9
