market,vol63d_now_pct,pctile_vs_history,median_pct,p05_pct,p95_pct,vol_of_vol,as_of
HO,61.0,95.3,29.9,16.6,60.2,2.6,2026-07-02
PL,39.8,94.7,21.9,12.8,41.1,2.3,2026-07-02
BZ,59.2,93.5,29.2,16.4,61.8,2.7,2026-07-02
SI,52.2,93.5,26.2,15.9,54.3,2.7,2026-07-02
CL,65.5,93.4,32.0,18.4,74.0,2.8,2026-07-02
CC,64.8,92.6,34.4,20.3,66.9,2.3,2026-07-02
NKD,32.9,92.2,19.7,12.1,38.4,2.6,2026-07-02
GC,23.2,87.4,14.7,9.4,28.7,2.6,2026-07-02
PA,44.3,86.5,29.8,18.0,59.4,2.5,2026-07-02
RB,45.1,81.9,33.8,21.4,61.8,3.2,2026-07-02
NQ,23.2,74.6,16.7,10.7,37.4,2.5,2026-07-02
HG,27.8,74.1,23.3,15.1,42.6,2.6,2026-07-02
ZR,23.9,67.2,21.6,13.5,36.7,3.1,2026-07-02
ZT,1.4,65.8,1.1,0.3,3.2,2.6,2026-07-02
GF,16.3,59.2,15.0,8.8,30.3,4.1,2026-07-02
RTY,20.2,57.5,18.8,12.0,46.3,2.3,2026-07-02
KC,34.6,56.5,33.6,22.7,47.2,2.2,2026-07-02
VX,118.0,55.0,111.0,71.0,190.8,4.2,2026-07-02
YM,13.0,54.8,12.5,7.0,31.9,2.7,2026-07-02
CT,29.9,52.7,29.5,17.0,56.0,3.0,2026-07-02
LE,16.3,52.6,15.9,9.7,26.8,4.0,2026-07-02
ES,13.6,52.6,13.1,7.5,34.6,2.7,2026-07-02
ZF,3.8,50.3,3.8,2.2,7.7,2.2,2026-07-02
ZO,40.6,47.5,41.8,26.1,127.3,3.1,2026-07-02
ZW,31.4,46.1,32.4,20.2,120.4,2.9,2026-07-02
ZN,6.9,40.6,7.6,5.1,14.5,2.0,2026-07-02
6N,9.6,38.8,10.5,7.2,18.5,2.0,2026-07-03
SB,26.6,35.3,28.5,20.2,52.8,2.3,2026-07-02
ZC,23.0,33.6,28.2,15.1,55.3,3.1,2026-07-02
NG,42.4,32.3,53.4,28.1,95.4,3.0,2026-07-02
HE,27.5,28.5,33.1,18.1,57.2,7.1,2026-07-02
ZB,17.0,20.5,22.0,14.4,41.2,2.0,2026-07-02
6A,7.9,19.9,9.5,6.3,18.8,2.2,2026-07-03
ZS,15.7,18.5,20.1,12.9,36.8,2.7,2026-07-02
DC,20.3,18.3,30.3,13.7,107.7,6.1,2026-07-02
6B,6.1,12.8,7.9,5.3,15.7,2.4,2026-07-03
6E,4.9,7.7,7.7,4.6,13.4,2.0,2026-07-03
LBR,13.3,0.1,33.4,20.1,69.9,3.6,2026-07-02
