market,start,trough,end,depth_pct,length_days,recovery_days
6A,2011-07-28,2020-03-19,2026-07-03,-47.2,3870,1625
6A,2008-07-16,2008-10-27,2010-10-06,-38.6,581,507
6A,2005-03-09,2006-03-28,2007-03-16,-11.7,528,253
6A,2007-07-26,2007-08-16,2007-09-27,-10.4,46,30
6A,2007-11-01,2007-12-17,2008-02-26,-8.2,84,51
6B,2007-11-09,2022-09-26,2026-07-03,-48.8,4839,980
6B,2005-03-09,2005-11-25,2006-11-23,-11.1,447,259
6B,2007-07-25,2007-08-17,2007-10-29,-3.9,69,51
6B,2006-12-05,2007-03-05,2007-04-12,-3.1,93,28
6B,2007-04-19,2007-06-11,2007-06-28,-2.0,51,13
6E,2008-04-23,2022-09-27,2026-07-03,-39.4,4721,979
6E,2005-03-14,2005-11-16,2007-04-11,-13.3,543,365
6E,2005-01-05,2005-02-07,2005-03-07,-3.9,44,20
6E,2007-11-27,2007-12-20,2008-02-25,-3.7,65,47
6E,2007-07-23,2007-08-16,2007-09-10,-2.9,36,17
6N,2008-03-14,2009-03-02,2011-05-26,-39.8,835,583
6N,2014-07-10,2022-10-14,2026-07-03,-36.1,3106,966
6N,2005-03-21,2006-06-28,2007-04-16,-19.9,541,208
6N,2011-08-01,2011-11-23,2014-07-08,-15.8,767,684
6N,2007-07-25,2007-09-05,2008-02-21,-14.8,152,121
BZ,2008-07-04,2020-04-21,2026-07-02,-88.8,4627,1575
BZ,2006-08-08,2007-01-11,2007-09-18,-34.0,291,178
BZ,2005-09-02,2005-11-15,2006-04-05,-20.2,154,101
BZ,2005-04-04,2005-05-19,2005-06-16,-15.3,54,20
BZ,2008-01-03,2008-01-23,2008-02-18,-11.5,33,18
CC,2024-04-22,2026-02-27,2026-07-02,-75.2,552,87
CC,2011-03-04,2017-05-03,2023-11-02,-55.5,2932,1574
CC,2008-07-02,2008-11-12,2009-10-20,-43.1,340,244
CC,2005-03-21,2005-08-17,2007-02-16,-28.5,500,392
CC,2010-01-19,2010-09-15,2011-02-21,-25.4,285,113
CL,2008-07-15,2020-04-17,2021-10-18,-89.3,3292,373
CL,2022-03-09,2025-12-16,2026-03-27,-45.3,1012,71
CL,2026-04-08,2026-07-01,2026-07-02,-39.3,62,1
CL,2006-04-24,2007-01-11,2007-06-06,-32.0,271,96
CL,2021-10-27,2021-12-01,2022-01-25,-21.6,63,37
CT,2011-03-07,2020-04-01,2026-07-02,-80.5,3524,1535
CT,2008-03-13,2008-11-11,2009-04-28,-37.7,256,105
CT,2005-04-27,2007-05-14,2007-07-12,-28.4,505,36
CT,2010-11-10,2010-11-23,2010-12-17,-25.2,28,18
CT,2009-05-12,2009-09-07,2009-12-15,-23.2,124,49
DC,2006-07-05,2020-04-01,2026-07-02,-74.8,5042,1488
DC,2005-09-02,2005-11-23,2006-05-08,-26.5,161,104
DC,2006-06-21,2006-07-03,2006-07-03,-23.9,9,0
DC,2006-05-15,2006-05-15,2006-05-18,-8.1,4,3
DC,2006-06-15,2006-06-15,2006-06-16,-6.3,2,1
ES,2007-07-20,2009-03-09,2013-05-06,-54.5,1409,1012
ES,2020-02-20,2020-03-23,2020-08-25,-33.9,128,105
ES,2022-01-04,2022-10-12,2023-07-27,-24.7,388,188
ES,2018-09-21,2019-01-03,2019-07-02,-19.9,187,120
ES,2025-02-20,2025-04-08,2025-06-25,-18.9,84,50
GC,2011-09-06,2015-12-17,2023-11-30,-45.6,3171,2055
GC,2008-03-18,2008-11-12,2009-09-10,-29.1,388,216
GC,2026-01-29,2026-06-24,2026-07-02,-25.8,109,6
GC,2006-05-12,2006-06-14,2007-09-17,-22.2,352,328
GC,2009-12-03,2010-02-04,2010-05-10,-12.5,113,67
GF,2014-10-09,2020-03-16,2023-07-31,-57.3,2164,824
GF,2005-10-14,2008-12-09,2011-03-31,-35.6,1326,562
GF,2025-10-15,2025-11-24,2026-07-02,-19.9,175,146
GF,2023-09-18,2023-12-06,2025-01-09,-18.8,322,266
GF,2012-06-13,2013-05-22,2013-09-26,-18.4,317,85
HE,2014-07-15,2020-04-16,2026-07-02,-80.4,2923,1510
HE,2008-08-12,2009-08-18,2011-08-10,-54.7,734,486
HE,2005-05-06,2007-11-06,2008-05-12,-36.7,730,122
HE,2011-08-15,2012-09-07,2014-03-03,-32.7,622,360
HE,2008-05-15,2008-07-01,2008-07-31,-12.8,54,22
HG,2011-01-04,2020-03-23,2026-07-02,-67.5,3576,1584
HG,2006-05-12,2008-12-24,2010-12-07,-58.5,812,353
HG,2005-12-28,2006-02-27,2006-03-24,-11.2,45,17
HG,2005-06-20,2005-07-01,2005-09-20,-9.1,57,47
HG,2005-04-12,2005-05-16,2005-05-25,-8.5,27,7
HO,2008-07-14,2020-04-27,2022-03-07,-82.3,3417,475
HO,2022-06-21,2025-05-07,2026-03-12,-52.7,933,213
HO,2005-09-02,2007-01-11,2007-09-17,-37.8,491,165
HO,2026-03-23,2026-06-22,2026-07-02,-32.7,72,8
HO,2022-03-09,2022-03-15,2022-06-02,-28.8,62,57
KC,2011-05-04,2019-05-07,2024-11-26,-74.5,3298,1346
