market,date,return_pct,rank
6A,2008-10-24,-7.03,worst
6A,2008-10-06,-6.7,worst
6A,2008-10-10,-5.98,worst
6A,2008-10-08,-5.89,worst
6A,2008-10-15,-5.06,worst
6A,2008-11-13,4.01,best
6A,2008-10-29,4.16,best
6A,2008-10-16,4.41,best
6A,2008-10-28,6.65,best
6A,2008-10-13,8.63,best
6B,2016-06-24,-8.05,worst
6B,2020-03-18,-3.71,worst
6B,2022-09-23,-3.46,worst
6B,2009-01-20,-3.41,worst
6B,2008-12-18,-3.35,worst
6B,2008-12-15,2.42,best
6B,2020-03-26,2.76,best
6B,2008-10-29,2.97,best
6B,2017-01-17,3.05,best
6B,2022-11-10,3.23,best
6E,2008-10-24,-2.4,worst
6E,2010-08-11,-2.38,worst
6E,2008-09-30,-2.38,worst
6E,2016-06-24,-2.35,worst
6E,2008-12-19,-2.3,worst
6E,2008-11-04,2.67,best
6E,2008-11-24,2.91,best
6E,2008-12-17,2.99,best
6E,2015-12-03,3.06,best
6E,2009-03-18,3.51,best
6N,2008-10-24,-6.52,worst
6N,2009-01-13,-3.89,worst
6N,2008-10-06,-3.88,worst
6N,2008-10-08,-3.69,worst
6N,2008-11-20,-3.6,worst
6N,2010-05-27,3.15,best
6N,2008-10-29,3.74,best
6N,2008-10-13,3.99,best
6N,2008-10-28,4.23,best
6N,2008-12-16,4.42,best
BZ,2020-03-09,-26.51,worst
BZ,2020-04-21,-24.4,worst
BZ,2020-03-16,-14.88,worst
BZ,2022-03-09,-13.32,worst
BZ,2026-04-08,-13.29,worst
BZ,2020-05-05,13.86,best
BZ,2020-04-03,13.93,best
BZ,2020-03-19,14.43,best
BZ,2019-09-16,14.61,best
BZ,2020-04-02,21.02,best
CC,2024-05-13,-22.95,worst
CC,2008-03-24,-17.86,worst
CC,2024-09-10,-15.61,worst
CC,2005-09-12,-12.26,worst
CC,2025-07-10,-12.24,worst
CC,2025-07-09,13.3,best
CC,2024-12-30,13.69,best
CC,2024-05-07,13.74,best
CC,2011-12-12,14.16,best
CC,2008-03-21,19.94,best
CL,2020-03-09,-27.31,worst
CL,2020-04-27,-24.56,worst
CL,2020-03-18,-24.16,worst
CL,2026-04-08,-16.41,worst
CL,2020-03-16,-13.16,worst
CL,2020-04-29,22.04,best
CL,2020-03-19,23.81,best
CL,2020-04-02,24.67,best
CL,2020-04-30,25.1,best
CL,2020-04-22,37.66,best
CT,2022-06-24,-23.88,worst
CT,2011-07-04,-19.27,worst
CT,2024-05-01,-17.73,worst
CT,2011-07-08,-14.41,worst
CT,2011-07-07,-12.36,worst
CT,2025-07-03,12.3,best
CT,2007-02-20,12.44,best
CT,2008-03-24,14.1,best
CT,2024-05-02,17.2,best
CT,2011-07-05,22.02,best
DC,2013-11-29,-27.67,worst
DC,2006-07-05,-26.82,worst
DC,2013-10-01,-25.95,worst
DC,2020-04-01,-25.12,worst
DC,2013-12-13,-24.46,worst
DC,2013-09-09,30.25,best
DC,2013-12-16,30.86,best
DC,2014-02-17,31.63,best
DC,2006-07-04,31.99,best
DC,2013-11-28,39.05,best
ES,2020-03-16,-11.98,worst
ES,2020-03-12,-9.51,worst
ES,2008-10-15,-9.03,worst
ES,2008-12-01,-8.93,worst
ES,2008-09-29,-8.79,worst
ES,2020-03-13,9.29,best
ES,2020-03-24,9.38,best
ES,2025-04-09,9.52,best
ES,2008-10-28,10.79,best
ES,2008-10-13,11.58,best
GC,2026-01-30,-9.11,worst
GC,2013-04-15,-8.5,worst
GC,2006-06-13,-7.1,worst
GC,2008-10-10,-7.03,worst
GC,2008-12-01,-5.63,worst
GC,2020-03-24,5.39,best
GC,2008-11-04,5.82,best
GC,2026-02-03,6.15,best
GC,2008-11-21,7.17,best
GC,2008-09-17,10.95,best
GF,2022-04-15,-9.55,worst
GF,2016-09-30,-8.25,worst
GF,2020-03-27,-7.46,worst
GF,2015-11-20,-6.61,worst
GF,2020-03-09,-6.18,worst
GF,2022-04-14,7.66,best
GF,2022-04-18,8.73,best
GF,2013-05-24,9.82,best
GF,2023-05-22,13.88,best
GF,2021-05-25,14.97,best
HE,2021-08-11,-21.72,worst
HE,2018-10-12,-19.91,worst
HE,2016-10-14,-19.76,worst
