,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
SND baseline,6475.0,0.2742857142857143,-2.6632432432432434,-17244.5,-0.013650659743344581,-34489.0,0.9086195293332132,-38797.5,-0.9445197797789395,-1.3024314442328468,-0.11555936862806002,4147.631907817141,0.3707865168539326
P4 · 1h reference,5943.0,0.2609793033821302,-0.3283695103483089,-1951.5,0.009782866202942655,-3903.0,0.9852938683004301,-11469.0,-0.05563032581099351,-0.08484619587864868,-0.01580207845496254,3041.236061655828,0.43820224719101125
P4 · no BOS,4340.0,0.2490783410138249,0.2693548387096774,1169.0,0.03202667323105359,2338.0,1.0129042584604855,-6743.5,0.20362180590134876,0.33143744533298874,0.09475916746643756,2545.3328250549966,0.4606741573033708
P4 · normal RVOL,2941.0,0.27065623937436245,0.8232743964637879,2421.25,0.03260249771518023,4842.5,1.0382771526699155,-5402.5,0.3453277899768921,0.5835271688757653,0.14715494165751836,2105.727269297631,0.5056179775280899
P4 · low impulse volume,1204.0,0.276578073089701,2.410921926910299,2902.75,0.08142600432012281,5805.5,1.1151051321959295,-2996.0,0.54936690316442,0.9848148716827289,0.26084034937993666,1435.3255932120694,0.5056179775280899
P4 · first SND test,5084.0,0.256294256490952,0.9718233674272226,4940.75,0.0433845012498683,9881.5,1.047263396038704,-3970.5,0.5538926953110295,0.8689502448180266,0.4418270485437504,2783.4912771826125,0.5393258426966292
P4 · first physical touch,4854.0,0.25669550885867326,1.1759373712402144,5708.0,0.04904098601222456,11416.0,1.0576494322672194,-3635.0,0.6366226753638676,1.0082896439990487,0.5227167604113269,2723.925678068926,0.5393258426966292
P4 · width ≤0.5 ATR,3427.0,0.18325065655091918,1.201561132185585,4117.75,0.03252378595876839,8235.5,1.0810417189445043,-8462.5,0.6143109570375151,1.219051855727728,0.14353094529581764,1878.9765164460116,0.5056179775280899
P4 · opposing room,4971.0,0.24582578957956144,0.632166566083283,3142.5,0.01749800826117099,6285.0,1.0315953780762763,-7523.5,0.35436770973868226,0.5708735752137114,0.12834313830626617,2694.4011860831283,0.5168539325842697
P5 · first touch + opposing,3915.0,0.23422733077905492,1.5888888888888888,6220.5,0.03803853301436063,12441.0,1.0880781878873909,-4360.0,0.7570101761203106,1.2664538612973977,0.3930643578095085,2260.998332748281,0.550561797752809
P5 · first touch + width,2975.0,0.17747899159663866,1.176890756302521,3501.25,0.03836179370788281,7002.5,1.0828570752428621,-7529.0,0.6019715125016016,1.163932015919451,0.14058452955543246,1674.7165613411382,0.5168539325842697
P5 · first touch + low volume,993.0,0.2618328298086606,1.7223061430010072,1710.25,0.06922183892547863,3420.5,1.086613575073117,-3138.5,0.3673733674854835,0.6388597117502689,0.13361690676204369,1224.4254930433804,0.5168539325842697
