date,SND baseline,1h reference,1h · no BOS,1h · RVOL 0.75–1.25,1h · impulse/prior volume <0.75,1h · first SND test,1h · first physical touch,1h · width ≤0.5 ATR,1h · opposing room ≥2R/open
2019-05-06,-104.0,-104.0,-104.0,,-64.0,-104.0,-104.0,,-104.0
2019-05-07,-249.5,-154.5,-154.5,,-64.0,-154.5,-154.5,-18.5,-154.5
2019-05-08,-244.0,-149.0,-149.0,,-39.0,-149.0,-149.0,-58.5,-174.0
2019-05-09,-186.5,-6.0,0.0,,-52.5,0.0,0.0,0.0,-31.0
2019-05-10,-75.5,0.0,0.0,,-52.5,0.0,0.0,0.0,0.0
2019-05-11,-75.5,0.0,0.0,,-52.5,0.0,0.0,0.0,0.0
2019-05-12,-75.5,0.0,0.0,,-52.5,0.0,0.0,0.0,0.0
2019-05-13,0.0,0.0,0.0,,-102.5,0.0,0.0,0.0,0.0
2019-05-14,-130.0,-130.0,-76.5,,-188.5,-130.0,-130.0,-73.5,-107.5
2019-05-15,0.0,-28.5,-135.0,,-228.5,-19.5,-19.5,-82.5,-206.0
2019-05-16,-28.5,0.0,-103.0,,-228.5,-58.5,-58.5,-50.5,-174.0
2019-05-17,-191.5,-163.0,-186.5,,-228.5,-221.5,-221.5,-70.5,-230.5
2019-05-18,-191.5,-163.0,-186.5,,-228.5,-221.5,-221.5,-70.5,-230.5
2019-05-19,-191.5,-163.0,-186.5,,-228.5,-221.5,-221.5,-70.5,-230.5
2019-05-20,0.0,0.0,0.0,,-246.5,-9.5,-9.5,-76.5,-262.5
2019-05-21,-11.0,-37.0,-55.0,0.0,-272.5,-46.5,-46.5,-76.5,-299.5
2019-05-22,-40.5,0.0,0.0,0.0,-206.5,0.0,0.0,-10.5,-274.0
2019-05-23,-145.0,-31.5,-47.5,0.0,-231.5,-31.5,-31.5,-58.0,-305.5
2019-05-24,-209.0,-95.5,-102.5,0.0,-286.5,-95.5,-95.5,-99.5,-369.5
2019-05-25,-209.0,-95.5,-102.5,0.0,-286.5,-95.5,-95.5,-99.5,-369.5
2019-05-26,-209.0,-95.5,-102.5,0.0,-286.5,-95.5,-95.5,-99.5,-369.5
2019-05-27,-196.5,-95.5,-102.5,0.0,-286.5,-95.5,-95.5,-99.5,-369.5
2019-05-28,-86.0,0.0,0.0,-69.5,-286.5,0.0,-162.5,-137.5,-420.0
2019-05-29,-89.5,-22.0,-74.5,-98.5,-350.5,-22.0,-184.5,-183.0,-387.5
2019-05-30,-225.0,-52.0,-104.5,-128.5,-350.5,-52.0,-214.5,-183.0,-417.5
2019-05-31,-315.5,-142.5,-194.0,-128.5,-350.5,-142.5,-305.0,-183.0,-508.0
2019-06-01,-315.5,-142.5,-194.0,-128.5,-350.5,-142.5,-305.0,-183.0,-508.0
2019-06-02,-333.5,-160.5,-212.0,-128.5,-350.5,-160.5,-323.0,-201.0,-526.0
2019-06-03,-196.5,0.0,-212.0,-128.5,-350.5,0.0,-150.5,-1.0,-353.5
2019-06-04,-349.5,-102.5,-226.0,-142.5,-350.5,-81.0,-231.5,-36.5,-389.0
2019-06-05,-387.0,-111.5,-235.0,0.0,-350.5,-90.0,-240.5,-45.5,-238.0
2019-06-06,-252.5,-172.0,-270.5,-47.0,-350.5,-137.0,-287.5,-81.0,-298.5
2019-06-07,-181.5,-0.5,-281.0,0.0,-350.5,0.0,-45.0,0.0,-56.0
2019-06-08,-181.5,-0.5,-281.0,0.0,-350.5,0.0,-45.0,0.0,-56.0
2019-06-09,-181.5,-0.5,-281.0,0.0,-350.5,0.0,-45.0,0.0,-56.0
2019-06-10,-142.0,-36.0,-316.5,0.0,-350.5,0.0,-45.0,0.0,-91.5
2019-06-11,-8.5,-76.0,-356.5,0.0,-359.5,-40.0,-85.0,-40.0,-131.5
2019-06-12,-19.5,-87.0,-380.0,0.0,-383.0,-51.0,-96.0,-27.5,-142.5
2019-06-13,-47.0,-165.0,-402.5,-22.5,-383.0,-129.0,-174.0,-50.5,-165.0
2019-06-14,-38.0,-160.0,-397.5,-46.0,-383.0,-124.0,-169.0,-74.0,-136.5
2019-06-15,-38.0,-160.0,-397.5,-46.0,-383.0,-124.0,-169.0,-74.0,-136.5
2019-06-16,-38.0,-160.0,-397.5,-46.0,-383.0,-124.0,-169.0,-74.0,-136.5
2019-06-17,-43.0,-154.0,-391.5,-46.0,-363.5,-118.0,-163.0,-87.5,-130.5
2019-06-18,-53.0,-195.5,-433.0,-46.0,-390.5,-159.5,-204.5,-110.0,-145.0
2019-06-19,-36.5,-286.0,-472.0,-58.5,-401.5,-250.0,-295.0,-149.0,-231.5
2019-06-20,-173.0,-312.5,-475.5,-62.0,-401.5,-276.5,-321.5,-152.5,-258.0
2019-06-21,-204.5,-344.0,-507.0,-93.5,-433.0,-308.0,-353.0,-152.5,-289.5
2019-06-22,-204.5,-344.0,-507.0,-93.5,-433.0,-308.0,-353.0,-152.5,-289.5
2019-06-23,-204.5,-344.0,-507.0,-93.5,-433.0,-308.0,-353.0,-152.5,-289.5
2019-06-24,-202.5,-315.5,-478.5,-65.0,-430.5,-279.5,-313.0,-139.0,-261.0
2019-06-25,0.0,-383.0,-546.0,-80.0,-430.5,-347.0,-380.5,-169.0,-328.5
2019-06-26,0.0,-353.5,-483.0,-113.5,-401.0,-317.5,-351.0,-179.5,-265.5
2019-06-27,-28.0,-399.5,-529.0,-154.0,-422.0,-363.5,-397.0,-185.0,-315.5
2019-06-28,0.0,-365.5,-556.5,-92.5,-422.0,-329.5,-435.5,-185.0,-315.5
2019-06-29,0.0,-365.5,-556.5,-92.5,-422.0,-329.5,-435.5,-185.0,-315.5
2019-06-30,0.0,-365.5,-556.5,-92.5,-422.0,-329.5,-435.5,-185.0,-315.5
2019-07-01,0.0,-300.5,-491.5,-15.5,-422.0,-264.5,-370.5,-197.0,-250.5
2019-07-02,0.0,-247.0,-438.0,-32.0,-438.5,-211.0,-317.0,-122.0,-175.5
2019-07-03,-30.5,-277.5,-458.5,-52.5,-438.5,-241.5,-347.5,-152.5,-206.0
2019-07-04,-68.5,-277.0,-458.0,-52.5,-438.5,-241.0,-347.0,-152.0,-205.5
2019-07-05,-169.5,-327.5,-508.5,-103.0,-438.5,-291.5,-385.5,-164.0,-256.0
2019-07-06,-169.5,-327.5,-508.5,-103.0,-438.5,-291.5,-385.5,-164.0,-256.0
2019-07-07,-169.5,-327.5,-508.5,-103.0,-438.5,-291.5,-385.5,-164.0,-256.0
2019-07-08,-180.5,-342.0,-523.0,-103.0,-453.0,-306.0,-400.0,-178.5,-270.5
2019-07-09,-262.0,-385.0,-566.0,-103.0,-453.0,-349.0,-443.0,-189.5,-313.5
2019-07-10,-338.0,-427.5,-594.0,-103.0,-453.0,-391.5,-485.5,-204.0,-341.5
2019-07-11,-408.5,-445.0,-611.5,-103.0,-470.5,-409.0,-503.0,-221.5,-359.0
2019-07-12,-435.5,-460.5,-627.0,-103.0,-470.5,-424.5,-518.5,-237.0,-374.5
2019-07-13,-435.5,-460.5,-627.0,-103.0,-470.5,-424.5,-518.5,-237.0,-374.5
2019-07-14,-458.5,-483.5,-650.0,-126.0,-493.5,-447.5,-541.5,-237.0,-374.5
2019-07-15,-475.5,-500.5,-655.5,-143.0,-493.5,-464.5,-558.5,-254.0,-391.5
2019-07-16,-389.5,-414.5,-557.5,-57.0,-486.5,-378.5,-472.5,-266.0,-305.5
2019-07-17,-408.0,-354.0,-497.0,-57.0,-486.5,-318.0,-412.0,-275.5,-315.0
2019-07-18,-257.0,-380.0,-523.0,-67.5,-486.5,-344.0,-438.0,-301.5,-341.0
2019-07-19,-387.5,-436.5,-539.0,-67.5,-527.0,-400.5,-494.5,-317.5,-397.5
2019-07-20,-387.5,-436.5,-539.0,-67.5,-527.0,-400.5,-494.5,-317.5,-397.5
2019-07-21,-387.5,-436.5,-539.0,-67.5,-527.0,-400.5,-494.5,-317.5,-397.5
2019-07-22,-428.5,-477.5,-552.5,-81.0,-536.0,-441.5,-535.5,-358.5,-420.0
2019-07-23,-522.5,-571.5,-619.5,-118.5,-536.0,-535.5,-629.5,-396.0,-514.0
2019-07-24,-611.0,-660.0,-708.0,-173.0,-591.0,-611.5,-705.5,-413.0,-602.5
2019-07-25,-686.0,-735.0,-739.0,-229.0,-625.0,-686.5,-780.5,-414.0,-677.5
2019-07-26,-614.0,-663.0,-667.0,-245.5,-553.0,-614.5,-708.5,-342.0,-605.5
2019-07-27,-614.0,-663.0,-667.0,-245.5,-553.0,-614.5,-708.5,-342.0,-605.5
2019-07-28,-614.0,-663.0,-667.0,-245.5,-553.0,-614.5,-708.5,-342.0,-605.5
2019-07-29,-567.5,-709.0,-693.5,-272.0,-553.0,-660.5,-735.0,-368.5,-632.0
2019-07-30,-556.0,-697.5,-682.0,-272.0,-530.0,-649.0,-723.5,-394.0,-643.5
2019-07-31,-403.5,-545.0,-529.5,-89.5,-611.0,-496.5,-571.0,-241.5,-473.5
2019-08-01,0.0,-203.0,-162.0,-140.0,-611.0,-133.0,-221.5,0.0,-131.5
2019-08-02,0.0,-33.0,-162.0,-170.0,-611.0,0.0,-21.5,0.0,0.0
2019-08-03,0.0,-33.0,-162.0,-170.0,-611.0,0.0,-21.5,0.0,0.0
2019-08-04,0.0,0.0,0.0,0.0,-411.0,0.0,0.0,0.0,0.0
2019-08-05,-332.0,-227.5,-99.5,-48.0,-411.0,-194.0,-152.5,-24.5,-227.5
2019-08-06,-421.5,-317.0,-99.5,-99.0,-462.0,-283.5,-242.0,-114.0,-317.0
2019-08-07,-701.5,-468.0,-201.0,-99.0,-462.0,-434.5,-393.0,-265.0,-440.0
2019-08-08,-594.5,-361.0,-44.0,-117.5,-480.5,-309.0,-217.5,-108.0,-308.5
2019-08-09,-492.5,-369.5,-52.5,-126.0,-480.5,-317.5,-226.0,-116.5,-317.0
2019-08-10,-492.5,-369.5,-52.5,-126.0,-480.5,-317.5,-226.0,-116.5,-317.0
2019-08-11,-492.5,-423.0,-106.0,-179.5,-480.5,-371.0,-279.5,-116.5,-370.5
2019-08-12,-277.0,-437.5,-148.0,-83.5,-480.5,-355.0,-198.5,-100.5,-385.0
2019-08-13,-386.0,-521.5,-174.0,-123.0,-480.5,-439.0,-243.0,-37.0,-469.0
2019-08-14,-722.0,-521.5,-174.0,-123.0,-480.5,-439.0,-243.0,-37.0,-469.0
2019-08-15,-546.5,-346.0,0.0,-123.0,-480.5,-263.5,-15.0,-84.5,-493.5
2019-08-16,-697.0,-496.5,-118.0,-148.5,-513.0,-414.0,-73.0,-142.5,-551.5
2019-08-17,-697.0,-496.5,-118.0,-148.5,-513.0,-414.0,-73.0,-142.5,-551.5
2019-08-18,-722.5,-522.0,-118.0,-174.0,-513.0,-439.5,-98.5,-168.0,-577.0
2019-08-19,-707.5,-533.0,-129.0,-174.0,-513.0,-450.5,-109.5,-179.0,-577.0
2019-08-20,-782.0,-590.0,-186.0,-192.5,-528.0,-507.5,-166.5,-212.5,-615.5
2019-08-21,-899.0,-602.5,-215.5,-192.5,-528.0,-537.0,-196.0,-212.5,-615.5
2019-08-22,-1020.0,-658.0,-271.0,-192.5,-539.0,-592.5,-251.5,-223.5,-626.5
2019-08-23,-1241.5,-814.0,-353.0,-254.5,-539.0,-791.5,-450.5,-271.0,-724.0
2019-08-24,-1241.5,-814.0,-353.0,-254.5,-539.0,-791.5,-450.5,-271.0,-724.0
2019-08-25,-1343.5,-916.0,-455.0,-254.5,-539.0,-791.5,-450.5,-271.0,-724.0
2019-08-26,-999.5,-1055.0,-511.0,-366.5,-622.0,-930.5,-589.5,-271.0,-863.0
2019-08-27,-1039.0,-1094.5,-550.5,-394.5,-622.0,-970.0,-629.0,-310.5,-930.5
2019-08-28,-1073.0,-1128.5,-584.5,-394.5,-674.0,-1004.0,-663.0,-339.0,-964.5
2019-08-29,-1218.0,-1242.0,-584.5,-394.5,-674.0,-1117.5,-776.5,-362.5,-988.0
2019-08-30,-1307.0,-1331.0,-584.5,-452.5,-674.0,-1206.5,-865.5,-362.5,-1019.0
2019-08-31,-1307.0,-1331.0,-584.5,-452.5,-674.0,-1206.5,-865.5,-362.5,-1019.0
2019-09-01,-1319.0,-1343.0,-596.5,-452.5,-674.0,-1218.5,-877.5,-374.5,-1031.0
2019-09-02,-1406.5,-1410.0,-619.5,-452.5,-697.0,-1285.5,-944.5,-441.5,-1098.0
2019-09-03,-1498.5,-1502.0,-711.5,-493.5,-697.0,-1377.5,-1014.5,-482.5,-1190.0
2019-09-04,-1308.5,-1312.0,-511.5,-293.5,-507.0,-1187.5,-824.5,-292.5,-1000.0
2019-09-05,-1365.5,-1369.0,-568.5,-315.5,-529.0,-1244.5,-881.5,-349.5,-1035.0
2019-09-06,-1384.0,-1406.0,-605.5,-329.0,-529.0,-1281.5,-918.5,-381.5,-1067.0
