date,SND baseline,First physical touch core,First touch + width ≤0.5 ATR,First touch + impulse volume <0.75,First touch + normal RVOL,First touch + opposing room,First touch + width + low volume,Sensitivity · first touch + width ≤0.4,Sensitivity · first touch + width ≤0.6,Sensitivity · first touch + volume <0.5,Sensitivity · first touch + volume <1.0
2019-05-06,-104.0,-104.0,,-64.0,,-104.0,,,,-64.0,-64.0
2019-05-07,-249.5,-154.5,-18.5,-64.0,,-154.5,,-18.5,-50.5,-64.0,-82.5
2019-05-08,-244.0,-149.0,-58.5,-39.0,,-174.0,,-58.5,-90.5,-64.0,-57.5
2019-05-09,-186.5,0.0,0.0,-52.5,,-20.5,,0.0,0.0,-77.5,-71.0
2019-05-10,-75.5,0.0,0.0,-52.5,,-50.5,,0.0,0.0,-77.5,-16.0
2019-05-11,-75.5,0.0,0.0,-52.5,,-50.5,,0.0,0.0,-77.5,-16.0
2019-05-12,-75.5,0.0,0.0,-52.5,,-50.5,,0.0,0.0,-77.5,-16.0
2019-05-13,0.0,0.0,0.0,-102.5,,0.0,,0.0,0.0,-77.5,-66.0
2019-05-14,-130.0,-130.0,-54.0,-188.5,,-88.0,-44.0,-23.0,-88.0,-90.5,-186.0
2019-05-15,0.0,-19.5,-54.0,-228.5,,-177.5,-44.0,-23.0,-128.0,-90.5,-226.0
2019-05-16,-28.5,-58.5,-93.0,-228.5,,-216.5,-44.0,-62.0,-167.0,-90.5,-226.0
2019-05-17,-191.5,-221.5,-113.0,-228.5,,-273.0,-44.0,-82.0,-214.0,-90.5,-278.5
2019-05-18,-191.5,-221.5,-113.0,-228.5,,-273.0,-44.0,-82.0,-214.0,-90.5,-278.5
2019-05-19,-191.5,-221.5,-113.0,-228.5,,-273.0,-44.0,-82.0,-214.0,-90.5,-278.5
2019-05-20,0.0,-9.5,-119.0,-246.5,,-327.5,-62.0,-100.0,-2.0,-108.5,-296.5
2019-05-21,-11.0,-46.5,-119.0,-272.5,0.0,-364.5,-62.0,-100.0,-57.0,-108.5,-322.5
2019-05-22,-40.5,0.0,-53.0,-206.5,0.0,-405.0,0.0,-34.0,0.0,-108.5,-256.5
2019-05-23,-145.0,-31.5,-100.5,-231.5,0.0,-436.5,-25.0,-56.5,-47.5,-133.5,-265.5
2019-05-24,-209.0,-95.5,-142.0,-286.5,0.0,-500.5,-57.5,-87.5,-89.0,-133.5,-320.5
2019-05-25,-209.0,-95.5,-142.0,-286.5,0.0,-500.5,-57.5,-87.5,-89.0,-133.5,-320.5
2019-05-26,-209.0,-95.5,-142.0,-286.5,0.0,-500.5,-57.5,-87.5,-89.0,-133.5,-320.5
2019-05-27,-196.5,-95.5,-142.0,-286.5,0.0,-500.5,-57.5,-87.5,-89.0,-133.5,-320.5
2019-05-28,-86.0,-162.5,-180.0,-286.5,-69.5,-551.0,-57.5,-125.5,-117.0,-133.5,-328.0
2019-05-29,-89.5,-184.5,-225.5,-350.5,-98.5,-518.5,-92.5,-145.5,-162.5,-159.0,-392.0
2019-05-30,-225.0,-214.5,-225.5,-350.5,-128.5,-548.5,-92.5,-145.5,-162.5,-159.0,-422.0
2019-05-31,-315.5,-305.0,-225.5,-350.5,-128.5,-639.0,-92.5,-145.5,-192.0,-159.0,-422.0
2019-06-01,-315.5,-305.0,-225.5,-350.5,-128.5,-639.0,-92.5,-145.5,-192.0,-159.0,-422.0
2019-06-02,-333.5,-323.0,-243.5,-350.5,-128.5,-657.0,-92.5,-163.5,-210.0,-159.0,-422.0
2019-06-03,-196.5,-150.5,-43.5,-350.5,-128.5,-484.5,-92.5,0.0,-37.5,-159.0,-222.0
2019-06-04,-349.5,-231.5,-57.5,-350.5,-142.5,-498.5,-92.5,-14.0,-51.5,-159.0,-222.0
2019-06-05,-387.0,-240.5,-66.5,-350.5,0.0,-347.5,-92.5,-33.5,-60.5,-159.0,-222.0
2019-06-06,-252.5,-287.5,-88.5,-350.5,-47.0,-394.5,-92.5,-55.5,-107.5,-159.0,-222.0
2019-06-07,-181.5,-45.0,0.0,-350.5,0.0,-152.0,-92.5,0.0,0.0,-159.0,-237.5
2019-06-08,-181.5,-45.0,0.0,-350.5,0.0,-152.0,-92.5,0.0,0.0,-159.0,-237.5
2019-06-09,-181.5,-45.0,0.0,-350.5,0.0,-152.0,-92.5,0.0,0.0,-159.0,-237.5
2019-06-10,-142.0,-45.0,0.0,-350.5,0.0,-152.0,-92.5,0.0,0.0,-159.0,-237.5
2019-06-11,-8.5,-85.0,-40.0,-359.5,0.0,-192.0,-101.5,-18.0,-40.0,-168.0,-246.5
2019-06-12,-19.5,-96.0,-27.5,-383.0,0.0,-203.0,-101.5,-18.0,-51.0,-168.0,-270.0
2019-06-13,-47.0,-174.0,-50.5,-383.0,-22.5,-225.5,-101.5,-18.0,-96.5,-168.0,-270.0
2019-06-14,-38.0,-169.0,-74.0,-383.0,-46.0,-197.0,-101.5,-18.0,-120.0,-168.0,-241.5
2019-06-15,-38.0,-169.0,-74.0,-383.0,-46.0,-197.0,-101.5,-18.0,-120.0,-168.0,-241.5
2019-06-16,-38.0,-169.0,-74.0,-383.0,-46.0,-197.0,-101.5,-18.0,-120.0,-168.0,-241.5
2019-06-17,-43.0,-163.0,-87.5,-363.5,-46.0,-191.0,-101.5,-31.5,-114.0,-168.0,-232.5
2019-06-18,-53.0,-204.5,-110.0,-390.5,-46.0,-205.5,-101.5,-39.5,-136.5,-195.0,-259.5
2019-06-19,-36.5,-295.0,-149.0,-401.5,-58.5,-292.0,-112.5,-63.0,-175.5,-195.0,-270.5
2019-06-20,-173.0,-321.5,-152.5,-401.5,-62.0,-318.5,-112.5,-66.5,-202.0,-195.0,-270.5
2019-06-21,-204.5,-353.0,-152.5,-433.0,-93.5,-350.0,-112.5,-66.5,-202.0,-195.0,-302.0
2019-06-22,-204.5,-353.0,-152.5,-433.0,-93.5,-350.0,-112.5,-66.5,-202.0,-195.0,-302.0
2019-06-23,-204.5,-353.0,-152.5,-433.0,-93.5,-350.0,-112.5,-66.5,-202.0,-195.0,-302.0
2019-06-24,-202.5,-313.0,-139.0,-430.5,-53.5,-321.5,-112.5,-53.0,-188.5,-192.5,-299.5
2019-06-25,0.0,-380.5,-169.0,-430.5,-68.5,-389.0,-112.5,-68.0,-218.5,-192.5,-299.5
2019-06-26,0.0,-351.0,-179.5,-401.0,-102.0,-326.0,-112.5,-78.5,-229.0,-163.0,-270.0
2019-06-27,-28.0,-397.0,-185.0,-422.0,-142.5,-376.0,-112.5,-84.0,-275.0,-163.0,-291.0
2019-06-28,0.0,-435.5,-185.0,-422.0,-153.5,-376.0,-112.5,-84.0,-275.0,-163.0,-291.0
2019-06-29,0.0,-435.5,-185.0,-422.0,-153.5,-376.0,-112.5,-84.0,-275.0,-163.0,-291.0
2019-06-30,0.0,-435.5,-185.0,-422.0,-153.5,-376.0,-112.5,-84.0,-275.0,-163.0,-291.0
2019-07-01,0.0,-370.5,-197.0,-422.0,-76.5,-311.0,-112.5,-96.0,-287.0,-163.0,-291.0
2019-07-02,0.0,-317.0,-122.0,-438.5,-93.0,-236.0,-129.0,-112.5,-233.5,-163.0,-307.5
2019-07-03,-30.5,-347.5,-152.5,-438.5,-113.5,-266.5,-129.0,-143.0,-264.0,-163.0,-317.5
2019-07-04,-68.5,-347.0,-152.0,-438.5,-113.5,-266.0,-129.0,-142.5,-263.5,-163.0,-329.0
2019-07-05,-169.5,-385.5,-152.0,-438.5,-152.0,-304.5,-129.0,-142.5,-263.5,-163.0,-329.0
2019-07-06,-169.5,-385.5,-152.0,-438.5,-152.0,-304.5,-129.0,-142.5,-263.5,-163.0,-329.0
2019-07-07,-169.5,-385.5,-152.0,-438.5,-152.0,-304.5,-129.0,-142.5,-263.5,-163.0,-329.0
2019-07-08,-180.5,-400.0,-166.5,-453.0,-152.0,-319.0,-143.5,-142.5,-278.0,-163.0,-343.5
2019-07-09,-262.0,-443.0,-177.5,-453.0,-152.0,-362.0,-143.5,-153.5,-297.0,-163.0,-354.5
2019-07-10,-338.0,-485.5,-192.0,-453.0,-152.0,-390.0,-143.5,-168.0,-339.5,-163.0,-354.5
2019-07-11,-408.5,-503.0,-209.5,-470.5,-152.0,-407.5,-161.0,-185.5,-357.0,-163.0,-372.0
2019-07-12,-435.5,-518.5,-225.0,-470.5,-152.0,-423.0,-161.0,-196.5,-372.5,-163.0,-387.5
2019-07-13,-435.5,-518.5,-225.0,-470.5,-152.0,-423.0,-161.0,-196.5,-372.5,-163.0,-387.5
