date,SND baseline,First physical touch core,First touch + width ≤0.5 ATR,First touch + impulse volume <0.75,First touch + normal RVOL,First touch + opposing room,First touch + width + low volume,Sensitivity · first touch + width ≤0.4,Sensitivity · first touch + width ≤0.6,Sensitivity · first touch + volume <0.5,Sensitivity · first touch + volume <1.0
2019-05-06,-104.0,-104.0,,-64.0,,-104.0,,,,-64.0,-64.0
2019-05-07,-249.5,-154.5,-18.5,-64.0,,-154.5,,-18.5,-50.5,-64.0,-82.5
2019-05-08,-244.0,-149.0,-58.5,-39.0,,-174.0,,-58.5,-90.5,-64.0,-57.5
2019-05-09,-186.5,4.5,141.5,-52.5,,-20.5,,141.5,76.5,-77.5,-71.0
2019-05-10,-75.5,174.5,155.0,-52.5,,-50.5,,141.5,90.0,-77.5,-16.0
2019-05-11,-75.5,174.5,155.0,-52.5,,-50.5,,141.5,90.0,-77.5,-16.0
2019-05-12,-75.5,174.5,155.0,-52.5,,-50.5,,141.5,90.0,-77.5,-16.0
2019-05-13,124.5,374.5,355.0,-102.5,,149.5,,341.5,290.0,-77.5,-66.0
2019-05-14,-5.5,244.5,301.0,-188.5,,61.5,-44.0,318.5,202.0,-90.5,-186.0
2019-05-15,171.5,355.0,301.0,-228.5,,-28.0,-44.0,318.5,162.0,-90.5,-226.0
2019-05-16,143.0,316.0,262.0,-228.5,,-67.0,-44.0,279.5,123.0,-90.5,-226.0
2019-05-17,-20.0,153.0,242.0,-228.5,,-123.5,-44.0,259.5,76.0,-90.5,-278.5
2019-05-18,-20.0,153.0,242.0,-228.5,,-123.5,-44.0,259.5,76.0,-90.5,-278.5
2019-05-19,-20.0,153.0,242.0,-228.5,,-123.5,-44.0,259.5,76.0,-90.5,-278.5
2019-05-20,287.0,365.0,236.0,-246.5,,-178.0,-62.0,241.5,288.0,-108.5,-296.5
2019-05-21,276.0,328.0,236.0,-272.5,18.0,-215.0,-62.0,241.5,233.0,-108.5,-322.5
2019-05-22,246.5,394.0,302.0,-206.5,18.0,-255.5,4.0,307.5,299.0,-108.5,-256.5
2019-05-23,142.0,362.5,254.5,-231.5,18.0,-287.0,-21.0,285.0,251.5,-133.5,-265.5
2019-05-24,78.0,298.5,213.0,-286.5,78.5,-351.0,-53.5,254.0,210.0,-133.5,-320.5
2019-05-25,78.0,298.5,213.0,-286.5,78.5,-351.0,-53.5,254.0,210.0,-133.5,-320.5
2019-05-26,78.0,298.5,213.0,-286.5,78.5,-351.0,-53.5,254.0,210.0,-133.5,-320.5
2019-05-27,90.5,298.5,213.0,-286.5,78.5,-351.0,-53.5,254.0,210.0,-133.5,-320.5
2019-05-28,201.0,231.5,175.0,-286.5,9.0,-401.5,-53.5,216.0,182.0,-133.5,-328.0
2019-05-29,197.5,209.5,129.5,-350.5,-20.0,-369.0,-88.5,196.0,136.5,-159.0,-392.0
2019-05-30,62.0,179.5,129.5,-350.5,-50.0,-399.0,-88.5,196.0,136.5,-159.0,-422.0
2019-05-31,-28.5,89.0,129.5,-350.5,-50.0,-489.5,-88.5,196.0,107.0,-159.0,-422.0
2019-06-01,-28.5,89.0,129.5,-350.5,-50.0,-489.5,-88.5,196.0,107.0,-159.0,-422.0
2019-06-02,-46.5,71.0,111.5,-350.5,-50.0,-507.5,-88.5,178.0,89.0,-159.0,-422.0
2019-06-03,90.5,243.5,311.5,-350.5,-50.0,-335.0,-88.5,378.0,261.5,-159.0,-222.0
2019-06-04,-62.5,162.5,297.5,-350.5,-64.0,-349.0,-88.5,364.0,247.5,-159.0,-222.0
2019-06-05,-100.0,153.5,288.5,-350.5,87.0,-198.0,-88.5,344.5,238.5,-159.0,-222.0
2019-06-06,34.5,106.5,266.5,-350.5,40.0,-245.0,-88.5,322.5,191.5,-159.0,-222.0
2019-06-07,105.5,349.0,442.5,-350.5,231.5,-2.5,-88.5,498.5,367.5,-159.0,-237.5
2019-06-08,105.5,349.0,442.5,-350.5,231.5,-2.5,-88.5,498.5,367.5,-159.0,-237.5
2019-06-09,105.5,349.0,442.5,-350.5,231.5,-2.5,-88.5,498.5,367.5,-159.0,-237.5
2019-06-10,145.0,349.0,442.5,-350.5,231.5,-2.5,-88.5,498.5,367.5,-159.0,-237.5
2019-06-11,278.5,309.0,402.5,-359.5,231.5,-42.5,-97.5,480.5,327.5,-168.0,-246.5
2019-06-12,267.5,298.0,415.0,-383.0,244.0,-53.5,-97.5,480.5,316.5,-168.0,-270.0
2019-06-13,240.0,220.0,392.0,-383.0,221.5,-76.0,-97.5,480.5,271.0,-168.0,-270.0
2019-06-14,249.0,225.0,368.5,-383.0,198.0,-47.5,-97.5,480.5,247.5,-168.0,-241.5
2019-06-15,249.0,225.0,368.5,-383.0,198.0,-47.5,-97.5,480.5,247.5,-168.0,-241.5
2019-06-16,249.0,225.0,368.5,-383.0,198.0,-47.5,-97.5,480.5,247.5,-168.0,-241.5
2019-06-17,244.0,231.0,355.0,-363.5,198.0,-41.5,-97.5,467.0,253.5,-168.0,-232.5
2019-06-18,234.0,189.5,332.5,-390.5,198.0,-56.0,-97.5,459.0,231.0,-195.0,-259.5
2019-06-19,250.5,99.0,293.5,-401.5,185.5,-142.5,-108.5,435.5,192.0,-195.0,-270.5
2019-06-20,114.0,72.5,290.0,-401.5,182.0,-169.0,-108.5,432.0,165.5,-195.0,-270.5
2019-06-21,82.5,41.0,290.0,-433.0,150.5,-200.5,-108.5,432.0,165.5,-195.0,-302.0
2019-06-22,82.5,41.0,290.0,-433.0,150.5,-200.5,-108.5,432.0,165.5,-195.0,-302.0
2019-06-23,82.5,41.0,290.0,-433.0,150.5,-200.5,-108.5,432.0,165.5,-195.0,-302.0
2019-06-24,84.5,81.0,303.5,-430.5,190.5,-172.0,-108.5,445.5,179.0,-192.5,-299.5
2019-06-25,337.5,13.5,273.5,-430.5,175.5,-239.5,-108.5,430.5,149.0,-192.5,-299.5
2019-06-26,367.0,43.0,263.0,-401.0,142.0,-176.5,-108.5,420.0,138.5,-163.0,-270.0
2019-06-27,339.0,-3.0,257.5,-422.0,101.5,-226.5,-108.5,414.5,92.5,-163.0,-291.0
2019-06-28,377.0,-41.5,257.5,-422.0,90.5,-226.5,-108.5,414.5,92.5,-163.0,-291.0
2019-06-29,377.0,-41.5,257.5,-422.0,90.5,-226.5,-108.5,414.5,92.5,-163.0,-291.0
2019-06-30,377.0,-41.5,257.5,-422.0,90.5,-226.5,-108.5,414.5,92.5,-163.0,-291.0
2019-07-01,442.0,23.5,245.5,-422.0,167.5,-161.5,-108.5,402.5,80.5,-163.0,-291.0
2019-07-02,495.5,77.0,320.5,-438.5,151.0,-86.5,-125.0,386.0,134.0,-163.0,-307.5
2019-07-03,465.0,46.5,290.0,-438.5,130.5,-117.0,-125.0,355.5,103.5,-163.0,-317.5
2019-07-04,427.0,47.0,290.5,-438.5,130.5,-116.5,-125.0,356.0,104.0,-163.0,-329.0
2019-07-05,326.0,8.5,290.5,-438.5,92.0,-155.0,-125.0,356.0,104.0,-163.0,-329.0
2019-07-06,326.0,8.5,290.5,-438.5,92.0,-155.0,-125.0,356.0,104.0,-163.0,-329.0
2019-07-07,326.0,8.5,290.5,-438.5,92.0,-155.0,-125.0,356.0,104.0,-163.0,-329.0
2019-07-08,315.0,-6.0,276.0,-453.0,92.0,-169.5,-139.5,356.0,89.5,-163.0,-343.5
2019-07-09,233.5,-49.0,265.0,-453.0,92.0,-212.5,-139.5,345.0,70.5,-163.0,-354.5
2019-07-10,157.5,-91.5,250.5,-453.0,92.0,-240.5,-139.5,330.5,28.0,-163.0,-354.5
2019-07-11,87.0,-109.0,233.0,-470.5,92.0,-258.0,-157.0,313.0,10.5,-163.0,-372.0
2019-07-12,60.0,-124.5,217.5,-470.5,92.0,-273.5,-157.0,302.0,-5.0,-163.0,-387.5
2019-07-13,60.0,-124.5,217.5,-470.5,92.0,-273.5,-157.0,302.0,-5.0,-163.0,-387.5
2019-07-14,37.0,-147.5,217.5,-493.5,69.0,-273.5,-157.0,302.0,-5.0,-163.0,-410.5
2019-07-15,20.0,-164.5,200.5,-493.5,52.0,-290.5,-157.0,285.0,-22.0,-163.0,-410.5
2019-07-16,106.0,-78.5,188.5,-486.5,138.0,-204.5,-169.0,285.0,64.0,-163.0,-420.5
2019-07-17,87.5,-18.0,179.0,-486.5,138.0,-214.0,-169.0,275.5,54.5,-163.0,-420.5
2019-07-18,238.5,-44.0,153.0,-486.5,127.5,-240.0,-169.0,265.0,28.5,-163.0,-420.5
