variant,split,avg_points_ci_low,avg_points_ci_high,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
SND baseline,Overall,-4.27875072878243,-1.0326801171171702,6475.0,0.2742857142857143,-2.6632432432432434,-17244.5,-0.013650659743344581,-34489.0,0.9086195293332132,-38797.5,-0.9445197797789395,-1.3024314442328468,-0.11555936862806002,4147.631907817141,0.3707865168539326
SND baseline,Train 2019–22,-5.8726871994274035,-0.717698239151604,3026.0,0.2580964970257766,-3.3215465961665567,-10051.0,-0.06382274964816781,-20102.0,0.8748980925413076,-21335.5,-1.303795430103224,-1.7868010764153615,-0.24659737303219773,3753.918174777657,0.3409090909090909
SND baseline,Validation 2023–24,-3.6479447657425332,1.5031486439768045,1691.0,0.2554701360141928,-1.135866351271437,-1920.75,0.05541866162346209,-3841.5,0.9547379893369466,-8006.5,-0.39580867673864206,-0.5625472067866872,-0.2017171857619577,3538.89194515044,0.4166666666666667
SND baseline,Holdout 2025–26,-6.346594963245412,0.18523559011518725,1758.0,0.32025028441410697,-2.9992889647326506,-5272.75,0.006272276332153092,-10545.5,0.92002775576444,-15274.5,-0.8796898916233246,-1.2039765231990796,-0.3796997794400858,5444.138171509735,0.38095238095238093
First physical touch core,Overall,-0.3156159068775784,2.679325739549315,4854.0,0.25669550885867326,1.1759373712402144,5708.0,0.04904098601222456,11416.0,1.0576494322672194,-3635.0,0.6366226753638676,1.0082896439990487,0.5227167604113269,2723.925678068926,0.5393258426966292
First physical touch core,Train 2019–22,-1.495199614862087,2.3362236819386046,2360.0,0.24110169491525424,0.41875,988.25,-0.006106910838751693,1976.5,1.0228113404619974,-3146.0,0.208966140773682,0.32879702672393846,0.17771505915104724,2432.709551984963,0.5227272727272727
First physical touch core,Validation 2023–24,-0.9290721325942131,3.7328840538879193,1301.0,0.22905457340507301,1.2909300538047657,1679.5,0.11290790191055144,3359.0,1.0711554552868778,-3635.0,0.7465741160081089,1.2480272926021045,0.5629394797702881,2501.4954096233987,0.5416666666666666
First physical touch core,Holdout 2025–26,-1.266655408722859,6.424206797623291,1193.0,0.3176865046102263,2.5484073763621122,3040.25,0.08848623243685214,6080.5,1.0947524251042113,-2599.5,1.2232765341187408,1.8915374331941615,1.8192630756793051,3477.085476835726,0.5714285714285714
First touch + width ≤0.5 ATR,Overall,-0.44377624585178604,2.913402086232449,2975.0,0.17747899159663866,1.176890756302521,3501.25,0.03836179370788281,7002.5,1.0828570752428621,-7529.0,0.6019715125016016,1.163932015919451,0.14058452955543246,1674.7165613411382,0.5168539325842697
First touch + width ≤0.5 ATR,Train 2019–22,-3.660456062724799,0.931857222180186,1450.0,0.1489655172413793,-1.4496551724137932,-2102.0,-0.07702559245476197,-4204.0,0.889257678731363,-7529.0,-0.7266861152501607,-1.3281943803397358,-0.14969193106907477,1477.1726267630759,0.36363636363636365
First touch + width ≤0.5 ATR,Validation 2023–24,-0.6694130983073647,4.959992887509624,816.0,0.15318627450980393,2.080575980392157,1697.75,0.12490586317478496,3395.5,1.1713427864964425,-2174.5,1.157094526277797,2.421536187642706,0.8735575825717933,1539.7365117492902,0.625
First touch + width ≤0.5 ATR,Holdout 2025–26,1.9743318702475976,8.736656546278974,709.0,0.2637517630465444,5.5084626234132585,3905.5,0.1747394372210602,7811.0,1.292174758734196,-1405.5,2.158906714054185,4.208915853181082,3.740950381957949,2146.0709802297806,0.7142857142857143
First touch + impulse volume <0.75,Overall,-1.7048747983870969,5.305798849422522,993.0,0.2618328298086606,1.7223061430010072,1710.25,0.06922183892547863,3420.5,1.086613575073117,-3138.5,0.3673733674854835,0.6388597117502689,0.13361690676204369,1224.4254930433804,0.5168539325842697
First touch + impulse volume <0.75,Train 2019–22,-3.854626993955257,5.5392348732935375,504.0,0.2400793650793651,0.5843253968253969,294.5,-0.012296320095244652,589.0,1.0327240402244569,-3138.5,0.03191814176269099,0.05537196280853784,0.010581623837580472,1116.0748928953726,0.4318181818181818
First touch + impulse volume <0.75,Validation 2023–24,-0.2593127769177387,9.053902183342972,256.0,0.26171875,4.408203125,1128.5,0.06472886274207379,2257.0,1.2593209628310449,-778.5,0.9396479041742674,1.8936739260764353,1.5303177063153819,1159.5686022990128,0.625
First touch + impulse volume <0.75,Holdout 2025–26,-7.955993946407904,10.702544191919177,233.0,0.3090128755364807,1.2328326180257512,287.25,0.2504894528713849,574.5,1.044921416842599,-2053.5,0.3945403275311658,0.6328817563115734,0.28769767974418853,1497.4063337239545,0.5714285714285714
First touch + normal RVOL,Overall,-0.5820254744754744,3.705302821656003,2392.0,0.26421404682274247,1.6164297658862876,3866.5,0.05211692841209103,7733.0,1.0805013507112704,-3911.5,0.5951549211182907,1.0137344913581003,0.2859860547059164,1912.2441305933417,0.5955056179775281
First touch + normal RVOL,Train 2019–22,-3.097037244254242,2.5644916526748665,1137.0,0.24450307827616535,-0.12532981530343007,-142.5,-0.058128112524004266,-285.0,0.9932661523739766,-3083.0,-0.05736817689829794,-0.09314422898452489,-0.03157723035896372,1722.574217123307,0.5227272727272727
First touch + normal RVOL,Validation 2023–24,0.24284728305678657,7.870377130052465,671.0,0.2563338301043219,4.06371087928465,2726.75,0.22308553806200035,5453.5,1.2373873677795673,-2219.0,1.5274368236762035,2.865552333407408,1.3693690657725133,1834.7166636710099,0.7083333333333334
First touch + normal RVOL,Holdout 2025–26,-2.498013714983022,7.05053846056345,584.0,0.3116438356164384,2.195633561643836,1282.25,0.07031671346217869,2564.5,1.0833604212716161,-3603.5,0.7901204240261741,1.3380681561970154,0.5086026681790304,2345.3308700306557,0.6190476190476191
First touch + opposing room,Overall,0.04492978023775297,3.2899562493530348,3915.0,0.23422733077905492,1.5888888888888888,6220.5,0.03803853301436063,12441.0,1.0880781878873909,-4360.0,0.7570101761203106,1.2664538612973977,0.3930643578095085,2260.998332748281,0.550561797752809
First touch + opposing room,Train 2019–22,-1.9922337184096723,2.46342092879031,1950.0,0.2164102564102564,0.11666666666666667,227.5,-0.03224036935102932,455.0,1.0069794375033554,-4360.0,-0.0250354280099777,-0.041182515208649205,-0.011968121080737927,2081.6573707189323,0.4318181818181818
First touch + opposing room,Validation 2023–24,0.45906422981695993,5.523422729610587,1049.0,0.2163965681601525,2.9942802669208772,3141.0,0.1316307122117941,6282.0,1.194519275429633,-2421.5,1.555952130937234,2.8749892745186565,1.3925410685215334,2085.295958109433,0.7083333333333334
First touch + opposing room,Holdout 2025–26,-0.9123703239317342,8.035150031867925,916.0,0.2925764192139738,3.11353711790393,2852.0,0.08046829680737667,5704.0,1.1303384137284922,-2234.5,1.346103483965641,2.1638841572008687,2.0275419464963216,2774.4763385082756,0.6190476190476191
First touch + width + low volume,Overall,-1.9907951817090472,4.611835721685081,548.0,0.17883211678832117,1.3284671532846715,728.0,0.08953643360168687,1456.0,1.0942913577048863,-2153.0,0.2737880706428497,0.601059867359554,0.09397396604164968,692.4789529502448,0.5168539325842697
First touch + width + low volume,Train 2019–22,-4.918021398688377,3.7899250872312304,269.0,0.15613382899628253,-0.8262081784386617,-222.25,0.006776876263811859,-444.5,0.9359140715109573,-2153.0,-0.23294542616579178,-0.4928103835749123,-0.06820841199711945,590.7412455750406,0.5
First touch + width + low volume,Validation 2023–24,-4.666911764705882,5.623496100232325,144.0,0.13194444444444445,0.21180555555555555,30.5,-0.10610326551245958,61.0,1.017650462962963,-1180.5,0.047024484006702484,0.11542523870831299,0.024945595817085102,626.2328334718496,0.4166666666666667
First touch + width + low volume,Holdout 2025–26,-1.8924809856800577,15.966572802197788,135.0,0.2740740740740741,6.812962962962963,919.75,0.4631248602411347,1839.5,1.3642934944053866,-553.0,1.1766940167879865,2.5300863016677746,2.496447616019349,931.3725469804596,0.6666666666666666
Sensitivity · first touch + width ≤0.4,Overall,-0.21337723479071344,3.35129989487941,2272.0,0.15580985915492956,1.5221170774647887,3458.25,0.06495201834092379,6916.5,1.1226297172947528,-4193.0,0.7277890197397788,1.54954632347159,0.2792779340735399,1369.5493057381518,0.5393258426966292
Sensitivity · first touch + width ≤0.4,Train 2019–22,-2.9587203302031524,2.0815510891981712,1113.0,0.13387241689128482,-0.44002695417789756,-489.75,-0.029994903051928704,-979.5,0.9618589618784316,-4193.0,-0.1425642672115719,-0.30522729609693855,-0.04864929094192428,1217.90209263345,0.36363636363636365
Sensitivity · first touch + width ≤0.4,Validation 2023–24,-0.3567096607927345,5.0801314302391996,639.0,0.13615023474178403,2.399843505477308,1533.5,0.14451778570131915,3067.0,1.2289745791182949,-1604.5,1.2233512878872423,2.8718377002890687,1.1044807640412526,1326.711713004072,0.7083333333333334
Sensitivity · first touch + width ≤0.4,Holdout 2025–26,0.9127707126821968,8.329950686106345,520.0,0.22692307692307692,4.6432692307692305,2414.5,0.17040086096967794,4829.0,1.2787140713378737,-1092.5,1.6611353310106411,3.299132799113622,2.6549774955673087,1689.3934891549595,0.7142857142857143
Sensitivity · first touch + width ≤0.6,Overall,0.46586879044388596,3.515589963635371,3481.0,0.19936799770180982,1.9594225797184717,6820.75,0.060814848179955354,13641.5,1.1290061753496685,-4170.0,1.028334779372374,1.9345470758959176,0.47637885965527255,1884.9752228747564,0.5842696629213483
Sensitivity · first touch + width ≤0.6,Train 2019–22,-2.2969939834476203,1.588962349685053,1702.0,0.172737955346651,-0.3855757931844888,-656.25,-0.03839935863374699,-1312.5,0.9721712765167979,-4170.0,-0.1864441068113966,-0.334709785138093,-0.07574471260803495,1653.07040738954,0.45454545454545453
Sensitivity · first touch + width ≤0.6,Validation 2023–24,0.3674638188608777,5.336257854737942,932.0,0.17274678111587982,2.865343347639485,2670.5,0.15387016427298092,5341.0,1.2228992341881768,-1595.5,1.6169229930466251,3.2965716606513054,1.8213813447258673,1718.39800245774,0.7083333333333334
Sensitivity · first touch + width ≤0.6,Holdout 2025–26,2.4011341128708352,8.923656502251246,847.0,0.282172373081464,5.6747343565525386,4806.5,0.15778654286498664,9613.0,1.277687908024727,-1425.0,2.3911538768889233,4.488120769018758,4.7361745212866575,2444.1920763676676,0.7142857142857143
Sensitivity · first touch + volume <0.5,Overall,-4.664262448005872,9.169466745498294,251.0,0.24302788844621515,2.00398406374502,503.0,0.04668804952783693,1006.0,1.1056334330865754,-1180.0,0.1229080870769165,0.2274463022517806,0.05769202466628402,599.8824754092066,0.34831460674157305
Sensitivity · first touch + volume <0.5,Train 2019–22,-9.49035169119262,9.393093227332743,145.0,0.23448275862068965,-0.31724137931034485,-46.0,-0.015161705136537003,-92.0,0.9832864020346989,-1180.0,-0.2514726701821409,-0.42752481034926887,-0.12037460364279919,611.7513419811086,0.29545454545454547
Sensitivity · first touch + volume <0.5,Validation 2023–24,-5.62875904159132,17.235103162836637,72.0,0.2361111111111111,4.854166666666667,349.5,0.09953744509867937,699.0,1.2890818858560793,-370.0,0.5516519950884172,1.1879054070872481,0.9120223671947809,611.7049858724497,0.4166666666666667
Sensitivity · first touch + volume <0.5,Holdout 2025–26,-12.322875615763547,25.492813846982756,34.0,0.29411764705882354,5.867647058823529,199.5,0.19854269497588273,399.0,1.2492192379762648,-417.0,0.4583685113672326,0.900194032927806,0.6882704657857829,558.5824656859588,0.38095238095238093
Sensitivity · first touch + volume <1.0,Overall,-0.1718125883704489,4.921136294591646,1964.0,0.2668024439918534,2.2401985743380854,4399.75,0.049088931830626195,8799.5,1.113476046166742,-2362.5,0.6893373066461066,1.1995250586274628,0.518438081730343,1755.3590544024205,0.5617977528089888
Sensitivity · first touch + volume <1.0,Train 2019–22,-2.512315434592706,3.967395221090562,956.0,0.24581589958158995,0.6754707112970711,645.75,-0.03368013422459366,1291.5,1.038190850755537,-2251.0,0.14956392413423744,0.24937268982393798,0.09886808705366155,1542.8728319279376,0.4772727272727273
Sensitivity · first touch + volume <1.0,Validation 2023–24,-0.17724007403698813,7.112812339151184,497.0,0.2515090543259557,3.362676056338028,1671.25,0.12599996324139254,3342.5,1.1945972695252234,-1705.5,1.034697740188082,2.02656157372568,1.0385643054006857,1645.1247842121568,0.5833333333333334
Sensitivity · first touch + volume <1.0,Holdout 2025–26,-1.429067976051402,10.327571906152356,511.0,0.32093933463796476,4.075831702544031,2082.75,0.12913285460487142,4165.5,1.1568837918761652,-2362.5,1.2282200226961293,2.0922566839119474,1.205936169543188,2248.942978697931,0.7142857142857143
