date,SND baseline,First physical touch core,First touch + width ≤0.5 ATR,First touch + impulse volume <0.75,First touch + normal RVOL,First touch + opposing room,First touch + width + low volume,Sensitivity · first touch + width ≤0.4,Sensitivity · first touch + width ≤0.6,Sensitivity · first touch + volume <0.5,Sensitivity · first touch + volume <1.0
2019-05-06,,,,,,,,,,,
2019-05-07,,,,,,,,,,,
2019-05-08,,,,,,,,,,,
2019-05-09,,,,,,,,,,,
2019-05-10,,,,,,,,,,,
2019-05-11,,,,,,,,,,,
2019-05-12,,,,,,,,,,,
2019-05-13,,,,,,,,,,,
2019-05-14,,,,,,,,,,,
2019-05-15,,,,,,,,,,,
2019-05-16,,,,,,,,,,,
2019-05-17,,,,,,,,,,,
2019-05-18,,,,,,,,,,,
2019-05-19,,,,,,,,,,,
2019-05-20,,,,,,,,,,,
2019-05-21,,,,,,,,,,,
2019-05-22,,,,,,,,,,,
2019-05-23,,,,,,,,,,,
2019-05-24,,,,,,,,,,,
2019-05-25,0.9285714285714286,4.145833333333333,,-10.232142857142858,,-5.484375,,,,-13.35,-8.43421052631579
2019-05-26,0.9285714285714286,4.145833333333333,5.605263157894737,-10.232142857142858,,-5.484375,,9.071428571428571,4.038461538461538,-13.35,-8.43421052631579
2019-05-27,1.052325581395349,4.145833333333333,5.605263157894737,-10.232142857142858,,-5.484375,,9.071428571428571,4.038461538461538,-13.35,-8.43421052631579
2019-05-28,2.284090909090909,2.89375,3.977272727272727,-10.232142857142858,,-5.425675675675675,,6.352941176470588,3.033333333333333,-13.35,-8.2
2019-05-29,2.0572916666666665,2.327777777777778,2.59,-10.308823529411764,,-4.6125,,5.157894736842105,2.0681818181818183,-13.25,-8.521739130434783
2019-05-30,0.6078431372549019,1.951086956521739,2.59,-10.308823529411764,,-4.865853658536586,,5.157894736842105,2.0681818181818183,-13.25,-8.791666666666666
2019-05-31,-0.2688679245283019,0.9270833333333334,2.59,-10.308823529411764,,-5.691860465116279,,5.157894736842105,1.5735294117647058,-13.25,-8.791666666666666
2019-06-01,-0.2688679245283019,0.9270833333333334,2.59,-10.308823529411764,,-5.691860465116279,,5.157894736842105,1.5735294117647058,-13.25,-8.791666666666666
2019-06-02,-0.4305555555555556,0.7244897959183674,2.144230769230769,-10.308823529411764,,-5.767045454545454,-4.916666666666667,4.45,1.2714285714285714,-13.25,-8.791666666666666
2019-06-03,0.793859649122807,2.3872549019607843,5.768518518518518,-10.308823529411764,,-3.641304347826087,-4.916666666666667,9.0,3.5337837837837838,-13.25,-4.44
2019-06-04,-0.5208333333333334,1.5330188679245282,5.3125,-10.308823529411764,,-3.7127659574468086,-4.916666666666667,8.272727272727273,3.2565789473684212,-13.25,-4.44
2019-06-05,-0.819672131147541,1.3954545454545455,4.808333333333334,-10.308823529411764,,-2.0625,-4.916666666666667,7.489130434782608,2.98125,-13.25,-4.44
2019-06-06,0.2782258064516129,0.9181034482758621,4.1640625,-10.308823529411764,,-2.4019607843137254,-4.916666666666667,6.45,2.2267441860465116,-13.25,-4.44
2019-06-07,0.7757352941176471,2.814516129032258,6.321428571428571,-10.308823529411764,,-0.022727272727272728,-4.916666666666667,8.901785714285714,3.994565217391304,-13.25,-4.5673076923076925
2019-06-08,0.7757352941176471,2.814516129032258,6.321428571428571,-10.308823529411764,,-0.022727272727272728,-4.916666666666667,8.901785714285714,3.994565217391304,-13.25,-4.5673076923076925
2019-06-09,0.7757352941176471,2.814516129032258,6.321428571428571,-10.308823529411764,8.267857142857142,-0.022727272727272728,-4.916666666666667,8.901785714285714,3.994565217391304,-13.25,-4.5673076923076925
2019-06-10,1.0357142857142858,2.814516129032258,6.321428571428571,-10.308823529411764,8.267857142857142,-0.022727272727272728,-4.916666666666667,8.901785714285714,3.994565217391304,-13.25,-4.5673076923076925
2019-06-11,1.9075342465753424,2.376923076923077,5.296052631578948,-9.98611111111111,8.267857142857142,-0.36637931034482757,-4.875,8.008333333333333,3.3418367346938775,-12.0,-4.564814814814815
2019-06-12,1.7833333333333334,2.2238805970149254,5.32051282051282,-10.078947368421053,8.133333333333333,-0.44583333333333336,-4.875,8.008333333333333,3.1029411764705883,-12.0,-4.821428571428571
2019-06-13,1.5584415584415585,1.5714285714285714,4.9,-10.078947368421053,6.921875,-0.6229508196721312,-4.875,8.008333333333333,2.556603773584906,-12.0,-4.821428571428571
2019-06-14,1.5759493670886076,1.5625,4.4939024390243905,-10.078947368421053,5.823529411764706,-0.38306451612903225,-4.875,8.008333333333333,2.2916666666666665,-12.0,-4.163793103448276
2019-06-15,1.5759493670886076,1.5625,4.4939024390243905,-10.078947368421053,5.823529411764706,-0.38306451612903225,-4.875,8.008333333333333,2.2916666666666665,-12.0,-4.163793103448276
2019-06-16,1.5759493670886076,1.5625,4.4939024390243905,-10.078947368421053,5.823529411764706,-0.38306451612903225,-4.875,8.008333333333333,2.2916666666666665,-12.0,-4.163793103448276
