variant,candidate_type,status,trades,overall_profit_factor,overall_sharpe,overall_pnl,train_profit_factor,validation_profit_factor,holdout_profit_factor,holdout_sharpe,holdout_pnl,holdout_trades
SND baseline,reference,control,6475,0.9086195293332132,-0.9445197797789395,-34489.0,0.8748980925413076,0.9547379893369466,0.92002775576444,-0.8796898916233246,-10545.5,1758
First physical touch core,reference,core reference,4854,1.0576494322672194,0.6366226753638676,11416.0,1.0228113404619974,1.0711554552868778,1.0947524251042113,1.2232765341187408,6080.5,1193
First touch + width ≤0.5 ATR,primary,positive recent periods,2975,1.0828570752428621,0.6019715125016016,7002.5,0.889257678731363,1.1713427864964425,1.292174758734196,2.158906714054185,7811.0,709
First touch + impulse volume <0.75,primary,positive all periods,993,1.086613575073117,0.3673733674854835,3420.5,1.0327240402244569,1.2593209628310449,1.044921416842599,0.3945403275311658,574.5,233
First touch + normal RVOL,primary,positive recent periods,2392,1.0805013507112704,0.5951549211182907,7733.0,0.9932661523739766,1.2373873677795673,1.0833604212716161,0.7901204240261741,2564.5,584
First touch + opposing room,primary,positive recent periods,3915,1.0880781878873909,0.7570101761203106,12441.0,1.0069794375033554,1.194519275429633,1.1303384137284922,1.346103483965641,5704.0,916
First touch + width + low volume,primary,positive recent periods,548,1.0942913577048863,0.2737880706428497,1456.0,0.9359140715109573,1.017650462962963,1.3642934944053866,1.1766940167879865,1839.5,135
Sensitivity · first touch + width ≤0.4,sensitivity,positive recent periods,2272,1.1226297172947528,0.7277890197397788,6916.5,0.9618589618784316,1.2289745791182949,1.2787140713378737,1.6611353310106411,4829.0,520
Sensitivity · first touch + width ≤0.6,sensitivity,positive recent periods,3481,1.1290061753496685,1.028334779372374,13641.5,0.9721712765167979,1.2228992341881768,1.277687908024727,2.3911538768889233,9613.0,847
Sensitivity · first touch + volume <0.5,sensitivity,positive recent periods,251,1.1056334330865754,0.1229080870769165,1006.0,0.9832864020346989,1.2890818858560793,1.2492192379762648,0.4583685113672326,399.0,34
Sensitivity · first touch + volume <1.0,sensitivity,positive all periods,1964,1.113476046166742,0.6893373066461066,8799.5,1.038190850755537,1.1945972695252234,1.1568837918761652,1.2282200226961293,4165.5,511
