trade_number,reference_trade_id,reference_zone_id,direction,reference_signal_time,tradingview_signal_time,tradingview_entry_time,timing_error_seconds,reference_zone_formed,tradingview_zone_time,reference_proximal,reference_distal,tradingview_fill,tradingview_research_proximal,tradingview_research_distal,tradingview_opposing_room_r,price_basis_plus_fill_difference
1,3534,7863,short,2026-01-02 02:23:00+00:00,2026-01-02 02:23:00+00:00,2026-01-02 02:24:00+00:00,0.0,2025-12-31 19:00:00+00:00,2025-12-31 18:00:00+00:00,25581.75,25634.75,26092.5,26090.0,26143.0,5.8426,510.75
2,3535,7861,short,2026-01-02 09:10:00+00:00,2026-01-02 09:10:00+00:00,2026-01-02 09:11:00+00:00,0.0,2025-12-30 19:00:00+00:00,2025-12-30 18:00:00+00:00,25728.75,25744.0,26238.0,26237.0,26252.25,28.4615,509.25
3,3537,7832,long,2026-01-02 18:50:00+00:00,2026-01-02 18:50:00+00:00,2026-01-02 18:51:00+00:00,0.0,2025-12-19 03:00:00+00:00,2025-12-19 02:00:00+00:00,25266.25,25236.25,25785.5,25774.5,25744.5,13.7419,519.25
4,3538,7869,long,2026-01-05 05:08:00+00:00,2026-01-05 05:08:00+00:00,2026-01-05 05:09:00+00:00,0.0,2026-01-05 04:00:00+00:00,2026-01-05 03:00:00+00:00,25474.0,25456.0,25980.75,25982.25,25964.25,11.4868,506.75
5,3539,7866,short,2026-01-05 16:09:00+00:00,2026-01-05 16:09:00+00:00,2026-01-05 16:10:00+00:00,0.0,2026-01-02 15:00:00+00:00,2026-01-02 14:00:00+00:00,25692.25,25803.5,26195.75,26200.5,26311.75,3.2806,503.5
6,3540,7874,long,2026-01-06 07:45:00+00:00,2026-01-06 07:45:00+00:00,2026-01-06 07:46:00+00:00,0.0,2026-01-06 06:00:00+00:00,2026-01-06 05:00:00+00:00,25646.75,25638.25,26153.25,26155.0,26146.5,4.7895,506.5
7,3541,7873,long,2026-01-06 08:03:00+00:00,2026-01-06 08:03:00+00:00,2026-01-06 08:04:00+00:00,0.0,2026-01-06 04:00:00+00:00,2026-01-06 03:00:00+00:00,25623.75,25616.5,26132.5,26132.0,26124.75,8.303,508.75
8,3542,7872,long,2026-01-06 08:22:00+00:00,2026-01-06 08:22:00+00:00,2026-01-06 08:23:00+00:00,0.0,2026-01-06 01:00:00+00:00,2026-01-06 00:00:00+00:00,25566.25,25552.25,26076.25,26074.5,26060.5,8.4,510.0
9,3543,7877,short,2026-01-07 02:05:00+00:00,2026-01-07 02:05:00+00:00,2026-01-07 02:06:00+00:00,0.0,2026-01-07 01:00:00+00:00,2026-01-07 00:00:00+00:00,25825.25,25842.5,26337.75,26333.5,26350.75,8.5479,512.5
10,3544,7856,short,2026-01-07 14:42:00+00:00,2026-01-07 14:42:00+00:00,2026-01-07 14:43:00+00:00,0.0,2025-12-29 05:00:00+00:00,2025-12-29 04:00:00+00:00,25852.5,25867.75,26352.0,26360.75,26376.0,5.2462,499.5
