variant,round_trip_cost_ticks,profit_factor,total_pnl,sharpe,max_drawdown
Phase 6 · no RVOL filter,0,1.0880781878873909,12441.0,0.7570101761203106,-4360.0
Phase 6 · no RVOL filter,1,1.0734395796847636,10483.5,0.6450011751973662,-4620.0
Phase 6 · no RVOL filter,2,1.0591053094952547,8526.0,0.533023557296202,-4880.0
Phase 6 · no RVOL filter,4,1.031313134742911,4611.0,0.30918574775729957,-5804.5
Phase 6 + prior 1m RVOL 0.75–1.25,0,1.1747908819644866,7146.5,0.7553091332820197,-2572.5
Phase 6 + prior 1m RVOL 0.75–1.25,1,1.1587301587301588,6560.0,0.6951125575194449,-2714.0
Phase 6 + prior 1m RVOL 0.75–1.25,2,1.1430093368446252,5973.5,0.634880303004446,-2855.5
Phase 6 + prior 1m RVOL 0.75–1.25,4,1.112543811321197,4800.5,0.5143239173051994,-3188.5
Phase 6 + prior 5m RVOL 0.75–1.25,0,1.189699299291623,9895.0,0.8804880268766639,-3458.0
Phase 6 + prior 5m RVOL 0.75–1.25,1,1.173623163664988,9153.5,0.8149164596735158,-3537.5
Phase 6 + prior 5m RVOL 0.75–1.25,2,1.1578828828828829,8412.0,0.7492936717197597,-3617.0
Phase 6 + prior 5m RVOL 0.75–1.25,4,1.1273736649570765,6929.0,0.6179104077026057,-3776.0
