trade_number,reference_trade_id,reference_zone_id,direction,reference_signal_time,tradingview_signal_time,tradingview_entry_time,timing_error_seconds,reference_zone_formed,tradingview_zone_time,reference_proximal,reference_distal,tradingview_fill,tradingview_research_proximal,tradingview_research_distal,tradingview_opposing_room_r,tradingview_first_touch_prior_5m_rvol,reference_first_touch_prior_5m_rvol,price_basis_plus_fill_difference
41,1322,7863,short,2026-01-02 02:23:00+00:00,2026-01-02 02:23:00+00:00,2026-01-02 02:23:00+00:00,0.0,2025-12-31 19:00:00+00:00,2025-12-31 18:00:00+00:00,25581.75,25634.75,26090.25,26090.0,26143.0,5.8426,0.94,1.008398302278679,508.5
44,1326,7855,short,2026-01-07 14:48:00+00:00,2026-01-07 14:48:00+00:00,2026-01-07 14:48:00+00:00,0.0,2025-12-29 01:00:00+00:00,2025-12-29 00:00:00+00:00,25871.0,25893.5,26381.5,26379.25,26401.75,4.4149,1.0825,1.1834510273894674,510.5
45,1327,7883,short,2026-01-08 07:23:00+00:00,2026-01-08 07:23:00+00:00,2026-01-08 07:23:00+00:00,0.0,2026-01-08 05:00:00+00:00,2026-01-08 04:00:00+00:00,25776.5,25793.5,26291.25,26284.75,26301.75,5.9583,1.0728,1.1617729567982047,514.75
47,1328,7896,long,2026-01-13 15:02:00+00:00,2026-01-13 15:02:00+00:00,2026-01-13 15:02:00+00:00,0.0,2026-01-13 13:00:00+00:00,2026-01-13 12:00:00+00:00,25900.5,25886.5,26406.5,26408.75,26394.75,25.0,0.9056,1.01938205175497,506.0
48,1329,7898,short,2026-01-14 09:00:00+00:00,2026-01-14 09:00:00+00:00,2026-01-14 09:00:00+00:00,0.0,2026-01-14 08:00:00+00:00,2026-01-14 07:00:00+00:00,25860.75,25876.0,26370.25,26369.0,26384.25,6.6308,0.9266,1.0134340890008395,509.5
49,1330,7907,long,2026-01-16 07:33:00+00:00,2026-01-16 07:33:00+00:00,2026-01-16 07:33:00+00:00,0.0,2026-01-16 06:00:00+00:00,2026-01-16 05:00:00+00:00,25810.25,25802.25,26318.25,26318.5,26310.5,4.8056,0.8063,0.845936753744844,508.0
50,1333,7932,long,2026-01-26 09:30:00+00:00,2026-01-26 09:30:00+00:00,2026-01-26 09:30:00+00:00,0.0,2026-01-26 07:00:00+00:00,2026-01-26 06:00:00+00:00,25674.75,25665.0,26182.25,26183.0,26173.25,11.1395,0.8955,0.8955369086708014,507.5
51,1334,7935,short,2026-01-26 20:09:00+00:00,2026-01-26 20:09:00+00:00,2026-01-26 20:09:00+00:00,0.0,2026-01-26 19:00:00+00:00,2026-01-26 18:00:00+00:00,25891.0,25932.75,26402.75,26399.25,26441.0,5.1988,0.7811,0.7811036519754124,511.75
52,1335,7937,short,2026-01-27 10:46:00+00:00,2026-01-27 10:46:00+00:00,2026-01-27 10:46:00+00:00,0.0,2026-01-27 08:00:00+00:00,2026-01-27 07:00:00+00:00,26002.5,26020.75,26511.0,26510.75,26529.0,5.3896,0.8644,0.8644177748945832,508.5
53,1336,7938,long,2026-01-27 13:52:00+00:00,2026-01-27 13:52:00+00:00,2026-01-27 13:52:00+00:00,0.0,2026-01-27 10:00:00+00:00,2026-01-27 09:00:00+00:00,25983.5,25967.0,26490.75,26491.75,26475.25,16.6857,0.79,0.7899752145276442,507.25
54,1337,7952,short,2026-02-02 15:07:00+00:00,2026-02-02 15:07:00+00:00,2026-02-02 15:07:00+00:00,0.0,2026-01-30 16:00:00+00:00,2026-01-30 15:00:00+00:00,25826.75,25934.25,26336.5,26335.0,26442.5,4.629,0.9958,0.995837543414157,509.75
55,1338,7957,short,2026-02-03 03:40:00+00:00,2026-02-03 03:40:00+00:00,2026-02-03 03:40:00+00:00,0.0,2026-02-03 02:00:00+00:00,2026-02-03 01:00:00+00:00,25952.5,25990.75,26464.0,26460.75,26499.0,16.0,0.7698,0.7697594501718213,511.5
56,1339,7958,long,2026-02-03 14:06:00+00:00,2026-02-03 14:06:00+00:00,2026-02-03 14:06:00+00:00,0.0,2026-02-03 12:00:00+00:00,2026-02-03 11:00:00+00:00,25955.75,25922.75,26461.5,26464.0,26431.0,4.5956,0.7738,0.7738012217914028,505.75
57,1340,7955,long,2026-02-03 18:59:00+00:00,2026-02-03 18:59:00+00:00,2026-02-03 18:59:00+00:00,0.0,2026-02-02 07:00:00+00:00,2026-02-02 06:00:00+00:00,25249.75,25180.25,25754.25,25758.0,25688.5,12.2305,1.2491,1.2490827156541653,504.5
59,1341,7971,short,2026-02-09 14:45:00+00:00,2026-02-09 14:45:00+00:00,2026-02-09 14:45:00+00:00,0.0,2026-02-09 09:00:00+00:00,2026-02-09 08:00:00+00:00,25159.25,25214.75,25676.25,25667.5,25723.0,12.9956,0.7594,0.7594314699985568,517.0
60,1342,7979,long,2026-02-12 06:35:00+00:00,2026-02-12 06:35:00+00:00,2026-02-12 06:35:00+00:00,0.0,2026-02-12 03:00:00+00:00,2026-02-12 02:00:00+00:00,25301.5,25269.0,25805.25,25809.75,25777.25,4.4403,1.1729,1.1728970221013009,503.75
61,1343,7986,short,2026-02-13 04:16:00+00:00,2026-02-13 04:16:00+00:00,2026-02-13 04:16:00+00:00,0.0,2026-02-13 03:00:00+00:00,2026-02-13 02:00:00+00:00,24786.75,24832.25,25296.0,25295.0,25340.5,7.7796,0.9242,0.9241945672773216,509.25
62,1344,7987,short,2026-02-13 07:17:00+00:00,2026-02-13 07:17:00+00:00,2026-02-13 07:17:00+00:00,0.0,2026-02-13 05:00:00+00:00,2026-02-13 04:00:00+00:00,24750.25,24803.25,25259.25,25258.5,25311.5,6.0231,1.1941,1.1941173596521228,509.0
63,1345,7995,short,2026-02-17 18:55:00+00:00,2026-02-17 18:55:00+00:00,2026-02-17 18:55:00+00:00,0.0,2026-02-16 13:00:00+00:00,2026-02-16 12:00:00+00:00,24863.25,24881.0,25371.5,25371.5,25389.25,23.3733,1.1686,1.1685724699719429,508.25
64,1347,8006,short,2026-02-19 05:30:00+00:00,2026-02-19 05:30:00+00:00,2026-02-19 05:30:00+00:00,0.0,2026-02-19 04:00:00+00:00,2026-02-19 03:00:00+00:00,24979.75,24999.5,25489.75,25488.0,25507.75,9.1807,1.1291,1.1290664032178392,510.0
