sess,entry,exit,high,low,bars,prior_day_ret,trend,mfe,mae,pnl,mfe_usd,mae_usd,prior_night,vol20,dow,year,month
2020-01-01,8773.0,8818.0,8822.75,8769.25,144,,,49.75,3.75,89.5,99.5,7.5,,,2,2020,1
2020-01-02,8898.0,8745.5,8907.75,8735.25,144,0.7680535086724838,,9.75,162.75,-305.5,19.5,325.5,89.5,,3,2020,1
2020-01-05,8784.5,8747.25,8795.0,8723.0,144,0.43034655722753445,,10.5,61.5,-75.0,21.0,123.0,-305.5,,6,2020,1
2020-01-06,8851.75,8875.75,8894.5,8846.0,144,1.4275088682915715,,42.75,5.75,47.5,85.5,11.5,-75.0,,0,2020,1
2020-01-07,8843.0,8867.5,8874.5,8678.25,144,-0.05075140271237899,,31.5,164.75,48.5,63.0,329.5,47.5,,1,2020,1
2020-01-08,8948.5,8980.5,8993.75,8932.5,144,0.7758717977654817,,45.25,16.0,63.5,90.5,32.0,48.5,,2,2020,1
2020-01-09,9008.5,9041.0,9046.25,9008.5,144,0.047211730726504086,,37.75,0.0,64.5,75.5,0.0,63.5,,3,2020,1
2020-01-12,8978.75,9025.5,9028.75,8978.75,144,-0.6140569247365391,,50.0,0.0,93.0,100.0,0.0,64.5,,6,2020,1
2020-01-13,9088.5,9076.0,9114.75,9041.5,144,0.7513377138262722,,26.25,47.0,-25.5,52.5,94.0,93.0,,0,2020,1
2020-01-14,9062.5,9054.75,9064.0,9025.75,144,-0.2864540296369733,,1.5,36.75,-16.0,3.0,73.5,-25.5,,1,2020,1
2020-01-15,9060.5,9099.25,9109.75,9060.5,144,-0.016567263088140827,,49.25,0.0,77.0,98.5,0.0,-16.0,,2,2020,1
2020-01-16,9136.5,9168.75,9172.5,9134.0,144,0.46450265233763943,,36.0,2.5,64.0,72.0,5.0,77.0,,3,2020,1
2020-01-19,9173.75,9162.25,9187.0,9160.0,144,0.07356547327121987,,13.25,13.75,-23.5,26.5,27.5,64.0,,6,2020,1
2020-01-20,9176.0,9131.5,9179.25,9114.5,144,0.0954510745063919,,3.25,61.5,-89.5,6.5,123.0,-23.5,,0,2020,1
2020-01-21,9179.0,9227.5,9237.5,9174.5,144,0.28677555033593816,,58.5,4.5,96.5,117.0,9.0,-89.5,,1,2020,1
2020-01-22,9189.25,9205.0,9209.0,9174.0,144,-0.24936304006071275,,19.75,15.25,31.0,39.5,30.5,96.5,,2,2020,1
2020-01-23,9251.0,9273.75,9287.5,9249.5,144,0.3725559513773735,,36.5,1.5,45.0,73.0,3.0,31.0,,3,2020,1
2020-01-26,9098.25,8959.25,9098.25,8942.75,144,-1.3075948343263866,,0.0,155.5,-278.5,0.0,311.0,45.0,,6,2020,1
2020-01-27,8954.0,8993.0,9040.75,8952.5,144,0.15647265919696007,,86.75,1.5,77.5,173.5,3.0,-278.5,,0,2020,1
