date,side,entry_ts,entry,exit_ts,exit,why,or_hi,or_lo,or_width,risk_pts,ann_vol,pts,contracts_raw,contracts,gross_$,cost_$,net_$
2019-09-23 00:00:00-04:00,1,2019-09-23 10:05:00-04:00,1530.3,2019-09-23 15:55:00-04:00,1532.2,close,1530.0,1524.9,5.099999999999909,5.399999999999864,0.1450802141803009,1.900000000000091,5.405009725578934,5.0,95.00000000000455,16.200000000000003,78.80000000000454
2019-09-24 00:00:00-04:00,1,2019-09-24 10:05:00-04:00,1528.4,2019-09-24 12:35:00-04:00,1539.6000000000004,target,1527.4,1522.8,4.600000000000136,5.600000000000136,0.1400068310174604,11.200000000000273,5.607831959091369,6.0,672.0000000000164,19.44,652.5600000000163
2019-09-27 00:00:00-04:00,1,2019-09-27 10:10:00-04:00,1500.3,2019-09-27 15:55:00-04:00,1502.9,close,1499.3,1493.3,6.0,7.0,0.1514653611057909,2.6000000000001364,5.280679530648288,5.0,130.00000000000682,16.200000000000003,113.80000000000682
2019-10-01 00:00:00-04:00,1,2019-10-01 10:05:00-04:00,1480.5,2019-10-01 15:55:00-04:00,1487.5,close,1472.1,1468.0,4.099999999999909,12.5,0.14660087885207482,7.0,5.528868497218258,6.0,420.0,19.44,400.56
2019-10-02 00:00:00-04:00,1,2019-10-02 11:15:00-04:00,1504.5,2019-10-02 15:55:00-04:00,1505.0,close,1504.3,1499.5,4.7999999999999545,5.0,0.1428350838129215,0.5,5.584112510545894,6.0,30.0,19.44,10.559999999999999
2019-10-03 00:00:00-04:00,1,2019-10-03 10:05:00-04:00,1523.7,2019-10-03 15:55:00-04:00,1511.5,close,1509.0,1505.0,4.0,18.700000000000045,0.1511086328394921,-12.200000000000045,5.2118571310718815,5.0,-610.0000000000023,16.200000000000003,-626.2000000000023
2019-10-04 00:00:00-04:00,1,2019-10-04 10:30:00-04:00,1511.9,2019-10-04 15:55:00-04:00,1511.3,close,1509.4,1503.3,6.100000000000136,8.600000000000136,0.15016562070163253,-0.6000000000001364,5.285519305590426,5.0,-30.00000000000682,16.200000000000003,-46.200000000006824
2019-10-07 00:00:00-04:00,1,2019-10-07 10:20:00-04:00,1507.8,2019-10-07 12:20:00-04:00,1503.1,stop,1507.7,1503.1,4.600000000000136,4.7000000000000455,0.14941164166310836,-4.7000000000000455,5.326636607674807,5.0,-235.00000000000227,16.200000000000003,-251.20000000000226
2019-10-16 00:00:00-04:00,1,2019-10-16 12:20:00-04:00,1493.1,2019-10-16 15:55:00-04:00,1493.3,close,1492.7,1487.7,5.0,5.399999999999864,0.12810453558291207,0.20000000000004547,6.273759180903329,6.0,12.000000000002728,19.44,-7.439999999997273
2019-10-17 00:00:00-04:00,1,2019-10-17 11:35:00-04:00,1498.5,2019-10-17 15:55:00-04:00,1495.5,close,1498.1,1494.1,4.0,4.400000000000091,0.1271117636082763,-3.0,6.299973960464036,6.0,-180.0,19.44,-199.44
2019-10-18 00:00:00-04:00,-1,2019-10-18 10:05:00-04:00,1493.6,2019-10-18 15:55:00-04:00,1494.2,close,1496.4,1493.7,2.7000000000000455,2.800000000000182,0.1270826590586435,-0.6000000000001364,6.32208961666622,6.0,-36.000000000008185,19.44,-55.44000000000818
2019-10-21 00:00:00-04:00,-1,2019-10-21 10:45:00-04:00,1492.5,2019-10-21 15:55:00-04:00,1486.8,close,1497.2,1492.7,4.5,4.7000000000000455,0.12520946139952957,5.7000000000000455,6.421400519701727,6.0,342.00000000000273,19.44,322.56000000000273
2019-10-22 00:00:00-04:00,-1,2019-10-22 10:10:00-04:00,1488.4,2019-10-22 15:55:00-04:00,1490.7,close,1491.9,1489.1,2.800000000000182,3.5,0.12402365024774371,-2.2999999999999545,6.500654362981944,7.0,-160.99999999999682,22.68,-183.67999999999682
2019-10-23 00:00:00-04:00,-1,2019-10-23 13:40:00-04:00,1494.3,2019-10-23 15:55:00-04:00,1494.6,close,1499.4,1494.6,4.800000000000182,5.100000000000136,0.12396847386940897,-0.2999999999999545,6.4778695018138155,6.0,-17.99999999999727,19.44,-37.43999999999727
2019-10-25 00:00:00-04:00,-1,2019-10-25 10:15:00-04:00,1514.8,2019-10-25 11:50:00-04:00,1507.2,target,1518.6,1515.3,3.2999999999999545,3.7999999999999545,0.125562677812352,7.599999999999909,6.30907050120725,6.0,455.99999999999454,19.44,436.55999999999455
2019-10-28 00:00:00-04:00,-1,2019-10-28 12:00:00-04:00,1492.7,2019-10-28 15:55:00-04:00,1495.3,close,1501.2,1493.1,8.100000000000136,8.5,0.11906575817404468,-2.599999999999909,6.751835169740084,7.0,-181.99999999999363,22.68,-204.67999999999364
2019-10-30 00:00:00-04:00,-1,2019-10-30 14:15:00-04:00,1493.3,2019-10-30 14:30:00-04:00,1488.0999999999997,target,1495.9,1493.5,2.400000000000091,2.6000000000001364,0.11865881750087792,5.200000000000273,6.77226844796522,7.0,364.0000000000191,22.68,341.3200000000191
2019-11-01 00:00:00-04:00,-1,2019-11-01 13:45:00-04:00,1510.2,2019-11-01 15:25:00-04:00,1513.8,stop,1513.8,1510.6,3.2000000000000455,3.599999999999909,0.11251058518077262,-3.599999999999909,7.0624176460967245,7.0,-251.99999999999363,22.68,-274.67999999999364
2019-11-04 00:00:00-05:00,-1,2019-11-04 10:45:00-05:00,1510.6,2019-11-04 15:55:00-05:00,1510.8,close,1513.6,1510.8,2.7999999999999545,3.0,0.11092395593635553,-0.20000000000004547,7.161539902262445,7.0,-14.000000000003183,22.68,-36.68000000000318
2019-11-05 00:00:00-05:00,-1,2019-11-05 10:05:00-05:00,1489.5,2019-11-05 15:55:00-05:00,1486.3,close,1496.8,1494.1,2.7000000000000455,7.2999999999999545,0.09653116711477504,3.2000000000000455,8.345900090241729,8.0,256.00000000000364,25.92,230.08000000000362
2019-11-07 00:00:00-05:00,-1,2019-11-07 10:20:00-05:00,1483.6,2019-11-07 10:50:00-05:00,1472.3999999999996,target,1489.2,1484.5,4.7000000000000455,5.600000000000136,0.1043802180485277,11.200000000000273,7.749010005207432,8.0,896.0000000000218,25.92,870.0800000000219
2019-11-11 00:00:00-05:00,-1,2019-11-11 10:05:00-05:00,1459.1,2019-11-11 10:55:00-05:00,1450.2999999999997,target,1463.5,1460.3,3.2000000000000455,4.400000000000091,0.1149091683790087,8.800000000000182,7.157172869683287,7.0,616.0000000000127,22.68,593.3200000000128
2019-11-12 00:00:00-05:00,-1,2019-11-12 10:25:00-05:00,1452.4,2019-11-12 12:50:00-05:00,1456.3,stop,1456.3,1452.8,3.5,3.8999999999998636,0.11296716080047992,-3.8999999999998636,7.313795147965598,7.0,-272.99999999999045,22.68,-295.67999999999046
2019-11-14 00:00:00-05:00,-1,2019-11-14 10:05:00-05:00,1466.1,2019-11-14 10:55:00-05:00,1470.3,stop,1470.3,1468.2,2.099999999999909,4.2000000000000455,0.1104916453764567,-4.2000000000000455,7.407782310403719,7.0,-294.0000000000032,22.68,-316.6800000000032
2019-11-18 00:00:00-05:00,-1,2019-11-18 10:05:00-05:00,1468.8,2019-11-18 11:00:00-05:00,1472.7,stop,1472.7,1469.0,3.7000000000000455,3.900000000000091,0.10974493706311159,-3.900000000000091,7.444475216040763,7.0,-273.00000000000637,22.68,-295.6800000000064
2019-11-20 00:00:00-05:00,-1,2019-11-20 10:35:00-05:00,1468.7,2019-11-20 12:55:00-05:00,1473.4,stop,1473.4,1469.6,3.800000000000182,4.7000000000000455,0.10659566096262467,-4.7000000000000455,7.6649376124171305,8.0,-376.00000000000364,25.92,-401.92000000000365
2019-11-21 00:00:00-05:00,-1,2019-11-21 10:05:00-05:00,1467.0,2019-11-21 15:55:00-05:00,1465.2,close,1470.9,1467.4,3.5,3.900000000000091,0.10437261145154814,1.7999999999999545,7.8372659133874425,8.0,143.99999999999636,25.92,118.07999999999636
2019-11-22 00:00:00-05:00,-1,2019-11-22 10:05:00-05:00,1465.0,2019-11-22 15:55:00-05:00,1462.3,close,1469.9,1465.0,4.900000000000091,4.900000000000091,0.10519421887478982,2.7000000000000455,7.786669616904694,8.0,216.00000000000364,25.92,190.08000000000362
2019-11-25 00:00:00-05:00,-1,2019-11-25 14:25:00-05:00,1455.1,2019-11-25 15:55:00-05:00,1454.7,close,1460.7,1455.5,5.2000000000000455,5.600000000000136,0.105246791917552,0.3999999999998636,7.835731366190993,8.0,31.999999999989086,25.92,6.079999999989084
2019-11-27 00:00:00-05:00,-1,2019-11-27 11:30:00-05:00,1452.6,2019-11-27 12:00:00-05:00,1454.6,stop,1454.6,1452.8,1.7999999999999545,2.0,0.10619179702642068,-2.0,7.779366565561652,8.0,-160.0,25.92,-185.92000000000002
2019-11-28 00:00:00-05:00,-1,2019-11-28 10:05:00-05:00,1454.5,2019-11-28 11:00:00-05:00,1455.0,stop,1455.0,1454.8,0.20000000000004547,0.5,0.10623120509162387,-0.5,7.766322347036436,8.0,-40.0,25.92,-65.92
2019-12-04 00:00:00-05:00,-1,2019-12-04 10:05:00-05:00,1478.6,2019-12-04 15:55:00-05:00,1480.4,close,1483.2,1479.3,3.900000000000091,4.600000000000136,0.1110099460151176,-1.800000000000182,7.310863119520018,7.0,-126.00000000001273,22.68,-148.68000000001274
2019-12-06 00:00:00-05:00,-1,2019-12-06 11:15:00-05:00,1464.1,2019-12-06 15:55:00-05:00,1465.3,close,1467.5,1465.0,2.5,3.400000000000091,0.10187034851924513,-1.2000000000000455,8.045679222185488,8.0,-96.00000000000364,25.92,-121.92000000000364
2019-12-09 00:00:00-05:00,-1,2019-12-09 11:05:00-05:00,1465.5,2019-12-09 15:55:00-05:00,1465.3,close,1467.6,1465.7,1.8999999999998636,2.099999999999909,0.10676837932811838,0.20000000000004547,7.669247841879008,8.0,16.000000000003638,25.92,-9.919999999996364
2019-12-10 00:00:00-05:00,-1,2019-12-10 10:15:00-05:00,1468.4,2019-12-10 15:55:00-05:00,1469.1,close,1473.2,1468.5,4.7000000000000455,4.7999999999999545,0.10679215899093142,-0.6999999999998181,7.652397190540348,8.0,-55.99999999998545,25.92,-81.91999999998545
2019-12-12 00:00:00-05:00,-1,2019-12-12 10:05:00-05:00,1470.4,2019-12-12 15:55:00-05:00,1474.3,close,1489.4,1472.6,16.800000000000182,19.0,0.09346912354499932,-3.8999999999998636,8.731273284895563,9.0,-350.9999999999877,29.160000000000004,-380.15999999998775
2019-12-13 00:00:00-05:00,-1,2019-12-13 10:05:00-05:00,1470.5,2019-12-13 11:20:00-05:00,1478.0,stop,1478.0,1474.9,3.099999999999909,7.5,0.08030700424795814,-7.5,10.16161629461511,10.0,-750.0,32.400000000000006,-782.4
2019-12-16 00:00:00-05:00,-1,2019-12-16 10:30:00-05:00,1480.8,2019-12-16 15:55:00-05:00,1480.7,close,1483.2,1481.2,2.0,2.400000000000091,0.0784962661003123,0.09999999999990905,10.323711072311177,10.0,9.999999999990905,32.400000000000006,-22.4000000000091
2019-12-17 00:00:00-05:00,-1,2019-12-17 10:05:00-05:00,1480.0,2019-12-17 11:45:00-05:00,1482.1,stop,1482.1,1480.3,1.7999999999999545,2.099999999999909,0.07798475604485107,-2.099999999999909,10.397042344333197,10.0,-209.9999999999909,32.400000000000006,-242.3999999999909
2019-12-20 00:00:00-05:00,-1,2019-12-20 10:05:00-05:00,1482.2,2019-12-20 10:20:00-05:00,1484.2,stop,1484.2,1482.6,1.6000000000001364,2.0,0.07535894576757453,-2.0,10.743347484410334,11.0,-220.0,35.64,-255.64
2019-12-26 00:00:00-05:00,-1,2019-12-26 11:35:00-05:00,1512.4,2019-12-26 12:15:00-05:00,1514.7,stop,1514.7,1512.6,2.1000000000001364,2.2999999999999545,0.08160404062283169,-2.2999999999999545,9.723058841179506,10.0,-229.99999999999545,32.400000000000006,-262.39999999999543
2019-12-31 00:00:00-05:00,1,2019-12-31 10:30:00-05:00,1526.5,2019-12-31 15:55:00-05:00,1520.6,close,1525.5,1519.4,6.099999999999909,7.099999999999909,0.08146305727746862,-5.900000000000091,9.649920433079709,10.0,-590.0000000000091,32.400000000000006,-622.4000000000091
2020-01-03 00:00:00-05:00,1,2020-01-03 10:05:00-05:00,1551.8,2020-01-03 15:55:00-05:00,1551.6,close,1550.7,1546.5,4.2000000000000455,5.2999999999999545,0.08066046870514189,-0.20000000000004547,9.587044808789987,10.0,-20.000000000004547,32.400000000000006,-52.40000000000455
2020-01-07 00:00:00-05:00,1,2020-01-07 12:05:00-05:00,1574.0,2020-01-07 15:55:00-05:00,1573.3,close,1573.4,1568.4,5.0,5.599999999999909,0.08963395513001428,-0.7000000000000455,8.505580471055692,9.0,-63.00000000000409,29.160000000000004,-92.16000000000409
2020-01-09 00:00:00-05:00,1,2020-01-09 13:20:00-05:00,1554.3,2020-01-09 15:55:00-05:00,1551.9,close,1553.7,1549.6,4.100000000000136,4.7000000000000455,0.09792052137024043,-2.3999999999998636,7.884473210131199,8.0,-191.9999999999891,25.92,-217.9199999999891
2020-01-10 00:00:00-05:00,1,2020-01-10 10:10:00-05:00,1555.6,2020-01-10 10:50:00-05:00,1559.9999999999995,target,1555.5,1553.4,2.099999999999909,2.199999999999818,0.09564294359740773,4.399999999999636,8.065482953860826,8.0,351.9999999999709,25.92,326.0799999999709
2020-01-15 00:00:00-05:00,1,2020-01-15 12:55:00-05:00,1554.4,2020-01-15 15:55:00-05:00,1556.5,close,1553.9,1549.2,4.7000000000000455,5.2000000000000455,0.09316095106952915,2.099999999999909,8.286755875817384,8.0,167.99999999999272,25.92,142.0799999999927
