cell,trades,trades_yr,ann_ret,ann_vol,vol_vs_tau,SR_net,SR_gross,cost_SR,maxDD,DD_in_tau,skew,win_rate,t_stat,net_$,cost_$,avg_ct,no_lot
09:30|OR15|close     |both,1761,490.89823008849555,-0.007109466371681186,0.06988620926512613,0.5823850772093845,-0.10172917441708883,0.3554134909226717,0.45714266533976056,-0.21102465001931547,1.7585387501609624,0.0609678256166688,0.47245883021010787,-0.27248616878448295,-5100.759999999847,22919.760000000002,4.017035775127768,19
09:30|OR15|close     |trend,1150,320.575221238938,0.007526548672566518,0.053607854205859035,0.44673211838215865,0.14040011084315904,0.5280044885965162,0.3876043777533571,-0.14581738839703284,1.215144903308607,-0.29423123936519874,0.49826086956521737,0.37606801116575844,5400.000000000098,14904.000000000004,4.0,14
09:30|OR15|or_stop   |both,1761,490.89823008849555,0.008863542477876038,0.05765396356653344,0.4804496963877787,0.15373691468145798,0.7078261907902897,0.5540892761088317,-0.15439400065380926,1.2866166721150771,1.4253186143839613,0.4071550255536627,0.41179124004824696,6359.2399999999325,22919.760000000002,4.017035775127768,19
09:30|OR15|or_stop   |trend,1150,320.575221238938,0.012082898230088474,0.043926035945699334,0.36605029954749446,0.2750737226783942,0.7476526414703243,0.4725789187919301,-0.10180589847026589,0.8483824872522158,1.6685734977186502,0.42782608695652175,0.7367973371985802,8668.999999999975,14904.000000000004,4.0,14
09:30|OR15|or_stop_2r|both,1761,490.89823008849555,0.002277812389380714,0.05255104838146698,0.4379254031788915,0.04334475637566963,0.6512878569029418,0.6079431005272722,-0.17256070599488205,1.4380058832906837,0.8578930130428499,0.4236229415105054,0.11610087931391863,1634.2400000001126,22919.760000000002,4.017035775127768,19
09:30|OR15|or_stop_2r|trend,1150,320.575221238938,0.004426725663716916,0.03946907465289878,0.32890895544082316,0.11215681397769477,0.6382397229970912,0.5260829090193965,-0.09008279116320739,0.7506899263600616,0.740827037160439,0.4408695652173913,0.3004170703141204,3176.0000000000628,14904.000000000004,4.0,14
09:30|OR30|close     |both,1691,471.38495575221236,-0.008105312389380632,0.06234647009022182,0.5195539174185152,-0.13000435113088846,0.36061147503791,0.4906158261687985,-0.1551025081857096,1.29252090154758,-0.11400744221455646,0.47191011235955055,-0.34822250124363285,-5815.240000000084,21954.24,4.007096392667061,18
09:30|OR30|close     |trend,1017,283.5,0.002901958407079512,0.04710562063974442,0.3925468386645368,0.06160535340937729,0.44769146499976664,0.38608611159038936,-0.11791671152675376,0.982639262722948,-0.6047160220713307,0.49065880039331367,0.1650127097101009,2082.039999999897,13053.960000000003,3.96165191740413,14
09:30|OR30|or_stop   |both,1691,471.38495575221236,0.007297630088495238,0.053982942028891395,0.44985785024076164,0.1351840009866373,0.7017753572540396,0.5665913562674023,-0.11863723136318649,0.9886435946932208,1.0920596997700491,0.44470727380248376,0.3620964263287952,5235.759999999746,21954.24,4.007096392667061,18
09:30|OR30|or_stop   |trend,1017,283.5,0.013080918584070482,0.040062550923070595,0.3338545910255883,0.3265123733430975,0.7798693288489796,0.4533569555058821,-0.06598630754870172,0.549885896239181,1.2243230004080703,0.46214355948869223,0.8745780763757369,9385.039999999764,13053.960000000003,3.96165191740413,14
09:30|OR30|or_stop_2r|both,1691,471.38495575221236,0.01829196637168135,0.05371705002091002,0.4476420835075835,0.3405244026721679,0.909949333309808,0.5694249306376401,-0.09385509227689781,0.7821257689741484,0.9838099623374855,0.4512123004139562,0.9121099271024525,13123.75999999995,21954.24,4.007096392667061,18
09:30|OR30|or_stop_2r|trend,1017,283.5,0.01653337433628308,0.039112935198257114,0.32594112665214264,0.42270860656399456,0.8866726380485941,0.4639640314845995,-0.052001221904285244,0.43334351586904374,0.8621321171345586,0.46804326450344147,1.1322440133309633,11862.039999999917,13053.960000000003,3.96165191740413,14
09:30|OR60|close     |both,1470,409.7787610619469,-0.021756018584070974,0.049538031648223006,0.4128169304018584,-0.4391780993351477,0.10022955927504656,0.5394076586101942,-0.22775841692823762,1.8979868077353135,-0.482658596345004,0.46598639455782315,-1.1763582904078191,-15609.08000000014,19171.08,4.025170068027211,15
09:30|OR60|close     |trend,793,221.0575221238938,-0.004594707079646078,0.037110750981990744,0.3092562581832562,-0.12381067367447822,0.25942459307953686,0.3832352667540151,-0.11169193000519784,0.9307660833766487,-1.5334181556541329,0.47540983606557374,-0.33163245762581556,-3296.5200000000477,10199.52,3.969735182849937,13
09:30|OR60|or_stop   |both,1470,409.7787610619469,-0.013205023008849922,0.0450206055130398,0.37517171260866505,-0.29331064872117746,0.3002809754915604,0.5935916242127379,-0.18131462229914275,1.5109551858261896,0.8074595224161187,0.4605442176870748,-0.7856457637810061,-9474.08000000028,19171.08,4.025170068027211,15
09:30|OR60|or_stop   |trend,793,221.0575221238938,0.0026614433628317446,0.03275092894738457,0.27292440789487143,0.08126314118013078,0.5153548862705952,0.43409174509046444,-0.07135813116971168,0.5946510930809307,0.8544279267912583,0.4703656998738966,0.21766697833189835,1909.4799999999104,10199.52,3.969735182849937,13
09:30|OR60|or_stop_2r|both,1470,409.7787610619469,-0.004432412389380705,0.0462984323843795,0.3858202698698292,-0.09573569041348674,0.48146249780122113,0.5771981882147079,-0.14936047022535148,1.2446705852112625,1.1864043880275164,0.46258503401360546,-0.2564323523333954,-3180.0800000001364,19171.08,4.025170068027211,15
09:30|OR60|or_stop_2r|trend,793,221.0575221238938,0.007121620353982323,0.03296969028112175,0.2747474190093479,0.21600507293998214,0.6468989671987385,0.43089389425875635,-0.06998898046313118,0.5832415038594265,0.783644076092203,0.4728877679697352,0.5785793023553849,5109.480000000009,10199.52,3.969735182849937,13
08:20|OR15|close     |both,1761,490.89823008849555,-0.04146314336283259,0.08549659811353563,0.7124716509461303,-0.48496834117038673,-0.11080917599491331,0.37415916517547343,-0.31474282604103265,2.622856883675272,0.04397069651735775,0.47075525269733104,-1.2990095125070253,-29748.160000000527,22952.160000000003,4.022714366837024,20
08:20|OR15|close     |trend,1291,359.8805309734513,-0.00981696106194706,0.06694399948876383,0.5578666624063652,-0.14664437644773198,0.19715871823657008,0.34380309468430204,-0.1423463571334701,1.1862196427789176,-0.5937814308726641,0.4918667699457785,-0.39279355741355126,-7043.280000000113,16514.280000000002,3.9481022463206816,14
08:20|OR15|or_stop   |both,1761,490.89823008849555,-0.02378272300885008,0.06517262943149324,0.5431052452624436,-0.3649188810749072,0.12591878201871531,0.49083766309362253,-0.19740397051773573,1.6450330876477979,1.6091062246554597,0.34128336172629187,-0.9774516346071744,-17063.160000000385,22952.160000000003,4.022714366837024,20
08:20|OR15|or_stop   |trend,1291,359.8805309734513,-0.0027684876106197818,0.051713887932531226,0.4309490661044269,-0.05353470259733135,0.39138118988822657,0.4449158924855579,-0.0893820192346243,0.7448501602885359,1.5092589962309417,0.37025561580170413,-0.14339510854531295,-1986.2800000002285,16514.280000000002,3.9481022463206816,14
08:20|OR15|or_stop_2r|both,1761,490.89823008849555,-0.032631992920354416,0.056307767547023484,0.4692313962251957,-0.5795291545363246,-0.011381195398702882,0.5681479591376217,-0.23072208944186767,1.9226840786822306,0.8276160580465094,0.38160136286201024,-1.5522949038303286,-23412.160000000324,22952.160000000003,4.022714366837024,20
08:20|OR15|or_stop_2r|trend,1291,359.8805309734513,-0.007995257522124358,0.045152444874522024,0.3762703739543502,-0.17707252717639232,0.3323815701388911,0.5094540973152835,-0.09368566816597301,0.7807139013831085,0.7231187218387841,0.40975987606506586,-0.47429672759809804,-5736.280000000341,16514.280000000002,3.9481022463206816,14
08:20|OR30|close     |both,1738,484.4867256637168,-0.029585580530973824,0.07977421655303717,0.6647851379419765,-0.37086645045650957,0.024094691944731773,0.39496114240124136,-0.2987021866160966,2.489184888467472,-0.058267419700341626,0.4614499424626007,-0.9933824666782983,-21226.48000000028,22605.480000000003,4.014384349827388,20
08:20|OR30|close     |trend,1185,330.3318584070796,-0.010838954867256665,0.06171066697874433,0.5142555581562028,-0.1756415122038795,0.16632566181284594,0.34196717401672544,-0.18816249254409811,1.5680207712008176,-0.7257895688930734,0.47763713080168774,-0.47046368963659313,-7776.520000000026,15140.520000000004,3.943459915611814,13
08:20|OR30|or_stop   |both,1738,484.4867256637168,-0.010953191150442895,0.06538317773758237,0.5448598144798531,-0.16752307748644313,0.31431037649959553,0.48183345398603866,-0.2178192015245689,1.815160012704741,1.2410695344958869,0.38895281933256615,-0.44871809713221156,-7858.480000000306,22605.480000000003,4.014384349827388,20
08:20|OR30|or_stop   |trend,1185,330.3318584070796,0.003422461061946835,0.050170088782958304,0.41808407319131924,0.06821716175852914,0.48853635598106204,0.4203191942225329,-0.09498877431154484,0.7915731192628738,1.2391184402745237,0.4109704641350211,0.1827227357289005,2455.4799999999436,15140.520000000004,3.943459915611814,13
08:20|OR30|or_stop_2r|both,1738,484.4867256637168,-0.0008076823008852211,0.0607718031023588,0.5064316925196567,-0.01329041199460267,0.5050065420396194,0.518296954034222,-0.21314489013699334,1.7762074178082778,0.733082919034569,0.4154200230149597,-0.0355989662427485,-579.4800000002106,22605.480000000003,4.014384349827388,20
08:20|OR30|or_stop_2r|trend,1185,330.3318584070796,0.005164717699114891,0.04681101842954747,0.3900918202462289,0.11033123978894,0.5603853640968324,0.4500541243078924,-0.09951424728693514,0.8292853940577929,0.7349779829000609,0.42953586497890295,0.29552718774723635,3705.479999999883,15140.520000000004,3.943459915611814,13
08:20|OR60|close     |both,1663,463.5796460176991,-0.002153819469026706,0.07072769720671217,0.5893974767226015,-0.03045227759546376,0.39551626296080356,0.4259685405562673,-0.21357194502050825,1.7797662085042354,-0.11850672493225269,0.4864702345159351,-0.08156779508234728,-1545.2800000001089,21617.280000000002,4.012026458208058,19
08:20|OR60|close     |trend,1028,286.56637168141594,-0.003541603539823089,0.05397229308625993,0.4497691090521661,-0.0656189192140272,0.2735247785155075,0.3391436977295347,-0.13939376857644048,1.161614738137004,-0.5900830806953143,0.48735408560311283,-0.17576322622161356,-2540.9600000000664,13134.960000000003,3.943579766536965,13
08:20|OR60|or_stop   |both,1663,463.5796460176991,0.00887118053097326,0.06274598527271195,0.522883210605933,0.14138244052454635,0.6212952845248962,0.4799128440003499,-0.15947087394892046,1.3289239495743372,0.9072190186703748,0.45700541190619365,0.3786992253960741,6364.719999999861,21617.280000000002,4.012026458208058,19
