session_date,net_pnl_dollars,equity_dollars
2020-01-02,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,3.0,3.0
2020-01-09,0.0,3.0
2020-01-13,0.0,3.0
2020-01-14,0.0,3.0
2020-01-15,0.0,3.0
2020-01-16,0.0,3.0
2020-01-21,0.0,3.0
2020-01-22,2.0,5.0
2020-01-23,0.0,5.0
2020-01-27,0.0,5.0
2020-01-28,0.0,5.0
2020-01-29,0.0,5.0
2020-01-30,0.0,5.0
2020-02-03,0.0,5.0
2020-02-04,0.0,5.0
2020-02-05,0.0,5.0
2020-02-06,1.0,6.0
2020-02-10,0.0,6.0
2020-02-11,0.0,6.0
2020-02-12,0.0,6.0
2020-02-13,0.0,6.0
2020-02-18,2.5,8.5
2020-02-19,0.0,8.5
2020-02-20,0.0,8.5
2020-02-24,0.0,8.5
2020-02-25,0.0,8.5
2020-02-26,0.0,8.5
2020-02-27,0.0,8.5
2020-03-02,0.0,8.5
2020-03-03,0.0,8.5
2020-03-04,0.0,8.5
2020-03-05,1.5,10.0
2020-03-09,0.0,10.0
2020-03-10,0.0,10.0
2020-03-11,0.0,10.0
2020-03-12,0.0,10.0
2020-03-16,0.0,10.0
2020-03-17,0.0,10.0
2020-03-18,0.0,10.0
2020-03-19,0.0,10.0
2020-03-23,0.0,10.0
2020-03-24,0.0,10.0
2020-03-25,0.0,10.0
2020-03-26,0.0,10.0
2020-03-30,-1.0,9.0
2020-03-31,0.0,9.0
2020-04-01,0.0,9.0
2020-04-02,3.0,12.0
2020-04-06,0.0,12.0
2020-04-07,0.0,12.0
2020-04-08,0.0,12.0
2020-04-13,0.0,12.0
2020-04-14,3.0,15.0
2020-04-15,0.0,15.0
2020-04-16,0.0,15.0
2020-04-20,0.0,15.0
2020-04-21,0.0,15.0
2020-04-22,2.5,17.5
2020-04-23,0.0,17.5
2020-04-27,2.0,19.5
2020-04-28,0.0,19.5
2020-04-29,0.0,19.5
2020-04-30,0.0,19.5
2020-05-04,0.0,19.5
2020-05-05,0.0,19.5
2020-05-06,0.0,19.5
2020-05-07,0.0,19.5
2020-05-11,0.5,20.0
2020-05-12,0.0,20.0
2020-05-13,0.0,20.0
2020-05-14,0.0,20.0
2020-05-18,0.0,20.0
2020-05-19,0.0,20.0
2020-05-20,3.0,23.0
2020-05-21,2.0,25.0
2020-05-26,0.0,25.0
2020-05-27,0.0,25.0
2020-05-28,0.0,25.0
2020-06-01,0.0,25.0
2020-06-02,0.0,25.0
2020-06-03,0.0,25.0
2020-06-04,0.0,25.0
2020-06-08,0.0,25.0
2020-06-09,0.0,25.0
2020-06-10,0.0,25.0
2020-06-11,0.0,25.0
2020-06-15,4.0,29.0
2020-06-16,0.0,29.0
2020-06-17,0.0,29.0
2020-06-18,0.0,29.0
2020-06-22,0.0,29.0
2020-06-23,0.0,29.0
2020-06-24,0.0,29.0
2020-06-25,0.0,29.0
2020-06-29,0.0,29.0
2020-07-01,0.0,29.0
2020-07-02,0.0,29.0
2020-07-06,0.0,29.0
2020-07-07,0.0,29.0
2020-07-08,3.5,32.5
2020-07-09,0.0,32.5
2020-07-13,0.0,32.5
2020-07-14,0.0,32.5
2020-07-15,0.0,32.5
2020-07-16,0.0,32.5
2020-07-20,0.0,32.5
2020-07-21,0.0,32.5
2020-07-22,0.0,32.5
2020-07-23,1.5,34.0
2020-07-27,-1.0,33.0
2020-07-28,0.0,33.0
2020-07-29,0.0,33.0
2020-07-30,0.0,33.0
2020-08-03,-0.5,32.5
2020-08-04,0.0,32.5
2020-08-05,0.0,32.5
2020-08-06,1.0,33.5
2020-08-10,0.0,33.5
2020-08-11,0.0,33.5
2020-08-12,0.0,33.5
2020-08-13,0.0,33.5
2020-08-17,0.0,33.5
2020-08-18,0.0,33.5
2020-08-19,0.0,33.5
2020-08-20,0.0,33.5
2020-08-24,2.0,35.5
2020-08-25,5.5,41.0
2020-08-26,0.0,41.0
2020-08-27,0.0,41.0
2020-08-31,3.5,44.5
2020-09-01,0.0,44.5
2020-09-02,2.0,46.5
2020-09-03,0.0,46.5
2020-09-08,0.0,46.5
2020-09-09,0.0,46.5
2020-09-10,0.0,46.5
2020-09-14,0.0,46.5
2020-09-15,0.0,46.5
2020-09-16,0.0,46.5
2020-09-17,0.0,46.5
2020-09-21,0.0,46.5
2020-09-22,0.0,46.5
2020-09-23,0.0,46.5
2020-09-24,-48.5,-2.0
2020-09-28,0.0,-2.0
2020-09-29,1.5,-0.5
2020-09-30,0.0,-0.5
2020-10-01,0.0,-0.5
2020-10-05,0.0,-0.5
2020-10-06,0.0,-0.5
2020-10-07,0.0,-0.5
2020-10-08,0.0,-0.5
2020-10-12,0.0,-0.5
2020-10-13,0.0,-0.5
2020-10-14,0.0,-0.5
2020-10-15,0.0,-0.5
2020-10-19,0.0,-0.5
2020-10-20,0.0,-0.5
2020-10-21,0.0,-0.5
2020-10-22,0.0,-0.5
2020-10-26,0.0,-0.5
2020-10-27,0.0,-0.5
2020-10-28,0.0,-0.5
2020-10-29,0.0,-0.5
2020-11-02,0.0,-0.5
2020-11-03,0.0,-0.5
2020-11-04,5.5,5.0
2020-11-05,0.0,5.0
2020-11-09,0.0,5.0
2020-11-10,0.0,5.0
2020-11-11,0.5,5.5
2020-11-12,0.0,5.5
2020-11-16,0.0,5.5
2020-11-17,0.0,5.5
