session_date,asia_start_ts,reference_ts,side,ny_close,entry_price,gap_points,gap_bps,exit_ts,exit_price,exit_reason,filled,minutes_held,gross_points,mae_points,mfe_points,asia_bars,cost_points,net_points,gross_pnl_dollars,net_pnl_dollars
2020-01-08,2020-01-08 18:00:00-05:00,2020-01-08 17:00:00-05:00,Short,8946.25,8948.5,2.25,2.5150202598854268,2020-01-08 18:05:00-05:00,8946.25,target,True,5.0,2.25,8.0,2.25,72,0.75,1.5,4.5,3.0
2020-01-22,2020-01-22 18:00:00-05:00,2020-01-22 17:00:00-05:00,Short,9187.5,9189.25,1.75,1.9047619047619049,2020-01-22 18:05:00-05:00,9187.5,target,True,5.0,1.75,6.75,3.25,72,0.75,1.0,3.5,2.0
2020-02-06,2020-02-06 18:00:00-05:00,2020-02-06 17:00:00-05:00,Short,9463.25,9464.5,1.25,1.3208992682218053,2020-02-06 18:05:00-05:00,9463.25,target,True,5.0,1.25,12.5,4.25,72,0.75,0.5,2.5,1.0
2020-02-18,2020-02-18 18:00:00-05:00,2020-02-18 17:00:00-05:00,Short,9640.5,9642.5,2.0,2.0745811939214773,2020-02-18 18:05:00-05:00,9640.5,target,True,5.0,2.0,7.5,2.0,72,0.75,1.25,4.0,2.5
2020-03-04,2020-03-04 18:00:00-05:00,2020-03-04 17:00:00-05:00,Short,8889.0,8889.75,0.75,0.8437394532568343,2020-03-04 18:05:00-05:00,8889.0,target,True,5.0,0.75,10.0,8.25,72,0.75,0.0,1.5,0.0
2020-03-05,2020-03-05 18:00:00-05:00,2020-03-05 17:00:00-05:00,Short,8674.0,8675.5,1.5,1.7293059718699562,2020-03-05 18:05:00-05:00,8674.0,target,True,5.0,1.5,7.0,11.0,72,0.75,0.75,3.0,1.5
2020-03-30,2020-03-30 18:00:00-04:00,2020-03-30 17:00:00-04:00,Short,7855.0,7855.25,0.25,0.31826861871419476,2020-03-30 18:05:00-04:00,7855.0,target,True,5.0,0.25,3.25,13.0,72,0.75,-0.5,0.5,-1.0
2020-04-02,2020-04-02 18:00:00-04:00,2020-04-02 17:00:00-04:00,Short,7622.25,7624.5,2.25,2.951884286135983,2020-04-02 18:05:00-04:00,7622.25,target,True,5.0,2.25,1.0,17.75,72,0.75,1.5,4.5,3.0
2020-04-14,2020-04-14 18:00:00-04:00,2020-04-14 17:00:00-04:00,Short,8703.5,8705.75,2.25,2.5851668868845867,2020-04-14 18:05:00-04:00,8703.5,target,True,5.0,2.25,0.25,19.0,72,0.75,1.5,4.5,3.0
2020-04-22,2020-04-22 18:00:00-04:00,2020-04-22 17:00:00-04:00,Short,8632.25,8634.25,2.0,2.3168930464247444,2020-04-22 18:05:00-04:00,8632.25,target,True,5.0,2.0,10.25,19.0,72,0.75,1.25,4.0,2.5
2020-04-27,2020-04-27 18:00:00-04:00,2020-04-27 17:00:00-04:00,Short,8816.75,8818.5,1.75,1.9848583661780135,2020-04-27 18:05:00-04:00,8816.75,target,True,5.0,1.75,2.0,15.75,72,0.75,1.0,3.5,2.0
2020-05-11,2020-05-11 18:00:00-04:00,2020-05-11 17:00:00-04:00,Short,9280.25,9281.25,1.0,1.077557177877751,2020-05-11 18:05:00-04:00,9280.25,target,True,5.0,1.0,10.25,1.0,72,0.75,0.25,2.0,0.5
2020-05-20,2020-05-20 18:00:00-04:00,2020-05-20 17:00:00-04:00,Short,9494.0,9496.25,2.25,2.3699178428481145,2020-05-20 18:05:00-04:00,9494.0,target,True,5.0,2.25,7.0,7.0,72,0.75,1.5,4.5,3.0
2020-05-21,2020-05-21 18:00:00-04:00,2020-05-21 17:00:00-04:00,Short,9359.25,9361.0,1.75,1.8698079440126079,2020-05-21 18:05:00-04:00,9359.25,target,True,5.0,1.75,7.0,11.5,72,0.75,1.0,3.5,2.0
2020-06-15,2020-06-15 18:00:00-04:00,2020-06-15 17:00:00-04:00,Short,9813.5,9816.25,2.75,2.8022621898405258,2020-06-15 18:05:00-04:00,9813.5,target,True,5.0,2.75,17.5,16.25,72,0.75,2.0,5.5,4.0
2020-07-01,2020-07-01 18:00:00-04:00,2020-07-01 17:00:00-04:00,Short,10255.5,10256.25,0.75,0.7313149041977475,2020-07-01 18:05:00-04:00,10255.5,target,True,5.0,0.75,7.5,3.25,72,0.75,0.0,1.5,0.0
2020-07-06,2020-07-06 18:00:00-04:00,2020-07-06 17:00:00-04:00,Short,10598.25,10599.0,0.75,0.7076640011322624,2020-07-06 18:05:00-04:00,10598.25,target,True,5.0,0.75,8.75,0.75,72,0.75,0.0,1.5,0.0
2020-07-07,2020-07-07 18:00:00-04:00,2020-07-07 17:00:00-04:00,Short,10527.0,10527.75,0.75,0.7124536905101169,2020-07-07 18:05:00-04:00,10527.0,target,True,5.0,0.75,12.0,3.0,72,0.75,0.0,1.5,0.0
2020-07-08,2020-07-08 18:00:00-04:00,2020-07-08 17:00:00-04:00,Short,10671.5,10674.0,2.5,2.342688469287354,2020-07-08 18:25:00-04:00,10671.5,target,True,25.0,2.5,24.0,2.5,72,0.75,1.75,5.0,3.5
2020-07-23,2020-07-23 18:00:00-04:00,2020-07-23 17:00:00-04:00,Short,10564.75,10566.25,1.5,1.4198158972053292,2020-07-23 21:50:00-04:00,10564.75,target,True,230.0,1.5,31.5,19.0,72,0.75,0.75,3.0,1.5
2020-07-27,2020-07-27 18:00:00-04:00,2020-07-27 17:00:00-04:00,Short,10682.75,10683.0,0.25,0.23402213849430156,2020-07-27 18:05:00-04:00,10682.75,target,True,5.0,0.25,12.0,2.5,72,0.75,-0.5,0.5,-1.0
2020-08-03,2020-08-03 18:00:00-04:00,2020-08-03 17:00:00-04:00,Short,11052.0,11052.5,0.5,0.4524068041983351,2020-08-03 18:05:00-04:00,11052.0,target,True,5.0,0.5,2.0,21.75,72,0.75,-0.25,1.0,-0.5
2020-08-04,2020-08-04 18:00:00-04:00,2020-08-04 17:00:00-04:00,Short,11078.5,11079.25,0.75,0.6769869567179673,2020-08-04 18:05:00-04:00,11078.5,target,True,5.0,0.75,2.5,9.25,72,0.75,0.0,1.5,0.0
2020-08-06,2020-08-06 18:00:00-04:00,2020-08-06 17:00:00-04:00,Short,11259.0,11260.25,1.25,1.1102229327648991,2020-08-06 18:05:00-04:00,11259.0,target,True,5.0,1.25,4.5,7.75,72,0.75,0.5,2.5,1.0
2020-08-24,2020-08-24 18:00:00-04:00,2020-08-24 17:00:00-04:00,Short,11633.0,11634.75,1.75,1.5043410985988137,2020-08-24 19:10:00-04:00,11633.0,target,True,70.0,1.75,9.0,2.5,72,0.75,1.0,3.5,2.0
2020-08-25,2020-08-25 18:00:00-04:00,2020-08-25 17:00:00-04:00,Short,11735.75,11739.25,3.5,2.9823402850265213,2020-08-25 18:05:00-04:00,11735.75,target,True,5.0,3.5,2.5,6.75,72,0.75,2.75,7.0,5.5
2020-08-31,2020-08-31 18:00:00-04:00,2020-08-31 17:00:00-04:00,Short,12106.5,12109.0,2.5,2.0650064015198444,2020-08-31 18:15:00-04:00,12106.5,target,True,15.0,2.5,16.5,10.0,72,0.75,1.75,5.0,3.5
2020-09-02,2020-09-02 18:00:00-04:00,2020-09-02 17:00:00-04:00,Short,12406.5,12408.25,1.75,1.410550920888244,2020-09-02 18:05:00-04:00,12406.5,target,True,5.0,1.75,4.0,6.75,72,0.75,1.0,3.5,2.0
2020-09-24,2020-09-24 18:00:00-04:00,2020-09-24 17:00:00-04:00,Short,10908.75,10910.75,2.0,1.8333906267904205,2020-09-25 00:00:00-04:00,10934.0,deadline,False,360.0,-23.25,65.75,0.0,72,1.0,-24.25,-46.5,-48.5
2020-09-29,2020-09-29 18:00:00-04:00,2020-09-29 17:00:00-04:00,Short,11319.75,11321.25,1.5,1.3251176041873716,2020-09-29 18:05:00-04:00,11319.75,target,True,5.0,1.5,4.75,9.75,72,0.75,0.75,3.0,1.5
2020-11-02,2020-11-02 18:00:00-05:00,2020-11-02 17:00:00-05:00,Short,11074.5,11075.25,0.75,0.6772314777190844,2020-11-02 18:05:00-05:00,11074.5,target,True,5.0,0.75,10.25,10.25,72,0.75,0.0,1.5,0.0
2020-11-04,2020-11-04 18:00:00-05:00,2020-11-04 17:00:00-05:00,Short,11814.25,11817.75,3.5,2.962524070508073,2020-11-04 18:05:00-05:00,11814.25,target,True,5.0,3.5,22.0,16.5,72,0.75,2.75,7.0,5.5
2020-11-11,2020-11-11 18:00:00-05:00,2020-11-11 17:00:00-05:00,Short,11898.75,11899.75,1.0,0.8404244143292363,2020-11-11 18:05:00-05:00,11898.75,target,True,5.0,1.0,0.25,18.75,72,0.75,0.25,2.0,0.5
2020-11-18,2020-11-18 18:00:00-05:00,2020-11-18 17:00:00-05:00,Short,11874.25,11876.75,2.5,2.1053961302819126,2020-11-18 18:05:00-05:00,11874.25,target,True,5.0,2.5,10.25,9.75,72,0.75,1.75,5.0,3.5
2020-12-07,2020-12-07 18:00:00-05:00,2020-12-07 17:00:00-05:00,Short,12571.75,12572.25,0.5,0.39771710382404996,2020-12-07 18:05:00-05:00,12571.75,target,True,5.0,0.5,9.0,0.75,72,0.75,-0.25,1.0,-0.5
2020-12-10,2020-12-10 18:00:00-05:00,2020-12-10 17:00:00-05:00,Short,12390.5,12393.75,3.25,2.622977280981397,2020-12-10 18:05:00-05:00,12390.5,target,True,5.0,3.25,6.75,18.75,72,0.75,2.5,6.5,5.0
2020-12-15,2020-12-15 18:00:00-05:00,2020-12-15 17:00:00-05:00,Short,12597.0,12598.5,1.5,1.1907597046915932,2020-12-15 18:05:00-05:00,12597.0,target,True,5.0,1.5,8.5,1.5,72,0.75,0.75,3.0,1.5
2020-12-23,2020-12-23 18:00:00-05:00,2020-12-23 17:00:00-05:00,Short,12656.75,12660.0,3.25,2.567799790625555,2020-12-23 18:05:00-05:00,12656.75,target,True,5.0,3.25,7.25,6.25,72,0.75,2.5,6.5,5.0
2020-12-28,2020-12-28 18:00:00-05:00,2020-12-28 17:00:00-05:00,Short,12842.0,12843.0,1.0,0.778694907335306,2020-12-28 18:05:00-05:00,12842.0,target,True,5.0,1.0,5.0,2.75,72,0.75,0.25,2.0,0.5
2020-12-29,2020-12-29 18:00:00-05:00,2020-12-29 17:00:00-05:00,Short,12858.0,12860.0,2.0,1.5554518587649713,2020-12-29 18:05:00-05:00,12858.0,target,True,5.0,2.0,4.25,7.0,72,0.75,1.25,4.0,2.5
2021-01-06,2021-01-06 18:00:00-05:00,2021-01-06 17:00:00-05:00,Short,12658.25,12659.25,1.0,0.7899986175024193,2021-01-06 18:05:00-05:00,12658.25,target,True,5.0,1.0,6.5,13.0,72,0.75,0.25,2.0,0.5
2021-01-07,2021-01-07 18:00:00-05:00,2021-01-07 17:00:00-05:00,Short,12925.25,12927.0,1.75,1.3539389953772654,2021-01-07 18:05:00-05:00,12925.25,target,True,5.0,1.75,8.0,1.75,72,0.75,1.0,3.5,2.0
2021-01-12,2021-01-12 18:00:00-05:00,2021-01-12 17:00:00-05:00,Short,12883.0,12885.75,2.75,2.1345959791973916,2021-01-12 18:05:00-05:00,12883.0,target,True,5.0,2.75,1.75,13.25,72,0.75,2.0,5.5,4.0
2021-02-02,2021-02-02 18:00:00-05:00,2021-02-02 17:00:00-05:00,Short,13499.75,13503.75,4.0,2.9630178336635864,2021-02-02 18:05:00-05:00,13499.75,target,True,5.0,4.0,11.25,8.25,72,0.75,3.25,8.0,6.5
2021-02-09,2021-02-09 18:00:00-05:00,2021-02-09 17:00:00-05:00,Short,13696.25,13698.75,2.5,1.8253171488546134,2021-02-09 18:05:00-05:00,13696.25,target,True,5.0,2.5,4.25,7.0,72,0.75,1.75,5.0,3.5
2021-02-10,2021-02-10 18:00:00-05:00,2021-02-10 17:00:00-05:00,Short,13666.0,13667.25,1.25,0.914678764817796,2021-02-10 18:05:00-05:00,13666.0,target,True,5.0,1.25,4.25,18.0,72,0.75,0.5,2.5,1.0
2021-02-16,2021-02-16 18:00:00-05:00,2021-02-16 17:00:00-05:00,Short,13754.25,13757.75,3.5,2.5446680117054727,2021-02-16 18:05:00-05:00,13754.25,target,True,5.0,3.5,7.5,5.25,72,0.75,2.75,7.0,5.5
2021-03-16,2021-03-16 18:00:00-04:00,2021-03-16 17:00:00-04:00,Short,13166.5,13168.0,1.5,1.1392549272775605,2021-03-16 18:05:00-04:00,13166.5,target,True,5.0,1.5,8.5,5.5,72,0.75,0.75,3.0,1.5
2021-03-30,2021-03-30 18:00:00-04:00,2021-03-30 17:00:00-04:00,Short,12890.5,12891.75,1.25,0.9697063729102827,2021-03-30 18:05:00-04:00,12890.5,target,True,5.0,1.25,4.5,18.0,72,0.75,0.5,2.5,1.0
2021-04-05,2021-04-05 18:00:00-04:00,2021-04-05 17:00:00-04:00,Short,13600.0,13603.0,3.0,2.2058823529411766,2021-04-05 18:10:00-04:00,13600.0,target,True,10.0,3.0,5.75,4.0,72,0.75,2.25,6.0,4.5
2021-04-12,2021-04-12 18:00:00-04:00,2021-04-12 17:00:00-04:00,Short,13823.25,13825.5,2.25,1.6276924746351258,2021-04-12 18:05:00-04:00,13823.25,target,True,5.0,2.25,7.5,2.25,72,0.75,1.5,4.5,3.0
