session,year,side,trigger_bracket,distance_rel,traversed
2019-05-08,2019,-1,0,0.6482558139534884,False
2019-05-08,2019,1,0,0.35174418604651164,True
2019-05-08,2019,-1,1,0.5145348837209303,False
2019-05-08,2019,1,1,0.48546511627906974,True
2019-05-08,2019,-1,2,0.9651162790697675,False
2019-05-08,2019,1,2,0.03488372093023256,True
2019-05-08,2019,-1,3,0.8982558139534884,False
2019-05-08,2019,1,3,0.10174418604651163,True
2019-05-08,2019,-1,4,0.7267441860465116,False
2019-05-08,2019,1,4,0.27325581395348836,True
2019-05-08,2019,-1,5,0.75,False
2019-05-08,2019,1,5,0.25,True
2019-05-08,2019,-1,6,0.9622093023255814,False
2019-05-08,2019,1,6,0.0377906976744186,True
2019-05-08,2019,-1,7,0.8895348837209303,False
2019-05-08,2019,1,7,0.11046511627906977,True
2019-05-08,2019,-1,8,0.8459302325581395,False
2019-05-08,2019,1,8,0.15406976744186046,True
2019-05-08,2019,-1,9,0.8401162790697675,False
2019-05-08,2019,1,9,0.15988372093023256,True
2019-05-08,2019,-1,10,0.8575581395348837,False
2019-05-08,2019,1,10,0.14244186046511628,True
2019-05-10,2019,-1,0,0.6536458333333334,True
2019-05-10,2019,1,0,0.3463541666666667,True
2019-05-10,2019,-1,1,0.24479166666666666,True
2019-05-10,2019,1,1,0.7552083333333334,True
2019-05-10,2019,-1,5,0.23697916666666666,False
2019-05-10,2019,1,5,0.7630208333333334,True
2019-05-10,2019,-1,6,0.40625,False
2019-05-10,2019,1,6,0.59375,True
2019-05-10,2019,-1,7,0.6354166666666666,False
2019-05-10,2019,1,7,0.3645833333333333,True
2019-05-10,2019,-1,8,0.859375,False
2019-05-10,2019,1,8,0.140625,True
2019-05-10,2019,-1,9,0.6927083333333334,False
2019-05-10,2019,1,9,0.3072916666666667,True
2019-05-10,2019,-1,10,0.9322916666666666,False
2019-05-10,2019,1,10,0.06770833333333333,True
2019-05-14,2019,-1,0,0.532608695652174,False
2019-05-14,2019,1,0,0.4673913043478261,True
2019-06-04,2019,-1,0,0.79375,False
2019-06-04,2019,1,0,0.20625,True
2019-06-12,2019,-1,0,0.10227272727272728,True
2019-06-12,2019,1,0,0.8977272727272727,False
2019-06-21,2019,-1,0,0.62,False
2019-06-21,2019,1,0,0.38,True
2019-06-21,2019,-1,1,0.745,False
2019-06-21,2019,1,1,0.255,True
2019-06-21,2019,-1,4,0.805,False
2019-06-21,2019,1,4,0.195,True
2019-06-21,2019,-1,5,0.71,False
2019-06-21,2019,1,5,0.29,True
2019-06-21,2019,-1,6,0.825,False
2019-06-21,2019,1,6,0.175,True
2019-06-21,2019,-1,7,0.86,False
2019-06-21,2019,1,7,0.14,True
2019-06-21,2019,-1,8,0.865,False
2019-06-21,2019,1,8,0.135,True
2019-06-21,2019,-1,9,0.735,False
2019-06-21,2019,1,9,0.265,True
2019-06-21,2019,-1,10,0.84,False
2019-06-21,2019,1,10,0.16,True
2019-06-21,2019,-1,11,0.935,False
2019-06-21,2019,1,11,0.065,True
2019-06-24,2019,-1,0,0.0,True
2019-06-24,2019,1,0,1.0,False
2019-06-24,2019,-1,1,0.7410714285714286,True
2019-06-24,2019,1,1,0.25892857142857145,False
2019-06-24,2019,-1,2,0.3392857142857143,True
2019-06-24,2019,1,2,0.6607142857142857,False
2019-06-24,2019,-1,3,0.625,True
2019-06-24,2019,1,3,0.375,False
2019-06-24,2019,-1,4,0.6696428571428571,True
2019-06-24,2019,1,4,0.33035714285714285,False
2019-06-24,2019,-1,5,0.5267857142857143,True
2019-06-24,2019,1,5,0.4732142857142857,False
2019-06-24,2019,-1,6,0.5803571428571429,True
2019-06-24,2019,1,6,0.41964285714285715,False
2019-06-24,2019,-1,7,0.375,True
2019-06-24,2019,1,7,0.625,False
2019-06-24,2019,-1,8,0.22321428571428573,True
2019-06-24,2019,1,8,0.7767857142857143,False
2019-06-24,2019,-1,9,0.15178571428571427,True
2019-06-24,2019,1,9,0.8482142857142857,False
2019-06-24,2019,-1,10,0.2857142857142857,True
2019-06-24,2019,1,10,0.7142857142857143,False
2019-06-24,2019,-1,11,0.08035714285714286,True
2019-06-24,2019,1,11,0.9196428571428571,False
2019-06-26,2019,-1,1,0.8982558139534884,False
2019-06-26,2019,1,1,0.10174418604651163,True
2019-06-26,2019,-1,2,0.8924418604651163,False
2019-06-26,2019,1,2,0.10755813953488372,False
2019-06-26,2019,-1,3,0.8488372093023255,False
2019-06-26,2019,1,3,0.1511627906976744,False
2019-06-26,2019,-1,4,0.8837209302325582,False
2019-06-26,2019,1,4,0.11627906976744186,False
2019-06-26,2019,-1,5,0.8459302325581395,False
2019-06-26,2019,1,5,0.15406976744186046,False
2019-06-26,2019,-1,6,0.8081395348837209,False
2019-06-26,2019,1,6,0.19186046511627908,False
2019-06-26,2019,-1,7,0.6104651162790697,False
2019-06-26,2019,1,7,0.38953488372093026,False
2019-06-26,2019,-1,8,0.5406976744186046,False
2019-06-26,2019,1,8,0.45930232558139533,False
2019-06-26,2019,-1,9,0.563953488372093,False
2019-06-26,2019,1,9,0.436046511627907,False
2019-06-26,2019,-1,10,0.4796511627906977,False
2019-06-26,2019,1,10,0.5203488372093024,False
2019-06-26,2019,-1,11,0.5145348837209303,False
2019-06-26,2019,1,11,0.48546511627906974,False
2019-06-27,2019,-1,0,0.5185185185185185,True
2019-06-27,2019,1,0,0.48148148148148145,False
2019-06-27,2019,-1,1,0.5046296296296297,True
2019-06-27,2019,1,1,0.49537037037037035,False
2019-06-27,2019,-1,2,0.46296296296296297,True
2019-06-27,2019,1,2,0.5370370370370371,False
2019-06-27,2019,-1,3,0.11574074074074074,True
2019-06-27,2019,1,3,0.8842592592592593,False
2019-06-27,2019,-1,4,0.18981481481481483,False
2019-06-27,2019,1,4,0.8101851851851852,False
2019-06-27,2019,-1,5,0.4305555555555556,False
2019-06-27,2019,1,5,0.5694444444444444,False
2019-06-27,2019,-1,6,0.4583333333333333,False
2019-06-27,2019,1,6,0.5416666666666666,False
2019-06-27,2019,-1,7,0.5138888888888888,False
2019-06-27,2019,1,7,0.4861111111111111,False
2019-06-27,2019,-1,8,0.5185185185185185,False
2019-06-27,2019,1,8,0.48148148148148145,False
2019-06-27,2019,-1,9,0.6018518518518519,False
2019-06-27,2019,1,9,0.39814814814814814,False
2019-06-27,2019,-1,10,0.44907407407407407,False
2019-06-27,2019,1,10,0.5509259259259259,False
2019-06-27,2019,-1,11,0.4583333333333333,False
2019-06-27,2019,1,11,0.5416666666666666,False
2019-07-02,2019,-1,0,0.45652173913043476,False
2019-07-02,2019,1,0,0.5434782608695652,True
2019-07-02,2019,-1,1,0.7119565217391305,False
2019-07-02,2019,1,1,0.28804347826086957,True
2019-07-02,2019,-1,2,0.7663043478260869,False
2019-07-02,2019,1,2,0.23369565217391305,True
2019-07-02,2019,-1,3,0.6413043478260869,False
2019-07-02,2019,1,3,0.358695652173913,True
2019-07-02,2019,-1,4,0.43478260869565216,False
2019-07-02,2019,1,4,0.5652173913043478,True
2019-07-02,2019,-1,5,0.31521739130434784,False
2019-07-02,2019,1,5,0.6847826086956522,True
2019-07-02,2019,-1,6,0.2717391304347826,False
2019-07-02,2019,1,6,0.7282608695652174,True
2019-07-02,2019,-1,7,0.483695652173913,False
2019-07-02,2019,1,7,0.5163043478260869,True
2019-07-02,2019,-1,8,0.5760869565217391,False
2019-07-02,2019,1,8,0.42391304347826086,True
2019-07-02,2019,-1,9,0.6847826086956522,False
2019-07-02,2019,1,9,0.31521739130434784,True
2019-07-02,2019,-1,10,0.6956521739130435,False
2019-07-02,2019,1,10,0.30434782608695654,True
2019-07-02,2019,-1,11,0.8858695652173914,False
2019-07-02,2019,1,11,0.11413043478260869,True
2019-07-08,2019,-1,10,0.09259259259259259,False
2019-07-08,2019,1,10,0.9074074074074074,False
2019-07-08,2019,-1,11,0.17592592592592593,False
2019-07-08,2019,1,11,0.8240740740740741,False
2019-07-12,2019,-1,0,0.5416666666666666,False
2019-07-12,2019,1,0,0.4583333333333333,True
2019-07-12,2019,-1,1,0.4166666666666667,False
2019-07-12,2019,1,1,0.5833333333333334,True
2019-07-12,2019,-1,2,0.3125,False
2019-07-12,2019,1,2,0.6875,True
2019-07-12,2019,-1,3,0.7986111111111112,False
2019-07-12,2019,1,3,0.2013888888888889,True
2019-07-12,2019,-1,4,0.8680555555555556,False
2019-07-12,2019,1,4,0.13194444444444445,True
2019-07-12,2019,-1,5,0.8680555555555556,False
2019-07-12,2019,1,5,0.13194444444444445,True
2019-07-12,2019,-1,7,1.0,False
2019-07-12,2019,1,7,0.0,True
2019-07-12,2019,-1,8,0.8611111111111112,False
2019-07-12,2019,1,8,0.1388888888888889,True
2019-07-12,2019,-1,9,0.9722222222222222,False
2019-07-12,2019,1,9,0.027777777777777776,True
2019-07-12,2019,-1,11,0.9791666666666666,False
2019-07-12,2019,1,11,0.020833333333333332,True
2019-07-17,2019,-1,0,0.25,True
2019-07-17,2019,1,0,0.75,False
2019-08-09,2019,-1,0,0.5047169811320755,True
2019-08-09,2019,1,0,0.49528301886792453,False
2019-08-09,2019,-1,1,0.22169811320754718,True
2019-08-09,2019,1,1,0.7783018867924528,False
2019-08-09,2019,-1,2,0.3278301886792453,True
2019-08-09,2019,1,2,0.6721698113207547,False
2019-08-09,2019,-1,6,0.21462264150943397,False
2019-08-09,2019,1,6,0.785377358490566,False
2019-08-09,2019,-1,7,0.455188679245283,False
2019-08-09,2019,1,7,0.5448113207547169,False
2019-08-09,2019,-1,8,0.45047169811320753,False
2019-08-09,2019,1,8,0.5495283018867925,False
2019-08-09,2019,-1,9,0.49292452830188677,False
2019-08-09,2019,1,9,0.5070754716981132,False
2019-08-09,2019,-1,10,0.4080188679245283,False
2019-08-09,2019,1,10,0.5919811320754716,False
2019-08-09,2019,-1,11,0.5471698113207547,False
2019-08-09,2019,1,11,0.4528301886792453,False
2019-08-15,2019,-1,0,0.3620689655172414,True
2019-08-15,2019,1,0,0.6379310344827587,False
2019-08-15,2019,-1,1,0.05603448275862069,True
2019-08-15,2019,1,1,0.9439655172413793,False
2019-08-15,2019,-1,4,0.2025862068965517,True
2019-08-15,2019,1,4,0.7974137931034483,False
2019-08-15,2019,-1,5,0.008620689655172414,True
2019-08-15,2019,1,5,0.9913793103448276,False
2019-08-26,2019,-1,0,0.10315533980582524,True
2019-08-26,2019,1,0,0.8968446601941747,False
2019-08-26,2019,-1,1,0.015776699029126214,True
2019-08-26,2019,1,1,0.9842233009708737,False
2019-08-26,2019,-1,2,0.06674757281553398,False
2019-08-26,2019,1,2,0.933252427184466,False
2019-08-26,2019,-1,3,0.14199029126213591,False
2019-08-26,2019,1,3,0.8580097087378641,False
2019-08-26,2019,-1,4,0.12014563106796117,False
2019-08-26,2019,1,4,0.8798543689320388,False
2019-08-26,2019,-1,5,0.220873786407767,False
2019-08-26,2019,1,5,0.779126213592233,False
2019-08-26,2019,-1,6,0.20388349514563106,False
2019-08-26,2019,1,6,0.7961165048543689,False
2019-08-26,2019,-1,7,0.1796116504854369,False
2019-08-26,2019,1,7,0.8203883495145631,False
2019-08-26,2019,-1,8,0.16140776699029127,False
2019-08-26,2019,1,8,0.8385922330097088,False
2019-08-26,2019,-1,9,0.0983009708737864,False
2019-08-26,2019,1,9,0.9016990291262136,False
2019-08-26,2019,-1,10,0.14441747572815533,False
2019-08-26,2019,1,10,0.8555825242718447,False
2019-08-26,2019,-1,11,0.14199029126213591,False
2019-08-26,2019,1,11,0.8580097087378641,False
2019-09-17,2019,-1,0,0.725,False
2019-09-17,2019,1,0,0.275,True
2019-09-17,2019,-1,1,0.5375,False
2019-09-17,2019,1,1,0.4625,True
2019-09-17,2019,-1,2,0.35,False
2019-09-17,2019,1,2,0.65,True
2019-09-17,2019,-1,3,0.9125,False
2019-09-17,2019,1,3,0.0875,True
2019-09-17,2019,-1,4,1.0,False
2019-09-17,2019,1,4,0.0,True
2019-09-17,2019,-1,5,0.85,False
2019-09-17,2019,1,5,0.15,True
2019-09-17,2019,-1,6,0.7,False
2019-09-17,2019,1,6,0.3,True
2019-09-17,2019,-1,7,0.85,False
2019-09-17,2019,1,7,0.15,True
2019-09-20,2019,-1,0,0.26704545454545453,True
2019-09-20,2019,1,0,0.7329545454545454,False
2019-09-20,2019,-1,1,0.3125,True
2019-09-20,2019,1,1,0.6875,False
2019-09-20,2019,-1,2,0.022727272727272728,True
2019-09-20,2019,1,2,0.9772727272727273,False
2019-09-25,2019,-1,1,0.0873015873015873,False
2019-09-25,2019,1,1,0.9126984126984127,True
2019-09-25,2019,-1,2,0.30158730158730157,False
2019-09-25,2019,1,2,0.6984126984126984,True
2019-09-25,2019,-1,3,0.39880952380952384,False
2019-09-25,2019,1,3,0.6011904761904762,True
2019-09-25,2019,-1,4,0.37896825396825395,False
2019-09-25,2019,1,4,0.621031746031746,True
2019-09-25,2019,-1,5,0.498015873015873,False
2019-09-25,2019,1,5,0.501984126984127,True
2019-09-25,2019,-1,6,0.47619047619047616,False
2019-09-25,2019,1,6,0.5238095238095238,True
2019-09-25,2019,-1,7,0.501984126984127,False
2019-09-25,2019,1,7,0.498015873015873,True
2019-09-25,2019,-1,8,0.6190476190476191,False
2019-09-25,2019,1,8,0.38095238095238093,True
2019-09-25,2019,-1,9,0.7281746031746031,False
2019-09-25,2019,1,9,0.2718253968253968,True
2019-09-25,2019,-1,10,0.878968253968254,False
2019-09-25,2019,1,10,0.12103174603174603,True
2019-09-25,2019,-1,11,0.9940476190476191,False
2019-09-25,2019,1,11,0.005952380952380952,True
2019-09-30,2019,-1,0,0.3701923076923077,False
2019-09-30,2019,1,0,0.6298076923076923,False
2019-09-30,2019,-1,1,0.3894230769230769,False
2019-09-30,2019,1,1,0.6105769230769231,False
2019-09-30,2019,-1,2,0.43509615384615385,False
2019-09-30,2019,1,2,0.5649038461538461,False
2019-09-30,2019,-1,3,0.5793269230769231,False
2019-09-30,2019,1,3,0.4206730769230769,False
2019-09-30,2019,-1,4,0.5625,False
2019-09-30,2019,1,4,0.4375,False
2019-09-30,2019,-1,5,0.7475961538461539,False
2019-09-30,2019,1,5,0.25240384615384615,False
2019-09-30,2019,-1,6,0.7788461538461539,False
2019-09-30,2019,1,6,0.22115384615384615,False
2019-09-30,2019,-1,7,0.7163461538461539,False
2019-09-30,2019,1,7,0.28365384615384615,False
2019-09-30,2019,-1,8,0.7668269230769231,False
2019-09-30,2019,1,8,0.23317307692307693,False
2019-09-30,2019,-1,9,0.7379807692307693,False
2019-09-30,2019,1,9,0.2620192307692308,False
2019-09-30,2019,-1,10,0.6586538461538461,False
2019-09-30,2019,1,10,0.34134615384615385,False
2019-09-30,2019,-1,11,0.6490384615384616,False
2019-09-30,2019,1,11,0.35096153846153844,False
2019-10-03,2019,-1,0,0.75,True
2019-10-03,2019,1,0,0.25,True
2019-10-03,2019,-1,1,0.02717391304347826,True
2019-10-03,2019,1,1,0.9728260869565217,True
2019-10-03,2019,-1,2,0.2717391304347826,False
2019-10-03,2019,1,2,0.7282608695652174,True
2019-10-07,2019,-1,0,0.484375,False
2019-10-07,2019,1,0,0.515625,True
