session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2019-05-17,2019,2,long,1,11031.0,11081.0,50.0,10961.75,3,2019-05-17 15:29:00+00:00,11043.25,11081.0,11026.0,37.75,0.755,False,,False,stop,11026.0,-17.25,-19.0,-38.0
2019-05-30,2019,2,short,-1,10646.0,10684.0,38.0,10686.0,9,2019-05-30 18:29:00+00:00,10667.75,10646.0,10689.0,21.75,0.5723684210526315,False,,False,stop,10689.0,-21.25,-23.0,-46.0
2019-06-06,2019,2,short,-1,10633.0,10665.0,32.0,10681.25,1,2019-06-06 14:29:00+00:00,10654.75,10633.0,10670.0,21.75,0.6796875,False,,False,stop,10670.0,-15.25,-17.0,-34.0
2019-06-11,2019,2,short,-1,10950.0,10996.0,46.0,11032.25,3,2019-06-11 15:29:00+00:00,10978.25,10950.0,11001.0,28.25,0.6141304347826086,True,34.0,False,target,10950.0,28.25,26.5,53.0
2019-06-28,2019,2,short,-1,11098.0,11116.0,18.0,11119.25,3,2019-06-28 15:29:00+00:00,11102.5,11098.0,11121.0,4.5,0.25,True,136.0,True,stop,11121.0,-18.5,-20.25,-40.5
2019-07-11,2019,2,short,-1,11321.0,11351.0,30.0,11358.0,8,2019-07-11 17:59:00+00:00,11329.75,11321.0,11356.0,8.75,0.2916666666666667,True,18.0,True,target,11321.0,8.75,7.0,14.0
2019-07-19,2019,2,short,-1,11278.0,11326.0,48.0,11392.75,10,2019-07-19 18:59:00+00:00,11304.25,11278.0,11331.0,26.25,0.546875,True,22.0,False,target,11278.0,26.25,24.5,49.0
2019-07-22,2019,2,long,1,11316.0,11392.0,76.0,11295.75,1,2019-07-22 14:29:00+00:00,11321.25,11392.0,11311.0,70.75,0.930921052631579,False,,False,stop,11311.0,-10.25,-12.0,-24.0
2019-07-30,2019,2,long,1,11390.0,11422.0,32.0,11358.25,9,2019-07-30 18:29:00+00:00,11405.5,11422.0,11385.0,16.5,0.515625,False,,False,stop,11385.0,-20.5,-22.25,-44.5
2019-07-31,2019,2,short,-1,11375.0,11395.0,20.0,11405.75,7,2019-07-31 17:29:00+00:00,11392.25,11375.0,11400.0,17.25,0.8625,True,31.0,False,target,11375.0,17.25,15.5,31.0
2019-08-01,2019,2,long,1,11296.0,11410.0,114.0,11289.5,1,2019-08-01 14:29:00+00:00,11386.75,11410.0,11291.0,23.25,0.20394736842105263,True,25.0,False,target,11410.0,23.25,21.5,43.0
2019-08-06,2019,2,short,-1,10805.0,10905.0,100.0,10909.25,4,2019-08-06 15:59:00+00:00,10896.25,10805.0,10910.0,91.25,0.9125,False,,False,stop,10910.0,-13.75,-15.5,-31.0
2019-08-07,2019,2,long,1,10892.0,10952.0,60.0,10864.75,3,2019-08-07 15:29:00+00:00,10911.0,10952.0,10887.0,41.0,0.6833333333333333,True,131.0,False,stop,10887.0,-24.0,-25.75,-51.5
2019-08-20,2019,2,long,1,11140.0,11162.0,22.0,11134.25,3,2019-08-20 15:29:00+00:00,11145.5,11162.0,11135.0,16.5,0.75,False,,False,stop,11135.0,-10.5,-12.25,-24.5
2019-08-23,2019,2,long,1,11100.0,11154.0,54.0,11081.5,2,2019-08-23 14:59:00+00:00,11116.75,11154.0,11095.0,37.25,0.6898148148148148,False,,False,stop,11095.0,-21.75,-23.5,-47.0
2019-08-27,2019,2,short,-1,10957.0,10989.0,32.0,11052.0,7,2019-08-27 17:29:00+00:00,10976.25,10957.0,10994.0,19.25,0.6015625,False,,True,stop,10994.0,-17.75,-19.5,-39.0
2019-08-28,2019,2,long,1,10970.0,11022.0,52.0,10959.75,3,2019-08-28 15:29:00+00:00,11006.25,11022.0,10965.0,15.75,0.30288461538461536,True,230.0,False,target,11022.0,15.75,14.0,28.0
2019-08-30,2019,2,short,-1,11115.0,11141.0,26.0,11167.75,2,2019-08-30 14:59:00+00:00,11119.25,11115.0,11146.0,4.25,0.16346153846153846,True,1.0,False,target,11115.0,4.25,2.5,5.0
2019-09-06,2019,2,short,-1,11264.0,11290.0,26.0,11292.25,1,2019-09-06 14:29:00+00:00,11281.25,11264.0,11295.0,17.25,0.6634615384615384,True,141.0,True,stop,11295.0,-13.75,-15.5,-31.0
2019-09-09,2019,2,short,-1,11275.0,11295.0,20.0,11297.75,2,2019-09-09 14:59:00+00:00,11291.0,11275.0,11300.0,16.0,0.8,True,64.0,True,target,11275.0,16.0,14.25,28.5
2019-09-18,2019,2,short,-1,11266.0,11286.0,20.0,11294.5,4,2019-09-18 15:59:00+00:00,11284.0,11266.0,11291.0,18.0,0.9,True,62.0,False,target,11266.0,18.0,16.25,32.5
2019-09-24,2019,2,short,-1,11223.0,11251.0,28.0,11270.25,2,2019-09-24 14:59:00+00:00,11235.5,11223.0,11256.0,12.5,0.44642857142857145,True,5.0,False,target,11223.0,12.5,10.75,21.5
2019-09-26,2019,2,short,-1,11084.0,11178.0,94.0,11207.0,1,2019-09-26 14:29:00+00:00,11173.5,11084.0,11183.0,89.5,0.9521276595744681,False,,False,stop,11183.0,-9.5,-11.25,-22.5
2019-09-27,2019,2,short,-1,11151.0,11191.0,40.0,11198.5,1,2019-09-27 14:29:00+00:00,11157.5,11151.0,11196.0,6.5,0.1625,True,4.0,True,target,11151.0,6.5,4.75,9.5
2019-10-01,2019,2,short,-1,11132.0,11172.0,40.0,11191.0,3,2019-10-01 15:29:00+00:00,11151.25,11132.0,11177.0,19.25,0.48125,True,13.0,True,target,11132.0,19.25,17.5,35.0
2019-10-16,2019,2,long,1,11320.0,11364.0,44.0,11319.5,2,2019-10-16 14:59:00+00:00,11338.75,11364.0,11315.0,25.25,0.5738636363636364,False,,False,stop,11315.0,-23.75,-25.5,-51.0
