session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2019-06-11,2019,2,short,-1,10950.0,10996.0,46.0,11032.25,4,2019-06-11 15:59:00+00:00,10966.25,10950.0,11001.0,16.25,0.3532608695652174,True,4.0,False,target,10950.0,16.25,14.5,29.0
2019-07-22,2019,2,long,1,11316.0,11392.0,76.0,11295.75,7,2019-07-22 17:29:00+00:00,11326.25,11392.0,11311.0,65.75,0.8651315789473685,False,,False,session_close,11339.5,13.25,11.5,23.0
2019-07-30,2019,2,long,1,11390.0,11422.0,32.0,11358.25,10,2019-07-30 18:59:00+00:00,11395.5,11422.0,11385.0,26.5,0.828125,False,,False,stop,11385.0,-10.5,-12.25,-24.5
2019-08-28,2019,2,long,1,10970.0,11022.0,52.0,10959.75,4,2019-08-28 15:59:00+00:00,11009.25,11022.0,10965.0,12.75,0.24519230769230768,True,200.0,False,target,11022.0,12.75,11.0,22.0
2019-09-06,2019,2,short,-1,11264.0,11290.0,26.0,11292.25,5,2019-09-06 16:29:00+00:00,11280.25,11264.0,11295.0,16.25,0.625,True,21.0,True,target,11264.0,16.25,14.5,29.0
2019-09-26,2019,2,short,-1,11084.0,11178.0,94.0,11207.0,4,2019-09-26 15:59:00+00:00,11145.75,11084.0,11183.0,61.75,0.6569148936170213,False,,False,stop,11183.0,-37.25,-39.0,-78.0
2019-10-16,2019,2,long,1,11320.0,11364.0,44.0,11319.5,3,2019-10-16 15:29:00+00:00,11325.25,11364.0,11315.0,38.75,0.8806818181818182,False,,False,stop,11315.0,-10.25,-12.0,-24.0
2019-11-11,2019,2,long,1,11615.0,11643.0,28.0,11612.25,2,2019-11-11 15:59:00+00:00,11626.5,11643.0,11610.0,16.5,0.5892857142857143,True,156.0,False,target,11643.0,16.5,14.75,29.5
2019-11-13,2019,2,long,1,11657.0,11689.0,32.0,11636.75,6,2019-11-13 17:59:00+00:00,11670.5,11689.0,11652.0,18.5,0.578125,False,,False,stop,11652.0,-18.5,-20.25,-40.5
2019-11-22,2019,2,short,-1,11652.0,11674.0,22.0,11685.75,7,2019-11-22 18:29:00+00:00,11664.75,11652.0,11679.0,12.75,0.5795454545454546,False,,True,session_close,11671.0,-6.25,-8.0,-16.0
2019-12-31,2019,2,long,1,12076.0,12116.0,40.0,12074.0,6,2019-12-31 17:59:00+00:00,12086.75,12116.0,12071.0,29.25,0.73125,True,175.0,False,target,12116.0,29.25,27.5,55.0
2020-01-03,2020,2,long,1,12176.0,12214.0,38.0,12137.0,10,2020-01-03 19:59:00+00:00,12205.75,12214.0,12171.0,8.25,0.21710526315789475,True,4.0,True,target,12214.0,8.25,6.5,13.0
2020-01-06,2020,2,long,1,12181.0,12215.0,34.0,12104.0,4,2020-01-06 16:59:00+00:00,12188.0,12215.0,12176.0,27.0,0.7941176470588235,True,221.0,False,target,12215.0,27.0,25.25,50.5
2020-01-29,2020,2,short,-1,12420.0,12484.0,64.0,12514.0,2,2020-01-29 15:59:00+00:00,12479.5,12420.0,12489.0,59.5,0.9296875,False,,False,stop,12489.0,-9.5,-11.25,-22.5
2020-04-02,2020,2,long,1,10882.0,11028.0,146.0,10812.0,3,2020-04-02 15:29:00+00:00,10924.25,11028.0,10877.0,103.75,0.7106164383561644,False,,False,stop,10877.0,-47.25,-49.0,-98.0
2020-04-30,2020,2,short,-1,12286.0,12374.0,88.0,12396.0,5,2020-04-30 16:29:00+00:00,12301.75,12286.0,12379.0,15.75,0.17897727272727273,True,1.0,False,target,12286.0,15.75,14.0,28.0
