session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2019-05-15,2019,1,long,1,10843.0,10903.0,60.0,10811.75,0,2019-05-15 13:59:00+00:00,10853.75,10903.0,10838.0,49.25,0.8208333333333333,True,26.0,False,target,10903.0,49.25,47.5,95.0
2019-05-17,2019,1,long,1,11028.0,11078.0,50.0,10961.75,2,2019-05-17 14:59:00+00:00,11050.25,11078.0,11023.0,27.75,0.555,False,,False,stop,11023.0,-27.25,-29.0,-58.0
2019-05-22,2019,1,long,1,10892.0,10916.0,24.0,10865.75,0,2019-05-22 13:59:00+00:00,10894.25,10916.0,10887.0,21.75,0.90625,True,16.0,False,stop,10887.0,-7.25,-9.0,-18.0
2019-05-24,2019,1,short,-1,10734.0,10782.0,48.0,10801.5,2,2019-05-24 14:59:00+00:00,10765.25,10734.0,10787.0,31.25,0.6510416666666666,False,,False,stop,10787.0,-21.75,-23.5,-47.0
2019-05-30,2019,1,short,-1,10648.0,10682.0,34.0,10686.0,9,2019-05-30 18:29:00+00:00,10667.75,10648.0,10687.0,19.75,0.5808823529411765,False,,False,stop,10687.0,-19.25,-21.0,-42.0
2019-06-06,2019,1,short,-1,10628.0,10662.0,34.0,10681.25,0,2019-06-06 13:59:00+00:00,10656.25,10628.0,10667.0,28.25,0.8308823529411765,False,,False,stop,10667.0,-10.75,-12.5,-25.0
2019-06-11,2019,1,short,-1,10950.0,10996.0,46.0,11032.25,2,2019-06-11 14:59:00+00:00,10990.0,10950.0,11001.0,40.0,0.8695652173913043,True,64.0,False,target,10950.0,40.0,38.25,76.5
2019-06-14,2019,1,long,1,10944.0,10964.0,20.0,10920.75,11,2019-06-14 19:29:00+00:00,10945.5,10964.0,10939.0,18.5,0.925,False,,False,stop,10939.0,-6.5,-8.25,-16.5
2019-06-28,2019,1,short,-1,11100.0,11114.0,14.0,11119.25,3,2019-06-28 15:29:00+00:00,11102.5,11100.0,11119.0,2.5,0.17857142857142858,True,136.0,True,stop,11119.0,-16.5,-18.25,-36.5
2019-07-09,2019,1,long,1,11206.0,11226.0,20.0,11189.5,0,2019-07-09 13:59:00+00:00,11216.0,11226.0,11201.0,10.0,0.5,True,3.0,False,target,11226.0,10.0,8.25,16.5
2019-07-11,2019,1,short,-1,11326.0,11352.0,26.0,11358.0,7,2019-07-11 17:29:00+00:00,11343.25,11326.0,11357.0,17.25,0.6634615384615384,True,8.0,False,target,11326.0,17.25,15.5,31.0
2019-07-16,2019,1,short,-1,11382.0,11396.0,14.0,11396.25,1,2019-07-16 14:29:00+00:00,11395.5,11382.0,11401.0,13.5,0.9642857142857143,True,57.0,False,stop,11401.0,-5.5,-7.25,-14.5
2019-07-19,2019,1,short,-1,11272.0,11324.0,52.0,11392.75,9,2019-07-19 18:29:00+00:00,11300.25,11272.0,11329.0,28.25,0.5432692307692307,True,86.0,False,target,11272.0,28.25,26.5,53.0
2019-07-22,2019,1,long,1,11304.0,11380.0,76.0,11295.75,0,2019-07-22 13:59:00+00:00,11332.5,11380.0,11299.0,47.5,0.625,False,,False,session_close,11339.5,7.0,5.25,10.5
2019-07-25,2019,1,short,-1,11382.0,11414.0,32.0,11416.0,2,2019-07-25 14:59:00+00:00,11394.0,11382.0,11419.0,12.0,0.375,True,22.0,True,target,11382.0,12.0,10.25,20.5
2019-07-30,2019,1,long,1,11386.0,11418.0,32.0,11358.25,3,2019-07-30 15:29:00+00:00,11386.25,11418.0,11381.0,31.75,0.9921875,False,,False,stop,11381.0,-5.25,-7.0,-14.0
2019-07-31,2019,1,short,-1,11376.0,11392.0,16.0,11405.75,9,2019-07-31 18:29:00+00:00,11379.0,11376.0,11397.0,3.0,0.1875,True,8.0,True,target,11376.0,3.0,1.25,2.5
2019-08-01,2019,1,long,1,11308.0,11410.0,102.0,11289.5,0,2019-08-01 13:59:00+00:00,11346.5,11410.0,11303.0,63.5,0.6225490196078431,True,55.0,False,target,11410.0,63.5,61.75,123.5
2019-08-06,2019,1,short,-1,10804.0,10900.0,96.0,10909.25,3,2019-08-06 15:29:00+00:00,10887.25,10804.0,10905.0,83.25,0.8671875,False,,False,stop,10905.0,-17.75,-19.5,-39.0
2019-08-07,2019,1,long,1,10894.0,10954.0,60.0,10864.75,2,2019-08-07 14:59:00+00:00,10938.0,10954.0,10889.0,16.0,0.26666666666666666,True,161.0,False,stop,10889.0,-49.0,-50.75,-101.5
2019-08-20,2019,1,long,1,11142.0,11164.0,22.0,11134.25,2,2019-08-20 14:59:00+00:00,11144.5,11164.0,11137.0,19.5,0.8863636363636364,False,,False,stop,11137.0,-7.5,-9.25,-18.5
2019-08-23,2019,1,long,1,11088.0,11160.0,72.0,11081.5,1,2019-08-23 14:29:00+00:00,11101.75,11160.0,11083.0,58.25,0.8090277777777778,False,,False,stop,11083.0,-18.75,-20.5,-41.0
2019-08-27,2019,1,short,-1,10954.0,10986.0,32.0,11052.0,6,2019-08-27 16:59:00+00:00,10962.75,10954.0,10991.0,8.75,0.2734375,False,,False,stop,10991.0,-28.25,-30.0,-60.0
2019-08-28,2019,1,long,1,10961.0,11031.0,70.0,10959.75,0,2019-08-28 13:59:00+00:00,10968.25,11031.0,10956.0,62.75,0.8964285714285715,False,,False,session_close,11012.0,43.75,42.0,84.0
2019-08-30,2019,1,short,-1,11118.0,11140.0,22.0,11167.75,1,2019-08-30 14:29:00+00:00,11126.0,11118.0,11145.0,8.0,0.36363636363636365,True,31.0,False,target,11118.0,8.0,6.25,12.5
2019-09-06,2019,1,short,-1,11266.0,11290.0,24.0,11292.25,0,2019-09-06 13:59:00+00:00,11268.75,11266.0,11295.0,2.75,0.11458333333333333,True,3.0,True,target,11266.0,2.75,1.0,2.0
2019-09-09,2019,1,short,-1,11272.0,11292.0,20.0,11297.75,1,2019-09-09 14:29:00+00:00,11279.25,11272.0,11297.0,7.25,0.3625,True,99.0,True,target,11272.0,7.25,5.5,11.0
2019-09-18,2019,1,short,-1,11268.0,11282.0,14.0,11294.5,6,2019-09-18 16:59:00+00:00,11272.25,11268.0,11287.0,4.25,0.30357142857142855,True,2.0,False,target,11268.0,4.25,2.5,5.0
2019-09-23,2019,1,long,1,11246.0,11336.0,90.0,11227.0,8,2019-09-23 17:59:00+00:00,11249.0,11336.0,11241.0,87.0,0.9666666666666667,False,,False,stop,11241.0,-8.0,-9.75,-19.5
2019-09-24,2019,1,short,-1,11220.0,11248.0,28.0,11270.25,1,2019-09-24 14:29:00+00:00,11247.5,11220.0,11253.0,27.5,0.9821428571428571,True,35.0,False,stop,11253.0,-5.5,-7.25,-14.5
2019-09-26,2019,1,short,-1,11084.0,11166.0,82.0,11207.0,2,2019-09-26 14:59:00+00:00,11165.0,11084.0,11171.0,81.0,0.9878048780487805,False,,False,stop,11171.0,-6.0,-7.75,-15.5
