session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2019-05-17,2019,2,long,1,11028.0,11078.0,50.0,10961.75,3,2019-05-17 15:29:00+00:00,11043.25,11078.0,11023.0,34.75,0.695,False,,False,stop,11023.0,-20.25,-22.0,-44.0
2019-05-22,2019,2,long,1,10892.0,10916.0,24.0,10865.75,1,2019-05-22 14:29:00+00:00,10894.75,10916.0,10887.0,21.25,0.8854166666666666,False,,True,stop,10887.0,-7.75,-9.5,-19.0
2019-05-24,2019,2,short,-1,10734.0,10782.0,48.0,10801.5,3,2019-05-24 15:29:00+00:00,10767.25,10734.0,10787.0,33.25,0.6927083333333334,False,,False,stop,10787.0,-19.75,-21.5,-43.0
2019-06-06,2019,2,short,-1,10628.0,10662.0,34.0,10681.25,1,2019-06-06 14:29:00+00:00,10654.75,10628.0,10667.0,26.75,0.7867647058823529,False,,False,stop,10667.0,-12.25,-14.0,-28.0
2019-06-11,2019,2,short,-1,10950.0,10996.0,46.0,11032.25,3,2019-06-11 15:29:00+00:00,10978.25,10950.0,11001.0,28.25,0.6141304347826086,True,34.0,False,target,10950.0,28.25,26.5,53.0
2019-06-28,2019,2,short,-1,11100.0,11114.0,14.0,11119.25,4,2019-06-28 15:59:00+00:00,11106.75,11100.0,11119.0,6.75,0.48214285714285715,True,106.0,True,stop,11119.0,-12.25,-14.0,-28.0
2019-07-11,2019,2,short,-1,11326.0,11352.0,26.0,11358.0,8,2019-07-11 17:59:00+00:00,11329.75,11326.0,11357.0,3.75,0.14423076923076922,True,3.0,True,target,11326.0,3.75,2.0,4.0
2019-07-19,2019,2,short,-1,11272.0,11324.0,52.0,11392.75,10,2019-07-19 18:59:00+00:00,11304.25,11272.0,11329.0,32.25,0.6201923076923077,True,56.0,False,target,11272.0,32.25,30.5,61.0
2019-07-22,2019,2,long,1,11304.0,11380.0,76.0,11295.75,1,2019-07-22 14:29:00+00:00,11321.25,11380.0,11299.0,58.75,0.7730263157894737,False,,False,session_close,11339.5,18.25,16.5,33.0
2019-07-30,2019,2,long,1,11386.0,11418.0,32.0,11358.25,9,2019-07-30 18:29:00+00:00,11405.5,11418.0,11381.0,12.5,0.390625,False,,False,stop,11381.0,-24.5,-26.25,-52.5
2019-08-01,2019,2,long,1,11308.0,11410.0,102.0,11289.5,1,2019-08-01 14:29:00+00:00,11386.75,11410.0,11303.0,23.25,0.22794117647058823,True,25.0,False,target,11410.0,23.25,21.5,43.0
2019-08-06,2019,2,short,-1,10804.0,10900.0,96.0,10909.25,4,2019-08-06 15:59:00+00:00,10896.25,10804.0,10905.0,92.25,0.9609375,False,,False,stop,10905.0,-8.75,-10.5,-21.0
2019-08-07,2019,2,long,1,10894.0,10954.0,60.0,10864.75,3,2019-08-07 15:29:00+00:00,10911.0,10954.0,10889.0,43.0,0.7166666666666667,True,131.0,False,stop,10889.0,-22.0,-23.75,-47.5
2019-08-20,2019,2,long,1,11142.0,11164.0,22.0,11134.25,3,2019-08-20 15:29:00+00:00,11145.5,11164.0,11137.0,18.5,0.8409090909090909,False,,False,stop,11137.0,-8.5,-10.25,-20.5
2019-08-23,2019,2,long,1,11088.0,11160.0,72.0,11081.5,2,2019-08-23 14:59:00+00:00,11116.75,11160.0,11083.0,43.25,0.6006944444444444,False,,False,stop,11083.0,-33.75,-35.5,-71.0
2019-08-27,2019,2,short,-1,10954.0,10986.0,32.0,11052.0,7,2019-08-27 17:29:00+00:00,10976.25,10954.0,10991.0,22.25,0.6953125,False,,False,stop,10991.0,-14.75,-16.5,-33.0
2019-08-28,2019,2,long,1,10961.0,11031.0,70.0,10959.75,1,2019-08-28 14:29:00+00:00,10968.25,11031.0,10956.0,62.75,0.8964285714285715,False,,False,session_close,11012.0,43.75,42.0,84.0
2019-08-30,2019,2,short,-1,11118.0,11140.0,22.0,11167.75,2,2019-08-30 14:59:00+00:00,11119.25,11118.0,11145.0,1.25,0.056818181818181816,True,1.0,False,target,11118.0,1.25,-0.5,-1.0
2019-09-06,2019,2,short,-1,11266.0,11290.0,24.0,11292.25,1,2019-09-06 14:29:00+00:00,11281.25,11266.0,11295.0,15.25,0.6354166666666666,True,137.0,True,stop,11295.0,-13.75,-15.5,-31.0
2019-09-09,2019,2,short,-1,11272.0,11292.0,20.0,11297.75,2,2019-09-09 14:59:00+00:00,11291.0,11272.0,11297.0,19.0,0.95,True,69.0,True,target,11272.0,19.0,17.25,34.5
