session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2019-05-24,2019,2,short,-1,10734.0,10782.0,48.0,10801.5,10,2019-05-24 18:59:00+00:00,10767.75,10734.0,10787.0,33.75,0.703125,False,,False,session_close,10753.0,14.75,13.0,26.0
2019-06-11,2019,2,short,-1,10950.0,10996.0,46.0,11032.25,4,2019-06-11 15:59:00+00:00,10966.25,10950.0,11001.0,16.25,0.3532608695652174,True,4.0,False,target,10950.0,16.25,14.5,29.0
2019-07-19,2019,2,short,-1,11272.0,11324.0,52.0,11392.75,11,2019-07-19 19:29:00+00:00,11290.75,11272.0,11329.0,18.75,0.3605769230769231,True,26.0,False,target,11272.0,18.75,17.0,34.0
2019-07-22,2019,2,long,1,11304.0,11380.0,76.0,11295.75,2,2019-07-22 14:59:00+00:00,11315.25,11380.0,11299.0,64.75,0.8519736842105263,False,,False,session_close,11339.5,24.25,22.5,45.0
2019-07-30,2019,2,long,1,11386.0,11418.0,32.0,11358.25,10,2019-07-30 18:59:00+00:00,11395.5,11418.0,11381.0,22.5,0.703125,False,,False,stop,11381.0,-14.5,-16.25,-32.5
2019-08-28,2019,2,long,1,10961.0,11031.0,70.0,10959.75,2,2019-08-28 14:59:00+00:00,10991.25,11031.0,10956.0,39.75,0.5678571428571428,False,,False,session_close,11012.0,20.75,19.0,38.0
2019-09-06,2019,2,short,-1,11266.0,11290.0,24.0,11292.25,5,2019-09-06 16:29:00+00:00,11280.25,11266.0,11295.0,14.25,0.59375,True,17.0,True,target,11266.0,14.25,12.5,25.0
2019-10-01,2019,2,short,-1,11110.0,11158.0,48.0,11191.0,4,2019-10-01 15:59:00+00:00,11127.0,11110.0,11163.0,17.0,0.3541666666666667,True,7.0,False,target,11110.0,17.0,15.25,30.5
2019-11-11,2019,2,long,1,11616.0,11646.0,30.0,11612.25,3,2019-11-11 16:29:00+00:00,11626.0,11646.0,11611.0,20.0,0.6666666666666666,False,,False,session_close,11642.0,16.0,14.25,28.5
2019-11-13,2019,2,long,1,11658.0,11688.0,30.0,11636.75,6,2019-11-13 17:59:00+00:00,11670.5,11688.0,11653.0,17.5,0.5833333333333334,False,,False,stop,11653.0,-17.5,-19.25,-38.5
2019-11-22,2019,2,short,-1,11650.0,11670.0,20.0,11685.75,6,2019-11-22 17:59:00+00:00,11666.0,11650.0,11675.0,16.0,0.8,False,,True,session_close,11671.0,-5.0,-6.75,-13.5
2019-12-17,2019,2,short,-1,11964.0,11980.0,16.0,11981.0,3,2019-12-17 16:29:00+00:00,11969.5,11964.0,11985.0,5.5,0.34375,False,,True,session_close,11970.5,-1.0,-2.75,-5.5
2019-12-31,2019,2,long,1,12080.0,12118.0,38.0,12074.0,7,2019-12-31 18:29:00+00:00,12087.25,12118.0,12075.0,30.75,0.8092105263157895,True,146.0,False,target,12118.0,30.75,29.0,58.0
2020-01-03,2020,2,long,1,12178.0,12214.0,36.0,12137.0,10,2020-01-03 19:59:00+00:00,12205.75,12214.0,12173.0,8.25,0.22916666666666666,True,4.0,True,target,12214.0,8.25,6.5,13.0
2020-01-06,2020,2,long,1,12178.0,12202.0,24.0,12104.0,4,2020-01-06 16:59:00+00:00,12188.0,12202.0,12173.0,14.0,0.5833333333333334,True,131.0,False,target,12202.0,14.0,12.25,24.5
2020-01-29,2020,2,short,-1,12400.0,12484.0,84.0,12514.0,2,2020-01-29 15:59:00+00:00,12479.5,12400.0,12489.0,79.5,0.9464285714285714,False,,False,stop,12489.0,-9.5,-11.25,-22.5
2020-03-05,2020,2,long,1,12100.0,12268.0,168.0,12081.75,3,2020-03-05 16:29:00+00:00,12217.5,12268.0,12095.0,50.5,0.3005952380952381,False,,False,stop,12095.0,-122.5,-124.25,-248.5
2020-04-02,2020,2,long,1,10867.0,11013.0,146.0,10812.0,3,2020-04-02 15:29:00+00:00,10924.25,11013.0,10862.0,88.75,0.6078767123287672,False,,False,stop,10862.0,-62.25,-64.0,-128.0
2020-04-24,2020,2,long,1,12044.0,12150.0,106.0,12024.25,7,2020-04-24 17:29:00+00:00,12059.5,12150.0,12039.0,90.5,0.8537735849056604,True,131.0,False,target,12150.0,90.5,88.75,177.5
2020-04-30,2020,2,short,-1,12284.0,12378.0,94.0,12396.0,5,2020-04-30 16:29:00+00:00,12301.75,12284.0,12383.0,17.75,0.18882978723404256,False,,False,session_close,12362.25,-60.5,-62.25,-124.5
2020-05-04,2020,2,long,1,12052.0,12194.0,142.0,12050.5,2,2020-05-04 14:59:00+00:00,12111.75,12194.0,12047.0,82.25,0.579225352112676,True,283.0,False,target,12194.0,82.25,80.5,161.0
2020-05-12,2020,2,short,-1,12573.0,12687.0,114.0,12700.0,9,2020-05-12 18:29:00+00:00,12655.0,12573.0,12692.0,82.0,0.7192982456140351,True,66.0,False,target,12573.0,82.0,80.25,160.5
2020-05-22,2020,2,long,1,12752.0,12810.0,58.0,12738.25,8,2020-05-22 17:59:00+00:00,12777.5,12810.0,12747.0,32.5,0.5603448275862069,False,,False,session_close,12786.0,8.5,6.75,13.5
2020-06-02,2020,2,short,-1,12936.0,12980.0,44.0,12984.25,7,2020-06-02 17:29:00+00:00,12975.25,12936.0,12985.0,39.25,0.8920454545454546,False,,True,stop,12985.0,-9.75,-11.5,-23.0
2020-06-15,2020,2,long,1,12940.0,13112.0,172.0,12902.75,4,2020-06-15 15:59:00+00:00,13004.0,13112.0,12935.0,108.0,0.627906976744186,True,121.0,False,target,13112.0,108.0,106.25,212.5
2020-06-29,2020,2,long,1,13256.0,13342.0,86.0,13231.75,5,2020-06-29 16:29:00+00:00,13313.0,13342.0,13251.0,29.0,0.3372093023255814,True,210.0,False,target,13342.0,29.0,27.25,54.5
2020-07-08,2020,2,long,1,13974.0,14070.0,96.0,13968.25,2,2020-07-08 14:59:00+00:00,14023.25,14070.0,13969.0,46.75,0.4869791666666667,False,,False,stop,13969.0,-54.25,-56.0,-112.0
2020-07-21,2020,2,short,-1,14048.0,14268.0,220.0,14396.0,6,2020-07-21 16:59:00+00:00,14263.25,14048.0,14273.0,215.25,0.9784090909090909,False,,False,stop,14273.0,-9.75,-11.5,-23.0
