level_type,session,year,price,distance_from_close,lag,revisited
poc,2019-05-06,2019,11201.0,52.0,1,True
poc,2019-05-07,2019,11064.0,34.5,1,True
poc,2019-05-08,2019,11090.0,18.0,2,True
poc,2019-05-09,2019,10952.0,85.5,1,True
poc,2019-05-10,2019,10902.0,144.0,1,True
poc,2019-05-13,2019,10812.0,34.0,1,True
poc,2019-05-14,2019,10885.0,28.75,1,True
poc,2019-05-15,2019,10948.0,14.25,1,True
poc,2019-05-16,2019,11060.0,21.25,1,True
poc,2019-05-17,2019,11016.0,57.0,16,True
poc,2019-05-20,2019,10842.0,10.25,2,True
poc,2019-05-21,2019,10910.0,2.0,1,True
poc,2019-05-22,2019,10888.0,12.75,12,True
poc,2019-05-23,2019,10758.0,3.0,1,True
poc,2019-05-24,2019,10766.0,13.0,1,True
poc,2019-05-28,2019,10774.0,46.25,8,True
poc,2019-05-29,2019,10672.0,3.75,1,True
poc,2019-05-30,2019,10702.0,5.25,5,True
poc,2019-05-31,2019,10600.0,24.0,2,True
poc,2019-06-03,2019,10452.0,27.75,1,True
poc,2019-06-04,2019,10589.0,27.25,60,False
poc,2019-06-05,2019,10650.0,20.75,1,True
poc,2019-06-06,2019,10680.0,47.0,43,True
poc,2019-06-07,2019,10876.0,10.25,1,True
poc,2019-06-10,2019,10974.0,22.5,1,True
poc,2019-06-11,2019,10954.0,8.5,1,True
poc,2019-06-12,2019,10920.0,0.0,1,True
poc,2019-06-13,2019,10960.0,3.5,1,True
poc,2019-06-14,2019,10924.0,2.75,36,True
poc,2019-06-19,2019,11074.0,40.0,4,True
poc,2019-06-20,2019,11166.0,14.75,1,True
poc,2019-06-21,2019,11182.0,8.0,1,True
poc,2019-06-24,2019,11186.0,14.75,1,True
poc,2019-06-25,2019,11038.0,2.0,1,True
poc,2019-06-26,2019,11106.0,32.25,1,True
poc,2019-06-27,2019,11108.0,6.25,1,True
poc,2019-06-28,2019,11094.0,17.5,25,True
poc,2019-07-01,2019,11224.0,12.75,1,True
poc,2019-07-02,2019,11204.0,39.5,4,True
poc,2019-07-05,2019,11228.0,58.75,1,True
poc,2019-07-08,2019,11212.0,17.0,1,True
poc,2019-07-09,2019,11254.0,14.5,1,True
poc,2019-07-10,2019,11332.0,14.0,1,True
poc,2019-07-11,2019,11354.0,16.25,1,True
poc,2019-07-12,2019,11372.0,11.75,1,True
poc,2019-07-15,2019,11390.0,16.25,1,True
poc,2019-07-16,2019,11396.0,29.25,3,True
poc,2019-07-17,2019,11362.0,34.75,1,True
poc,2019-07-18,2019,11308.0,31.0,1,True
poc,2019-07-19,2019,11338.0,66.5,1,True
poc,2019-07-22,2019,11316.0,23.5,7,True
poc,2019-07-23,2019,11354.0,34.5,1,True
