session,year,direction,entry,target,stop,distance_points,npoc_age_sessions,npoc_session,outcome,exit_price,gross_points,net_points,net_dollars
2019-05-07,2019,long,11164.25,11201.0,11127.5,36.75,1,2019-05-06,stop,11127.5,-36.75,-38.5,-77.0
2019-05-08,2019,short,11074.25,11064.0,11084.5,10.25,1,2019-05-07,stop,11084.5,-10.25,-12.0,-24.0
2019-05-09,2019,long,10995.25,11090.0,10900.5,94.75,1,2019-05-08,session_close,11037.5,42.25,40.5,81.0
2019-05-10,2019,short,11008.25,10952.0,11064.5,56.25,1,2019-05-09,target,10952.0,56.25,54.5,109.0
2019-05-13,2019,long,10849.75,10902.0,10797.5,52.25,1,2019-05-10,stop,10797.5,-52.25,-54.0,-108.0
2019-05-14,2019,short,10817.25,10812.0,10822.5,5.25,1,2019-05-13,stop,10822.5,-5.25,-7.0,-14.0
2019-05-15,2019,long,10811.75,10885.0,10738.5,73.25,1,2019-05-14,target,10885.0,73.25,71.5,143.0
2019-05-16,2019,short,10964.0,10948.0,10980.0,16.0,1,2019-05-15,stop,10980.0,-16.0,-17.75,-35.5
2019-05-17,2019,long,10961.75,11060.0,10863.5,98.25,1,2019-05-16,target,11060.0,98.25,96.5,193.0
2019-05-21,2019,short,10895.5,10842.0,10949.0,53.5,1,2019-05-20,session_close,10908.0,-12.5,-14.25,-28.5
2019-05-22,2019,short,10865.75,10842.0,10889.5,23.75,2,2019-05-20,stop,10889.5,-23.75,-25.5,-51.0
2019-05-23,2019,long,10790.25,10888.0,10692.5,97.75,1,2019-05-22,session_close,10761.0,-29.25,-31.0,-62.0
2019-05-24,2019,short,10801.5,10758.0,10845.0,43.5,1,2019-05-23,target,10758.0,43.5,41.75,83.5
2019-05-29,2019,long,10684.5,10774.0,10595.0,89.5,1,2019-05-28,session_close,10668.25,-16.25,-18.0,-36.0
2019-05-30,2019,short,10686.0,10672.0,10700.0,14.0,1,2019-05-29,stop,10700.0,-14.0,-15.75,-31.5
2019-05-31,2019,long,10610.5,10702.0,10519.0,91.5,1,2019-05-30,session_close,10576.0,-34.5,-36.25,-72.5
