reference_close,reference_ts,reference_age_hours,asia_start_ts,asia_end_ts,side,ny_close,entry_price,raw_gap_points,gap_points,gap_bps,filled,fill_bar_ts,fill_minutes_upper_bound,exit_ts,exit_price,gross_points,net_points,gross_pnl_dollars,net_pnl_dollars,mae_points_bar_based,mfe_points_bar_based,asia_bars
16:00,2020-01-02 16:00:00-05:00,2.0,2020-01-02 18:00:00-05:00,2020-01-03 00:00:00-05:00,Short,8888.75,8898.0,9.25,9.25,10.406412600196878,True,2020-01-02 20:40:00-05:00,165.0,2020-01-02 20:45:00-05:00,8888.75,9.25,9.0,18.5,18.0,9.75,18.25,72
16:00,2020-01-06 16:00:00-05:00,2.0,2020-01-06 18:00:00-05:00,2020-01-07 00:00:00-05:00,Long,8863.75,8851.75,-12.0,12.0,13.538287970667044,True,2020-01-06 19:35:00-05:00,100.0,2020-01-06 19:40:00-05:00,8863.75,12.0,11.75,24.0,23.5,5.75,12.25,72
16:00,2020-01-07 16:00:00-05:00,2.0,2020-01-07 18:00:00-05:00,2020-01-08 00:00:00-05:00,Long,8862.25,8843.0,-19.25,19.25,21.721346159271068,False,,,2020-01-08 00:00:00-05:00,8807.0,-36.0,-36.25,-72.0,-72.5,164.75,4.5,72
16:00,2020-01-08 16:00:00-05:00,2.0,2020-01-08 18:00:00-05:00,2020-01-09 00:00:00-05:00,Short,8929.75,8948.5,18.75,18.75,20.997228365855708,False,,,2020-01-09 00:00:00-05:00,8954.25,-5.75,-6.0,-11.5,-12.0,16.25,16.0,72
16:00,2020-01-09 16:00:00-05:00,2.0,2020-01-09 18:00:00-05:00,2020-01-10 00:00:00-05:00,Short,9006.25,9008.5,2.25,2.25,2.4982650936849407,False,,,2020-01-10 00:00:00-05:00,9037.0,-28.5,-28.75,-57.0,-57.5,32.75,0.0,72
16:00,2020-01-13 16:00:00-05:00,2.0,2020-01-13 18:00:00-05:00,2020-01-14 00:00:00-05:00,Short,9085.0,9088.5,3.5,3.5,3.8525041276829937,True,2020-01-13 22:20:00-05:00,265.0,2020-01-13 22:25:00-05:00,9085.0,3.5,3.25,7.0,6.5,26.25,4.5,72
16:00,2020-01-14 16:00:00-05:00,2.0,2020-01-14 18:00:00-05:00,2020-01-15 00:00:00-05:00,Short,9050.5,9062.5,12.0,12.0,13.258935970388377,True,2020-01-14 18:15:00-05:00,20.0,2020-01-14 18:20:00-05:00,9050.5,12.0,11.75,24.0,23.5,1.5,12.25,72
16:00,2020-01-15 16:00:00-05:00,2.0,2020-01-15 18:00:00-05:00,2020-01-16 00:00:00-05:00,Short,9052.5,9060.5,8.0,8.0,8.83733775200221,False,,,2020-01-16 00:00:00-05:00,9074.5,-14.0,-14.25,-28.0,-28.5,22.5,0.0,72
16:00,2020-01-16 16:00:00-05:00,2.0,2020-01-16 18:00:00-05:00,2020-01-17 00:00:00-05:00,Long,9138.0,9136.5,-1.5,1.5,1.6414970453053184,True,2020-01-16 18:00:00-05:00,5.0,2020-01-16 18:05:00-05:00,9138.0,1.5,1.25,3.0,2.5,2.5,4.0,72
16:00,2020-01-21 16:00:00-05:00,2.0,2020-01-21 18:00:00-05:00,2020-01-22 00:00:00-05:00,Long,9179.75,9179.0,-0.75,0.75,0.8170157139355647,True,2020-01-21 18:00:00-05:00,5.0,2020-01-21 18:05:00-05:00,9179.75,0.75,0.5,1.5,1.0,2.25,3.5,72
