date,trades,net_points,net_r,net_dollars
2019-05-07,0,0.0,0.0,0.0
2019-05-08,0,0.0,0.0,0.0
2019-05-09,0,0.0,0.0,0.0
2019-05-10,0,0.0,0.0,0.0
2019-05-13,0,0.0,0.0,0.0
2019-05-14,0,0.0,0.0,0.0
2019-05-15,0,0.0,0.0,0.0
2019-05-16,0,0.0,0.0,0.0
2019-05-17,0,0.0,0.0,0.0
2019-05-20,0,0.0,0.0,0.0
2019-05-21,0,0.0,0.0,0.0
2019-05-22,0,0.0,0.0,0.0
2019-05-23,0,0.0,0.0,0.0
2019-05-24,1,8.629999999999999,1.0787499999999999,103.55999999999999
2019-05-28,0,0.0,0.0,0.0
2019-05-29,0,0.0,0.0,0.0
2019-05-30,0,0.0,0.0,0.0
2019-05-31,0,0.0,0.0,0.0
2019-06-03,0,0.0,0.0,0.0
2019-06-04,0,0.0,0.0,0.0
2019-06-05,0,0.0,0.0,0.0
2019-06-06,0,0.0,0.0,0.0
2019-06-07,0,0.0,0.0,0.0
2019-06-10,0,0.0,0.0,0.0
2019-06-11,0,0.0,0.0,0.0
2019-06-12,0,0.0,0.0,0.0
2019-06-13,0,0.0,0.0,0.0
2019-06-14,0,0.0,0.0,0.0
2019-06-17,0,0.0,0.0,0.0
2019-06-18,0,0.0,0.0,0.0
2019-06-19,0,0.0,0.0,0.0
2019-06-20,0,0.0,0.0,0.0
2019-06-21,0,0.0,0.0,0.0
2019-06-24,0,0.0,0.0,0.0
2019-06-25,0,0.0,0.0,0.0
2019-06-26,0,0.0,0.0,0.0
2019-06-27,0,0.0,0.0,0.0
2019-06-28,0,0.0,0.0,0.0
2019-07-01,0,0.0,0.0,0.0
2019-07-02,1,-2.87,-0.3478787878787879,-34.44
2019-07-05,1,17.63,1.3163733333333587,105.78
2019-07-08,0,0.0,0.0,0.0
2019-07-09,0,0.0,0.0,0.0
2019-07-10,0,0.0,0.0,0.0
2019-07-11,0,0.0,0.0,0.0
2019-07-12,0,0.0,0.0,0.0
2019-07-15,0,0.0,0.0,0.0
2019-07-16,0,0.0,0.0,0.0
2019-07-17,1,-7.62,-1.1723076923076923,-106.68
2019-07-18,0,0.0,0.0,0.0
2019-07-19,0,0.0,0.0,0.0
2019-07-22,0,0.0,0.0,0.0
2019-07-23,0,0.0,0.0,0.0
2019-07-24,0,0.0,0.0,0.0
2019-07-25,0,0.0,0.0,0.0
2019-07-26,0,0.0,0.0,0.0
2019-07-29,0,0.0,0.0,0.0
2019-07-30,0,0.0,0.0,0.0
2019-07-31,0,0.0,0.0,0.0
2019-08-01,0,0.0,0.0,0.0
2019-08-02,0,0.0,0.0,0.0
