date,side,entry,exit,why,or_width,contracts,gross_$,cost_$,net_$
2026-01-02 00:00:00-05:00,1,25754.75,25638.0,stop,95.5,2.0,-467.0,4.48,-471.48
2026-01-05 00:00:00-05:00,1,25683.25,25587.0,close,134.75,2.0,-385.0,4.48,-389.48
2026-01-06 00:00:00-05:00,1,25710.0,25813.25,close,70.25,2.0,413.0,4.48,408.52
2026-01-07 00:00:00-05:00,1,25866.25,25834.75,close,93.5,2.0,-126.0,4.48,-130.48
2026-01-08 00:00:00-05:00,-1,25603.25,25682.75,close,189.5,2.0,-318.0,4.48,-322.48
2026-01-09 00:00:00-05:00,-1,25643.0,25791.0,stop,142.75,2.0,-592.0,4.48,-596.48
2026-01-12 00:00:00-05:00,1,25893.5,25952.0,close,148.75,2.0,234.0,4.48,229.52
2026-01-13 00:00:00-05:00,-1,25930.25,25904.0,close,112.25,2.0,105.0,4.48,100.52
2026-01-14 00:00:00-05:00,-1,25585.75,25636.75,close,167.75,2.0,-204.0,4.48,-208.48
2026-01-15 00:00:00-05:00,-1,25852.0,25719.0,close,93.75,2.0,532.0,4.48,527.52
2026-01-16 00:00:00-05:00,-1,25785.5,25684.75,close,73.75,2.0,403.0,4.48,398.52
2026-01-19 00:00:00-05:00,1,25316.0,25397.75,close,58.0,2.0,327.0,4.48,322.52
2026-01-20 00:00:00-05:00,1,25361.5,25232.5,stop,124.75,2.0,-516.0,4.48,-520.48
2026-01-21 00:00:00-05:00,1,25236.0,25451.0,target,94.5,2.0,860.0,4.48,855.52
2026-01-22 00:00:00-05:00,-1,25574.5,25661.5,close,120.0,2.0,-348.0,4.48,-352.48
2026-01-23 00:00:00-05:00,1,25673.25,25735.0,close,90.25,2.0,247.0,4.48,242.52
2026-01-26 00:00:00-05:00,1,25837.5,25844.5,close,123.0,2.0,28.0,4.48,23.52
2026-01-27 00:00:00-05:00,1,26037.5,26076.0,close,95.25,2.0,154.0,4.48,149.52
2026-01-28 00:00:00-05:00,-1,26195.5,26150.5,close,85.0,2.0,180.0,4.48,175.52
2026-01-29 00:00:00-05:00,-1,25941.0,25992.25,close,231.25,2.0,-205.0,4.48,-209.48
2026-01-30 00:00:00-05:00,-1,25794.5,25675.75,close,126.25,2.0,475.0,4.48,470.52
2026-02-02 00:00:00-05:00,1,25744.75,25856.25,close,193.75,2.0,446.0,4.48,441.52
2026-02-03 00:00:00-05:00,-1,25719.75,25254.25,target,230.75,2.0,1862.0,4.48,1857.52
2026-02-04 00:00:00-05:00,-1,25196.75,24817.25,target,156.5,2.0,1518.0,4.48,1513.52
2026-02-05 00:00:00-05:00,-1,24559.25,24639.25,close,284.5,2.0,-320.0,4.48,-324.48
2026-02-06 00:00:00-05:00,1,24932.0,25147.0,close,227.0,1.0,430.0,2.24,427.76
2026-02-09 00:00:00-05:00,1,25172.25,25338.25,close,197.0,1.0,332.0,2.24,329.76
2026-02-10 00:00:00-05:00,1,25435.0,25265.25,stop,145.0,1.0,-339.5,2.24,-341.74
2026-02-11 00:00:00-05:00,-1,25305.5,25278.25,close,126.5,1.0,54.5,2.24,52.26
2026-02-12 00:00:00-05:00,-1,25251.25,24966.25,target,90.0,1.0,570.0,2.24,567.76
2026-02-13 00:00:00-05:00,1,24803.75,24802.5,close,221.25,1.0,-2.5,2.24,-4.74
2026-02-16 00:00:00-05:00,1,24787.25,24710.25,stop,66.75,1.0,-154.0,2.24,-156.24
2026-02-17 00:00:00-05:00,-1,24531.75,24815.5,stop,209.75,1.0,-567.5,2.24,-569.74
2026-02-18 00:00:00-05:00,1,24886.5,24957.5,close,116.75,1.0,142.0,2.24,139.76
2026-02-19 00:00:00-05:00,1,24925.0,24762.5,stop,120.75,1.0,-325.0,2.24,-327.24
2026-02-20 00:00:00-05:00,1,24973.75,25074.25,close,271.75,1.0,201.0,2.24,198.76
2026-02-23 00:00:00-05:00,-1,24866.5,24768.0,close,159.75,1.0,197.0,2.24,194.76
2026-02-24 00:00:00-05:00,1,24943.75,25029.75,close,218.25,1.0,172.0,2.24,169.76
2026-02-25 00:00:00-05:00,1,25319.5,25384.0,close,123.0,1.0,129.0,2.24,126.76
2026-02-26 00:00:00-05:00,-1,25216.25,24964.75,target,117.25,1.0,503.0,2.24,500.76
2026-02-27 00:00:00-05:00,1,24926.5,24998.25,close,130.0,1.0,143.5,2.24,141.26
2026-03-02 00:00:00-05:00,1,24891.25,25022.25,close,280.0,1.0,262.0,2.24,259.76
2026-03-03 00:00:00-05:00,-1,24502.5,24661.0,stop,158.75,1.0,-317.0,2.24,-319.24
2026-03-04 00:00:00-05:00,1,24995.0,25120.0,close,133.25,1.0,250.0,2.24,247.76
2026-03-05 00:00:00-05:00,1,25142.25,24985.25,stop,140.0,1.0,-314.0,2.24,-316.24
