R_mult,trades,% of trades,total $,cum %
<= -1R (full stop),0,0.0,0.0,0.0
-1.0 to -0.75,696,42.80442804428044,-233875.52000000002,42.80442804428044
-0.75 to -0.5,50,3.075030750307503,-12379.54,45.87945879458795
-0.5 to -0.25,54,3.3210332103321036,-9273.9,49.20049200492005
-0.25 to 0,71,4.366543665436654,-4333.88,53.5670356703567
0 to +0.25,75,4.612546125461255,3707.7,58.17958179581796
+0.25 to +0.5,103,6.334563345633456,15481.32,64.51414514145142
+0.5 to +1R,168,10.33210332103321,48995.5,74.84624846248464
+1R to +1.5,117,7.195571955719557,54889.84,82.0418204182042
+1.5 to +2R,40,2.4600246002460024,23033.5,84.5018450184502
>= +2R (target),252,15.498154981549817,161675.44,100.00000000000001
