date,side,entry,exit,why,or_width,ann_vol,or_hi,or_lo,stop,target,entry_ts,exit_ts,sig_ts,pts,contracts,gross_$,cost_$,net_$,R_pts,R_mult,R_$,dow,year,month,cross,dir,bucket,ehour
2020-03-06 00:00:00-05:00,1,8464.25,8377.75,stop,84.25,0.3547431034463456,8462.0,8377.75,8377.75,8637.25,2020-03-06 10:25:00-05:00,2020-03-06 14:05:00-05:00,2020-03-06 10:20:00-05:00,-86.5,2.0,-346.0,4.48,-350.48,86.5,-1.0,346.0,4,2020,3,13,long,chop 10+,10:00
2020-03-09 00:00:00-04:00,1,8037.75,7932.75,close,221.25,0.3519145524787664,8022.25,7801.0,7801.0,8511.25,2020-03-09 09:55:00-04:00,2020-03-09 15:55:00-04:00,2020-03-09 09:50:00-04:00,-105.0,2.0,-420.0,4.48,-424.48,236.75,-0.44350580781414994,947.0,0,2020,3,10,long,chop 10+,09:00
2020-03-10 00:00:00-04:00,-1,8111.75,8244.75,stop,106.5,0.4097145885952069,8244.75,8138.25,8244.75,7845.75,2020-03-10 10:50:00-04:00,2020-03-10 15:10:00-04:00,2020-03-10 10:45:00-04:00,-133.0,2.0,-532.0,4.48,-536.48,133.0,-1.0,532.0,1,2020,3,9,short,busy 6-9,10:00
2020-03-11 00:00:00-04:00,-1,8125.5,7942.0,target,90.25,0.44243621603142463,8217.25,8127.0,8217.25,7942.0,2020-03-11 10:40:00-04:00,2020-03-11 15:05:00-04:00,2020-03-11 10:35:00-04:00,183.5,2.0,734.0,4.48,729.52,91.75,2.0,367.0,2,2020,3,3,short,normal 3-5,10:00
2020-03-12 00:00:00-04:00,-1,7403.25,7524.75,stop,83.25,0.45785447122512485,7524.75,7441.5,7524.75,7160.25,2020-03-12 09:55:00-04:00,2020-03-12 09:55:00-04:00,2020-03-12 09:50:00-04:00,-121.5,2.0,-486.0,4.48,-490.48,121.5,-1.0,486.0,3,2020,3,16,short,chop 10+,09:00
2020-03-13 00:00:00-04:00,-1,7476.25,7747.0,stop,247.0,0.5545756088538747,7747.0,7500.0,7747.0,6934.75,2020-03-13 09:55:00-04:00,2020-03-13 15:50:00-04:00,2020-03-13 09:50:00-04:00,-270.75,1.0,-541.5,2.24,-543.74,270.75,-1.0,541.5,4,2020,3,13,short,chop 10+,09:00
2020-03-17 00:00:00-04:00,-1,6975.75,7253.25,stop,221.25,0.703220216262988,7253.25,7032.0,7253.25,6420.75,2020-03-17 09:55:00-04:00,2020-03-17 11:05:00-04:00,2020-03-17 09:50:00-04:00,-277.5,1.0,-555.0,2.24,-557.24,277.5,-1.0,555.0,1,2020,3,3,short,normal 3-5,09:00
2020-03-18 00:00:00-04:00,1,7239.75,6950.5,stop,247.75,0.7240830664248271,7198.25,6950.5,6950.5,7818.25,2020-03-18 09:55:00-04:00,2020-03-18 13:30:00-04:00,2020-03-18 09:50:00-04:00,-289.25,1.0,-578.5,2.24,-580.74,289.25,-1.0,578.5,2,2020,3,15,long,chop 10+,09:00
2020-03-19 00:00:00-04:00,1,7248.25,7288.25,close,180.5,0.7215575100371054,7210.5,7030.0,7030.0,7684.75,2020-03-19 10:00:00-04:00,2020-03-19 15:55:00-04:00,2020-03-19 09:55:00-04:00,40.0,1.0,80.0,2.24,77.76,218.25,0.18327605956471935,436.5,3,2020,3,1,long,calm 0-2,10:00
2020-03-23 00:00:00-04:00,1,7030.25,6834.25,stop,176.0,0.7342203932522392,7010.25,6834.25,6834.25,7422.25,2020-03-23 10:00:00-04:00,2020-03-23 11:25:00-04:00,2020-03-23 09:55:00-04:00,-196.0,1.0,-392.0,2.24,-394.24,196.0,-1.0,392.0,0,2020,3,20,long,chop 10+,10:00
