cell,trades,trades_yr,SR_gross,cost_SR,SR_net,vs_passive,ann_vol,maxDD,skew,long_$,short_$,net_$
OR10|or_stop_2r|trend,1196,362.9042745334136,0.8171792117139813,0.4484352517320391,0.36874395998194226,-0.3852204901722807,0.02169495844491412,-0.05946732180356773,0.9954013262206479,7394.959999999994,-2122.0200000000013,5272.939999999993
OR15|or_stop_2r|trend,1171,355.31848284166165,0.7202759139017872,0.43225654251480167,0.2880193713869856,-0.4659450787672374,0.02200079291521178,-0.06529425231430452,0.8841542742682783,7371.759999999995,-3195.1000000000013,4176.659999999994
OR45|or_stop_2r|trend,1054,319.81697772426253,0.562536064985051,0.3718406509263272,0.19069541405872387,-0.563269036095499,0.022991349184455747,-0.0681151973365759,0.9899284497935739,6069.119999999994,-3179.2800000000007,2889.839999999991
OR20|or_stop_2r|trend,1147,348.0361228175798,0.5490870970733686,0.4164692863470743,0.13261781072629425,-0.6213466394279288,0.02236741523427804,-0.07200988066231884,0.7262378083249668,5867.379999999995,-3912.200000000002,1955.1799999999953
OR10|close     |trend,1196,362.9042745334136,0.4177013259933617,0.3041649573410107,0.11353636865235103,-0.6404280815018719,0.032023033425431974,-0.0983422483355394,-0.7783112821107626,6544.459999999989,-4148.020000000002,2396.439999999988
OR05|close     |trend,1250,379.28958458759786,0.41223582950976845,0.3068877094577779,0.10534812005199058,-0.6486163301022324,0.03300623542956888,-0.08441760372369878,-0.6478388376239402,7511.819999999991,-5219.940000000002,2291.8799999999874
OR15|close     |trend,1171,355.31848284166165,0.393203238358074,0.3034973858755874,0.08970585248248662,-0.6642585976717363,0.0313671048871006,-0.09263009576267922,-0.8553439781114207,6313.259999999994,-4458.600000000003,1854.659999999989
OR30|or_stop_2r|trend,1111,337.112582781457,0.4776000258088559,0.40188368027721694,0.07571634553163897,-0.678248104622584,0.02244629084847596,-0.06801904099300027,0.6908048876856683,4835.299999999994,-3715.0800000000017,1120.219999999994
OR05|or_stop_2r|trend,1250,379.28958458759786,0.5396186265260895,0.4882184828962028,0.051400143629886715,-0.7025643065243362,0.020746639552961715,-0.06839874325775963,1.1618236150074277,4247.319999999994,-3544.4400000000014,702.8799999999935
OR20|close     |trend,1147,348.0361228175798,0.3200443226116476,0.30164894314217705,0.018395379469470535,-0.7355690706847524,0.030901721117334358,-0.09957907671804045,-0.9197388762230873,5555.879999999992,-5181.200000000003,374.6799999999912
OR45|or_stop_2r|both,1587,481.54605659241423,0.4014326281746289,0.4293860377305195,-0.0279534095558906,-0.7819178597101136,0.029461303730292935,-0.11165317275980102,0.9313657752532953,4789.139999999991,-5331.9600000000055,-542.8200000000129
OR45|close     |trend,1054,319.81697772426253,0.2705083786390256,0.30054121841402975,-0.03003283977500417,-0.7839972899292271,0.028474212741824215,-0.09036512332890756,-1.074174143051097,5127.619999999993,-5691.2800000000025,-563.6600000000108
OR30|close     |trend,1111,337.112582781457,0.24090281820723095,0.30453375725235865,-0.0636309390451277,-0.8175953891993507,0.02964363951263601,-0.09785428818418118,-0.9543858432385869,5278.299999999994,-6521.580000000002,-1243.2800000000097
OR10|or_stop   |trend,1196,362.9042745334136,0.3345716682714656,0.415636376514807,-0.08106470824334136,-0.8350291583975643,0.023432802143848137,-0.08552013290934712,1.7197040279500213,5030.959999999994,-6283.020000000002,-1252.0600000000068
OR15|or_stop   |trend,1171,355.31848284166165,0.31364784486791003,0.40605819559361256,-0.0924103507257025,-0.8463748008799254,0.02344173942440972,-0.07319073425496636,1.5450179567753606,5442.759999999993,-6870.6,-1427.840000000009
OR60|or_stop_2r|trend,1028,311.9277543648405,0.24604043714665771,0.3677619368066091,-0.12172149965995142,-0.8756859498141744,0.022714716492434475,-0.07930115711662455,0.8574020144426944,1917.0199999999936,-3739.420000000001,-1822.4000000000078
OR60|close     |trend,1028,311.9277543648405,0.08732852186331021,0.2981643569780745,-0.21083583511476428,-0.9648002852689872,0.028023800743624237,-0.09521982864787648,-1.2077712737659276,1343.5199999999932,-5237.920000000002,-3894.4000000000115
OR20|or_stop   |trend,1147,348.0361228175798,0.17545626212289667,0.39350613636963006,-0.2180498742467334,-0.9720143244009564,0.023690227162144622,-0.08276098018799882,1.392941587863108,3869.879999999994,-7274.700000000001,-3404.820000000007
OR30|or_stop   |trend,1111,337.112582781457,0.15670263706801926,0.38507527978239003,-0.22837264271437077,-0.9823370928685937,0.023442904270718965,-0.07356183949759021,1.2555588725265336,2746.2999999999947,-6275.080000000002,-3528.7800000000057
OR05|close     |both,1648,500.055388320289,0.07536516902454068,0.3159192822573541,-0.2405541132328134,-0.9945185633870364,0.041712784218619986,-0.16374802300948155,-0.03922437335344868,10113.959999999992,-16727.76000000001,-6613.800000000017
OR20|close     |both,1624,492.77302829620714,0.06955059220094523,0.3248146872568997,-0.2552640950559545,-1.0092285452101775,0.03990646068778247,-0.19347100147028584,0.029572965619710744,6639.439999999991,-13353.760000000007,-6714.320000000014
OR45|or_stop   |trend,1054,319.81697772426253,0.11556342766361012,0.37118757502996735,-0.25562414736635725,-1.0095885975205803,0.023055898166809485,-0.07887365455739359,1.1091741863731213,2493.119999999994,-6377.780000000001,-3884.660000000008
OR15|or_stop_2r|both,1634,495.8073449729079,0.2284459097715921,0.4873545520043495,-0.2589086422327574,-1.0128730923869804,0.02674797402607345,-0.11640441311189142,0.8283411209188525,6556.079999999993,-11120.720000000008,-4564.640000000012
OR15|close     |both,1634,495.8073449729079,0.03151872976228941,0.3234978111493448,-0.29197908138705536,-1.0459435315412784,0.04029923595672186,-0.19320109923036877,0.06553521474712323,7301.579999999992,-15057.220000000008,-7755.640000000014
OR20|or_stop_2r|both,1624,492.77302829620714,0.16467876855985347,0.47566712040557685,-0.3109883518457234,-1.0649528019999464,0.02724801350295892,-0.11929659917462243,0.7331313322201323,4555.439999999993,-10140.760000000006,-5585.320000000012
OR10|close     |both,1642,498.2347983142685,0.008345644200903798,0.31985121538904426,-0.3115055711881405,-1.0654700213423633,0.041004915043798495,-0.22391618086561582,0.05262335013021463,6438.039999999989,-14857.240000000007,-8419.200000000013
OR10|or_stop_2r|both,1642,498.2347983142685,0.17915658351336025,0.5084972942332663,-0.329340710719906,-1.0833051608741289,0.025791267561046584,-0.11614526906834388,0.8012181854475242,6387.0399999999945,-11985.740000000005,-5598.70000000001
OR60|or_stop_2r|both,1575,477.9048765803733,0.08388284041810541,0.4289607086974626,-0.3450778682793572,-1.0990423184335802,0.02930646759778734,-0.1364525260452587,0.7576078604624531,908.9999999999918,-7574.760000000006,-6665.760000000011
OR60|or_stop   |trend,1028,311.9277543648405,-0.004298353454009468,0.36426068381105337,-0.36855903726506284,-1.1225234874192858,0.02293855873772419,-0.07879290062650468,0.9476535387435228,-19.480000000006385,-5552.920000000001,-5572.400000000009
OR05|or_stop   |trend,1250,379.28958458759786,0.06807780974338455,0.43952381804546437,-0.3714460083020798,-1.1254104584563027,0.02305729685489962,-0.1052271626774367,2.003526735903709,1750.8199999999933,-7395.9400000000005,-5645.120000000008
OR45|or_stop   |both,1587,481.54605659241423,0.014958956513597306,0.41360055641904137,-0.39864159990544407,-1.152606050059667,0.03058479070057916,-0.16585244642883423,1.3298036137173457,1097.1399999999912,-9133.460000000006,-8036.320000000012
OR90|or_stop_2r|trend,959,290.99096929560505,-0.06266271468966014,0.35597794072455047,-0.4186406554142106,-1.1726051055684334,0.022035363976323975,-0.09515889500088948,1.016692711479203,48.819999999995616,-6129.200000000003,-6080.3800000000065
OR10|or_stop   |both,1642,498.2347983142685,0.011362591426476384,0.43840349737465417,-0.4270409059481778,-1.1810053561024008,0.029916420281520948,-0.19198423695676303,1.9751888293139097,2547.0399999999927,-10967.740000000007,-8420.70000000001
OR20|or_stop   |both,1624,492.77302829620714,-0.006974714349645835,0.4255230691019644,-0.4324977834516103,-1.1864622336058332,0.03046020545452965,-0.18088712287227737,1.7448740947257206,1813.9399999999932,-10497.260000000006,-8683.32000000001
OR15|or_stop   |both,1634,495.8073449729079,-0.013304045414744552,0.43291076328711675,-0.4462148087018613,-1.2001792588560842,0.030113131531556828,-0.18720622284949118,1.8725653163270537,3486.079999999995,-12342.720000000007,-8856.640000000014
OR30|or_stop_2r|both,1611,488.8284166164961,-0.008302731350101117,0.4582499096082111,-0.4665526409583122,-1.2205170911125351,0.028049076291216786,-0.13705553743379217,0.7440270589243839,1021.7599999999929,-9647.340000000006,-8625.580000000013
OR120|or_stop_2r|trend,884,268.2335942203492,-0.21143037537600484,0.335145323896309,-0.5465756992723139,-1.3005401494265367,0.02158935134888997,-0.09287255871230471,0.484610217232039,-585.6400000000049,-7192.2,-7777.840000000006
OR90|close     |trend,959,290.99096929560505,-0.2544248985544578,0.29411546071579986,-0.5485403592702577,-1.3025048094244807,0.026657926509989292,-0.12261733332087155,-1.6001406620749992,-3482.1800000000057,-6156.200000000001,-9638.380000000008
OR90|or_stop   |trend,959,290.99096929560505,-0.2121028551793285,0.3587532291839983,-0.5708560843633268,-1.3248205345175497,0.021860507744291706,-0.1006782486873199,0.8502270598352529,-2518.6800000000053,-5706.700000000003,-8225.38000000001
OR120|close     |trend,884,268.2335942203492,-0.2742401821076651,0.3006994964967057,-0.5749396786043708,-1.3289041287585937,0.024056317142366848,-0.11348576758326823,-0.8262240566879085,-2797.6400000000053,-6318.700000000001,-9116.340000000007
OR30|or_stop   |both,1611,488.8284166164961,-0.18565483689310858,0.4223662676139651,-0.6080211045070737,-1.3619855546612967,0.030428398936382117,-0.19074112361508389,1.5475471700840897,-1957.740000000007,-10236.840000000007,-12194.58000000001
OR60|or_stop   |both,1575,477.9048765803733,-0.20065751006668586,0.41510378121355473,-0.6157612912802406,-1.3697257414344635,0.03027795830300357,-0.18085204068214855,1.1267753897446937,-743.0000000000073,-11545.760000000006,-12288.760000000013
OR45|close     |both,1587,481.54605659241423,-0.3277033530897153,0.33157471419498796,-0.6592780672847033,-1.4132425174389263,0.03813806844285948,-0.2331836015429941,-0.4296898388725876,1462.6399999999912,-18035.460000000006,-16572.820000000014
OR120|or_stop   |trend,884,268.2335942203492,-0.3246987871762738,0.3398285633819336,-0.6645273505582074,-1.4184918007124305,0.021285780051631977,-0.10134702717554533,0.09637146916950427,-2779.1400000000053,-6544.200000000001,-9323.340000000007
OR05|or_stop   |both,1648,500.055388320289,-0.21592746904967322,0.45037113912603355,-0.6662986081757067,-1.4202630583299296,0.029257786820747637,-0.17952708540989193,2.0721349829768574,998.4599999999932,-13847.760000000006,-12849.300000000014
OR30|close     |both,1611,488.8284166164961,-0.35509752153244756,0.3271801192760223,-0.6822776408084699,-1.436242090962693,0.03927458609497941,-0.25469640785584147,0.04071901481758058,421.2599999999902,-18083.340000000007,-17662.080000000013
OR90|or_stop_2r|both,1529,463.94701986754967,-0.34311250046811,0.4203846578111304,-0.7634971582792404,-1.5174616084334633,0.029085076832482522,-0.21502093841662206,0.7777298822037448,-3709.1800000000076,-10927.640000000007,-14636.82000000001
OR05|or_stop_2r|both,1648,500.055388320289,-0.22845736763716432,0.5387367001479679,-0.7671940677851322,-1.5211585179393552,0.024461796567205374,-0.12508026893307345,0.9392535454445877,4162.459999999994,-16532.260000000002,-12369.800000000012
OR120|or_stop_2r|both,1466,444.8308248043348,-0.43203637881803936,0.39600220596959734,-0.8280385847876367,-1.5820030349418597,0.029503726820354986,-0.19933126309212568,0.7591430333647942,-4034.700000000006,-12067.920000000006,-16102.62000000001
OR90|or_stop   |both,1529,463.94701986754967,-0.4731602455729806,0.4126343639486931,-0.8857946095216737,-1.6397590596758966,0.029621112515313797,-0.23131363355708523,1.0772860027412103,-4962.680000000008,-12331.640000000007,-17294.32000000001
OR60|close     |both,1575,477.9048765803733,-0.5945514297028608,0.3350422633107647,-0.9295936930136255,-1.6835581431678484,0.03749061435478564,-0.25857048807016014,-0.5992570219656014,-2552.50000000001,-20418.760000000006,-22971.260000000013
OR120|or_stop   |both,1466,444.8308248043348,-0.5540537575120927,0.3950641195283947,-0.9491178770404874,-1.7030823271947104,0.02956432094007866,-0.21276866288881968,0.8208637022476923,-6452.200000000007,-12042.920000000007,-18495.12000000001
OR90|close     |both,1529,463.94701986754967,-0.7983257159018868,0.34470800922608347,-1.1430337251279703,-1.8969981752821932,0.03542296937989407,-0.30510835431638994,-0.5634625030199047,-7065.680000000009,-19622.140000000007,-26687.82000000001
OR120|close     |both,1466,444.8308248043348,-0.8325053830604473,0.34931871266241454,-1.1818240957228618,-1.935788545877085,0.033403145329112566,-0.2628783332521951,-0.08942652962247766,-6360.700000000008,-19659.420000000006,-26020.12000000001
