cell,trades,trades_yr,SR_gross,cost_SR,SR_net,ann_vol,maxDD,skew,long_$,short_$,net_$
20:00|OR30|or_stop   |trend,1049,318.29981938591214,0.7537413666245487,0.4159276562789292,0.3378137103456195,0.020411912691211485,-0.02896859660420914,1.1941568651079382,6620.679999999995,-2075.720000000002,4544.959999999992
18:00|OR15|or_stop_2r|trend,1171,355.31848284166165,0.7202759139017872,0.43225654251480167,0.2880193713869856,0.02200079291521178,-0.06529425231430452,0.8841542742682783,7371.759999999995,-3195.1000000000013,4176.659999999994
20:00|OR15|or_stop   |trend,1165,353.4978928356412,0.7200312625969156,0.45822136156029913,0.2618099010366165,0.020593399672109776,-0.039288100518287794,1.5713814301371307,5946.939999999994,-2393.220000000002,3553.7199999999934
20:00|OR60|or_stop   |trend,900,273.08850090307044,0.5763717823150466,0.38463506703461736,0.19173671528042927,0.019015208123932703,-0.038126154353217645,1.0976693684885495,5869.239999999995,-3466.120000000001,2403.1199999999935
20:00|OR15|or_stop_2r|trend,1165,353.4978928356412,0.6865789408320917,0.5118790031651248,0.17469993766696687,0.018443163457010935,-0.04738257005840951,0.8014762871699627,3075.9399999999946,-952.2200000000013,2123.7199999999953
20:00|OR30|or_stop_2r|trend,1049,318.29981938591214,0.6142476244167683,0.4441893687201936,0.17005825569657468,0.019127132509775713,-0.030657495248862077,0.7157554069080082,4557.679999999996,-2413.720000000001,2143.9599999999937
20:00|OR15|close     |trend,1165,353.4978928356412,0.4737555414784255,0.35135796930137275,0.12239757217705279,0.026857210125993434,-0.043840652808806335,-0.6075702981884646,7481.939999999992,-5315.220000000003,2166.719999999992
20:00|OR60|close     |trend,900,273.08850090307044,0.46260528989306327,0.34488386295354045,0.11772142693952278,0.02122114323654873,-0.04771266347117986,-0.25179636882225065,6389.739999999995,-4743.120000000001,1646.6199999999947
20:00|OR30|close     |trend,1049,318.29981938591214,0.45963702894080455,0.3426631607680131,0.11697386817279143,0.024798239999274767,-0.04227273202062831,-0.6705050622582424,6581.679999999994,-4669.720000000002,1911.9599999999923
20:00|OR60|or_stop_2r|trend,900,273.08850090307044,0.5131313653043696,0.4038677159610744,0.10926364934329524,0.018115037556176446,-0.038487821114336906,0.49682359421239364,4954.739999999996,-3650.1200000000013,1304.6199999999933
18:00|OR15|close     |trend,1171,355.31848284166165,0.393203238358074,0.3034973858755874,0.08970585248248662,0.0313671048871006,-0.09263009576267922,-0.8553439781114207,6313.259999999994,-4458.600000000003,1854.659999999989
18:00|OR30|or_stop_2r|trend,1111,337.112582781457,0.4776000258088559,0.40188368027721694,0.07571634553163897,0.02244629084847596,-0.06801904099300027,0.6908048876856683,4835.299999999994,-3715.0800000000017,1120.219999999994
