cell,trades,trades_yr,SR_gross,cost_SR,SR_net,vs_passive,ann_vol,maxDD,skew,long_$,short_$,net_$
OR60|close     |trend,821,249.11739915713426,0.5377116947851274,0.4000065295374368,0.13770516524769055,-0.12010970636446944,0.016700675617130678,-0.03669914849038536,-0.12218866264148578,4647.759999999998,-3131.920000000001,1515.8399999999951
OR15|or_stop_2r|trend,1121,340.14689945815775,0.5551565540633501,0.5347409984360474,0.020415555627302656,-0.23739931598485733,0.016948014394546376,-0.06121091047573057,0.8522901797475675,2303.6799999999953,-2075.620000000001,228.0599999999945
OR60|or_stop_2r|trend,821,249.11739915713426,0.4633865505482857,0.4434207603166175,0.019965790231668248,-0.23784908138049174,0.015071438762845958,-0.03672893737231098,0.36196522484592625,3400.7599999999975,-3202.420000000001,198.33999999999514
OR15|or_stop   |trend,1121,340.14689945815775,0.49639212544715006,0.49353679228423164,0.002855333162918443,-0.2549595384492416,0.018363178368927955,-0.05881907485033622,1.54483313836294,3333.1799999999953,-3298.6200000000013,34.55999999999494
OR60|or_stop   |trend,821,249.11739915713426,0.4253655392805222,0.42903270922848785,-0.0036671699479656774,-0.26148204156012567,0.015580456819017107,-0.04420571041839416,1.0486138633421942,2956.7599999999966,-2994.420000000001,-37.6600000000044
OR30|close     |trend,994,301.6110776640578,0.3778087225434034,0.3853207473544814,-0.007512024811077965,-0.265326896423238,0.02087903500895929,-0.039038292825057,-0.7216590624314115,3580.079999999995,-3683.460000000002,-103.38000000000852
OR30|or_stop_2r|trend,994,301.6110776640578,0.40265244074601747,0.4717915166476791,-0.06913907590166163,-0.3269539475138216,0.01705849454430564,-0.04711598986760246,0.8230705408764614,2186.579999999996,-2963.960000000001,-777.3800000000074
OR15|close     |trend,1121,340.14689945815775,0.3119175898585543,0.3892423522901207,-0.07732476243156645,-0.33513963404372643,0.023278666268719314,-0.050094914930551626,-0.5699752499852939,3391.6799999999957,-4578.120000000002,-1186.4400000000062
OR60|close     |both,1429,433.60385310054187,0.3902180160394349,0.4691812881992451,-0.07896327215981018,-0.3367781437719702,0.024264305036121918,-0.10272526085233713,0.3144003007715533,4299.799999999996,-5562.680000000004,-1262.8800000000074
OR30|or_stop   |trend,994,301.6110776640578,0.36948299906515364,0.4579521395499427,-0.08846914048478903,-0.34628401209694903,0.01757567926271301,-0.05223607621081039,1.1167362253816568,1814.0799999999963,-2838.9600000000014,-1024.8800000000074
OR60|or_stop   |both,1429,433.60385310054187,0.41256238047724153,0.5041695991935975,-0.09160721871635591,-0.3494220903285159,0.022579698022977438,-0.09397748536447614,1.2219526793125404,2501.2999999999947,-3864.680000000003,-1363.3800000000074
OR15|or_stop   |both,1644,498.8416616496087,0.43087011846662554,0.5385760978776374,-0.10770597941101187,-0.3655208510231719,0.02439573494951578,-0.08095958523559776,1.822103982452861,3217.759999999994,-4949.660000000006,-1731.90000000001
OR60|or_stop_2r|both,1429,433.60385310054187,0.40964303239619987,0.5251169962863208,-0.11547396389012092,-0.3732888355022809,0.021677000727708562,-0.08858027147828884,0.6869447170808226,2714.7999999999947,-4364.680000000004,-1649.8800000000065
OR15|or_stop_2r|both,1644,498.8416616496087,0.42255786657742556,0.6030851476408489,-0.18052728106342328,-0.4383421526755833,0.02178663110179884,-0.07720676683738703,0.9977754576617524,2939.2599999999948,-5531.6600000000035,-2592.4000000000096
OR30|or_stop   |both,1593,483.3666465984347,0.3434210293849604,0.5261993056427086,-0.18277827625774812,-0.4405931478699081,0.024178642091737743,-0.08246534296134755,1.3409782794807203,1218.6799999999946,-4131.580000000005,-2912.9000000000106
OR30|or_stop_2r|both,1593,483.3666465984347,0.351628085279308,0.5530311395060656,-0.20140305422675758,-0.4592179258389176,0.02300486388985808,-0.07705143360723465,0.8874003624858167,1680.1799999999946,-4734.080000000005,-3053.9000000000096
OR30|close     |both,1593,483.3666465984347,0.13204880982474243,0.44951439909142604,-0.3174655892666836,-0.5752804608788435,0.028298189436718288,-0.09679700419611403,0.011438070159483227,1809.6799999999948,-7731.080000000005,-5921.40000000001
OR15|close     |both,1644,498.8416616496087,-0.110648811833258,0.43388914930776135,-0.5445379611410194,-0.8023528327531794,0.030275298591315836,-0.1462569834816485,0.2185873943236453,1359.7599999999932,-12226.160000000007,-10866.400000000012
