cell,trades,trades_yr,SR_gross,cost_SR,SR_net,ann_vol,maxDD,skew,avg_ct,net_$,passes
OR15|or_stop_2r|both,1618,492.4347826086957,0.9411369290177491,0.5076827979881411,0.4334541310296081,0.06513950366432904,-0.06947305770465473,0.8866475414560931,3.595179233621755,18554.419999999976,BREACH
OR15|close     |both,1618,492.4347826086957,0.7010886049548904,0.3439085601948703,0.35718004476002013,0.09618729577062077,-0.16395611483906236,-0.5450674935850399,3.595179233621755,22576.91999999999,BREACH
OR15|or_stop   |both,1618,492.4347826086957,0.807050665730081,0.45773001825244297,0.349320647477638,0.07225185005731427,-0.08107466084247039,1.897333655113332,3.595179233621755,16585.66999999998,BREACH
OR30|or_stop   |both,1596,485.7391304347826,0.5973639277703543,0.44247963398821283,0.15488429378214147,0.07367339770398797,-0.12704708935054665,1.5013920664715394,3.5908521303258145,7498.559999999976,BREACH
OR30|close     |both,1596,485.7391304347826,0.45316696895938174,0.3542660433235298,0.09890092563585196,0.09202758199645063,-0.2338316576554077,-0.6841291083997517,3.5908521303258145,5981.059999999983,BREACH
OR30|or_stop_2r|both,1596,485.7391304347826,0.4950797686063981,0.4776689793022535,0.017410789304144577,0.06826626550092346,-0.1307716629645551,0.6150640162341213,3.5908521303258145,781.059999999974,BREACH
OR15|or_stop_2r|trend,1131,344.2173913043478,0.45942221344589446,0.4833154473803887,-0.023893233934494218,0.04878905317151867,-0.10269310640705531,0.5996568092333733,3.664898320070734,-766.0500000000161,BREACH
OR60|or_stop_2r|both,1505,458.04347826086956,0.3189580745416387,0.4427824043943701,-0.1238243298527314,0.0692647293617717,-0.12323034032395208,0.9407775103674224,3.5820598006644517,-5636.090000000021,BREACH
OR15|or_stop   |trend,1131,344.2173913043478,0.330214392364381,0.46111364125229964,-0.13089924888791865,0.05114886359523576,-0.1220561083546996,1.016164100596363,3.664898320070734,-4399.8000000000175,BREACH
OR60|or_stop   |both,1505,458.04347826086956,0.29442114021680493,0.4324910325849912,-0.13806989236818626,0.07092167349543939,-0.14191858699281923,1.1755066493337976,3.5820598006644517,-6434.8400000000165,BREACH
OR60|close     |both,1505,458.04347826086956,0.17539430486639457,0.3670450312118535,-0.19165072634545893,0.08357893209653268,-0.19827846481740308,-0.8244005612958896,3.5820598006644517,-10526.090000000017,BREACH
OR30|or_stop_2r|trend,1023,311.34782608695656,0.17895723139054898,0.4380819025723155,-0.2591246711817665,0.04892527444166421,-0.13657067219156604,0.31621206577690636,3.681329423264907,-8331.090000000015,BREACH
OR30|or_stop   |trend,1023,311.34782608695656,0.1592408038228682,0.4265115038211487,-0.2672706999982805,0.05025244638422974,-0.13811466473714806,0.6299569317474802,3.681329423264907,-8826.090000000013,BREACH
OR60|or_stop_2r|trend,871,265.0869565217391,0.010574101512762007,0.40184413421346343,-0.39127003270070143,0.04513696380590758,-0.1479435303457084,-0.03306575346507385,3.6590126291618827,-11605.630000000014,BREACH
OR15|close     |trend,1131,344.2173913043478,-0.08225940710906658,0.3114527135721832,-0.3937121206812498,0.07574564432831753,-0.22134456864387775,-2.121930649463141,3.664898320070734,-19597.300000000017,BREACH
OR60|or_stop   |trend,871,265.0869565217391,-0.000582318854823411,0.39676201771227887,-0.3973443365671023,0.04571555630625363,-0.15196788406214345,0.1714008854708954,3.6590126291618827,-11936.880000000012,BREACH
OR60|close     |trend,871,265.0869565217391,-0.1312992445496829,0.29905839919103583,-0.4303576437407187,0.06065324854822619,-0.17872363264849744,-3.7065830748559376,3.6590126291618827,-17153.130000000012,BREACH
OR30|close     |trend,1023,311.34782608695656,-0.18152240171099998,0.30285486961590063,-0.4843772713269006,0.07076494390598588,-0.2376880682342014,-2.636839436164598,3.681329423264907,-22524.84000000001,BREACH
