cell,trades,trades_yr,SR_gross,cost_SR,SR_net,ann_vol,maxDD,skew,avg_ct,net_$,passes
OR30|or_stop_2r|trend,1017,283.5,0.8771992154209549,0.46377170811079516,0.41342750731015976,0.039131295562691785,-0.05279822183462579,0.861392070067944,3.96165191740413,11607.039999999917,BREACH
OR30|or_stop_2r|both,1691,471.38495575221236,0.8977506311401823,0.5690459609296923,0.32870467021048994,0.05375322287607151,-0.09600511675232748,0.9816688602916531,4.007096392667061,12676.759999999964,BREACH
OR30|or_stop   |trend,1017,283.5,0.7706748988128288,0.45317524269514786,0.31749965611768094,0.04008035279689085,-0.06758568962561318,1.2232262468128308,3.96165191740413,9130.039999999764,BREACH
OR15|or_stop   |trend,1150,320.575221238938,0.7362062125060785,0.4722615227369592,0.26394468976911933,0.04395631300019238,-0.10490761626867928,1.664749693566086,4.0,8323.999999999989,BREACH
OR60|or_stop_2r|trend,793,221.0575221238938,0.6468989671987385,0.43089389425875635,0.21600507293998214,0.03296969028112175,-0.06998898046313118,0.783644076092203,3.969735182849937,5109.480000000009,BREACH
OR15|or_stop   |both,1761,490.89823008849555,0.6974678498192313,0.5538300272416774,0.1436378225775539,0.05768058249325586,-0.1564244514001173,1.4240606272405232,4.017035775127768,5944.239999999956,BREACH
OR15|close     |trend,1150,320.575221238938,0.5280044885965162,0.3876043777533571,0.14040011084315904,0.053607854205859035,-0.14581738839703284,-0.29423123936519874,4.0,5400.000000000098,BREACH
OR30|or_stop   |both,1691,471.38495575221236,0.6897859893728127,0.5662244625584569,0.1235615268143557,0.05401842537177568,-0.1207284548619384,1.0898279708327387,4.007096392667061,4788.759999999762,BREACH
OR15|or_stop_2r|trend,1150,320.575221238938,0.6255361658573954,0.5256469532749399,0.09988921258245542,0.03950239199854879,-0.09307844817957522,0.7379427047438669,4.0,2831.0000000000755,BREACH
OR60|or_stop   |trend,793,221.0575221238938,0.5153548862705952,0.43409174509046444,0.08126314118013078,0.03275092894738457,-0.07135813116971168,0.8544279267912583,3.969735182849937,1909.4799999999104,BREACH
OR30|close     |trend,1017,283.5,0.44769146499976664,0.38608611159038936,0.06160535340937729,0.04710562063974442,-0.11791671152675376,-0.6047160220713307,3.96165191740413,2082.039999999897,BREACH
OR15|or_stop_2r|both,1761,490.89823008849555,0.6399240231464179,0.6076040435622854,0.03231997958413261,0.05257995851814307,-0.17458066364609948,0.857021505451569,4.017035775127768,1219.240000000138,BREACH
OR60|or_stop_2r|both,1470,409.7787610619469,0.47908864914366667,0.5770947922143935,-0.09800614307072684,0.046306705383206234,-0.14936047022535148,1.185540289497375,4.025170068027211,-3256.080000000122,BREACH
OR15|close     |both,1761,490.89823008849555,0.3554134909226717,0.45714266533976056,-0.10172917441708883,0.06988620926512613,-0.21102465001931547,0.0609678256166688,4.017035775127768,-5100.759999999847,BREACH
OR60|close     |trend,793,221.0575221238938,0.25942459307953686,0.3832352667540151,-0.12381067367447822,0.037110750981990744,-0.11169193000519784,-1.5334181556541329,3.969735182849937,-3296.5200000000477,BREACH
OR30|close     |both,1691,471.38495575221236,0.36061147503791,0.4906158261687985,-0.13000435113088846,0.06234647009022182,-0.1551025081857096,-0.11400744221455646,4.007096392667061,-5815.240000000084,BREACH
OR60|or_stop   |both,1470,409.7787610619469,0.2978717741587685,0.5934800117761152,-0.2956082376173468,0.0450290300421879,-0.18193881784875066,0.8067462243900687,4.025170068027211,-9550.080000000265,BREACH
OR60|close     |both,1470,409.7787610619469,0.10022955927504656,0.5394076586101942,-0.4391780993351477,0.049538031648223006,-0.22775841692823762,-0.482658596345004,4.025170068027211,-15609.08000000014,BREACH
