inst,test,SR
MNQ,cost 1 tk,1.0720361322599468
MNQ,cost 2 tk,1.0372129452123153
MNQ,cost 4 tk,0.9675514400394228
MNQ,cost 6 tk,0.8978703931437092
MNQ,cost 8 tk,0.828170565202827
MNQ,cost 12 tk,0.68871761450417
MNQ,stop slip +0 tk,1.0372129452123153
MNQ,stop slip +1 tk,1.0219385708082827
MNQ,stop slip +2 tk,1.0066888799183165
MNQ,stop slip +4 tk,0.976263453735392
MNQ,1st half,0.9694680879555105
MNQ,2nd half,1.106400875644704
MNQ,ex-COVID,1.1211540491566405
MNQ,drop best 5,0.8469715395844812
MNQ,drop best 20,0.3858024595954052
MES,cost 1 tk,0.6032137923212378
MES,cost 2 tk,0.4334541310296081
MES,cost 4 tk,0.09375013948174148
MES,cost 6 tk,-0.24612632071460638
MES,cost 8 tk,-0.586086520957378
MES,cost 12 tk,-1.265902602830367
MES,stop slip +0 tk,0.4334541310296081
MES,stop slip +1 tk,0.349174085116841
MES,stop slip +2 tk,0.26563145481720674
MES,stop slip +4 tk,0.10073921466957109
MES,1st half,0.23359391251680436
MES,2nd half,0.6335590503513199
MES,ex-COVID,0.5376723837551944
MES,drop best 5,0.22170342519038252
MES,drop best 20,-0.271347748916262
MGC,cost 1 tk,0.5567637327545066
MGC,cost 2 tk,0.41342750731015976
MGC,cost 4 tk,0.12645206990959196
MGC,cost 6 tk,-0.16064035231519927
MGC,cost 8 tk,-0.4475049661169065
MGC,cost 12 tk,-1.019180680231791
MGC,stop slip +0 tk,0.41342750731015976
MGC,stop slip +1 tk,0.3768149118090208
MGC,stop slip +2 tk,0.3404327874062721
MGC,stop slip +4 tk,0.2683632797190968
MGC,1st half,0.3834055492907798
MGC,2nd half,0.44358364876865813
MGC,ex-COVID,0.3925946606639348
MGC,drop best 5,0.2033816126812645
MGC,drop best 20,-0.331988549650013
