strategy,ann_ret,ann_vol,vol_vs_tau,SR_net,maxDD,DD_in_tau,skew,t_stat,worst_day,years,SR_gross,cost_SR,trades_yr,avg_ct,net_$,win_rate,no_lot
MNQ ON 18-06,0.050733930434782595,0.05744079511525012,0.47867329262708436,0.8832386517803111,-0.05974593052831323,0.49788275440261026,-0.3522888400145541,2.2641644228513425,-0.0209296,6.571428571428571,1.030430321357236,0.14719166957692476,504.0,1.928743961352657,33339.43999999998,0.5471014492753623,0.0
MNQ ON 23-04,0.027434430434782605,0.034065463276141295,0.2838788606345108,0.8053444103311838,-0.04163420035869303,0.3469516696557753,0.2108964664442319,2.0644841100858025,-0.0108072,6.571428571428571,1.052871696217444,0.24752728588626027,503.69565217391306,1.9238670694864048,18028.33999999999,0.5564954682779456,0.0
MNQ 24h hold,0.09520293816884659,0.13416816078207508,1.1180680065172923,0.7095792147250314,-0.22345966071702217,1.862163839308518,-0.6477946517740554,1.8332158809056625,-0.06579082857142858,6.674603174603175,,,7.940546967895362,1.9310344827586208,63544.18333333333,,
"MNQ MAC(16,64)",-0.008483424256837114,0.1339501742456492,1.1162514520470768,-0.06333268549005013,-0.3793675940498754,3.1613966170822954,-0.6337871811082343,-0.16362159771795784,-0.053595828571428576,6.674603174603175,,,8.989298454221165,,-5662.349047619038,,
MNQ 24h hold [c2c],0.1097536159334126,0.137748997781745,1.147908314847875,0.7967652592820357,-0.21367871590521825,1.7806559658768188,-0.5633906848949181,2.0584632361811197,-0.06595582857142858,6.674603174603175,,,7.940546967895362,1.9310344827586208,73256.18333333335,,
"MNQ MAC(16,64) [c2c]",0.011941010939357902,0.13831399320242302,1.1526166100201918,0.08633263101501372,-0.2823429458908129,2.3528578824234407,-0.4732693146611993,0.22304253976551666,-0.05305582857142858,6.674603174603175,,,8.989298454221165,,7970.1509523809655,,
MES ON 18-06,0.02382582391304346,0.06103072690635634,0.5085893908863028,0.39039062978229094,-0.11597807489467649,0.9664839574556374,-1.0219848376338567,1.0007584849077102,-0.0374992,6.571428571428571,0.759711880153728,0.3693212503714371,504.0,3.591183574879227,15656.969999999974,0.5332125603864735,0.0
MES ON 23-04,0.0016578891304347787,0.03666810878618764,0.30556757321823036,0.04521337983646656,-0.09483404326082812,0.7902836938402343,-0.3635790084844232,0.11590358489888027,-0.011999200000000002,6.571428571428571,0.6600013147572192,0.6147879349207527,503.69565217391306,3.5933534743202418,1089.4699999999839,0.5329305135951662,0.0
MES 24h hold,0.09769368549346016,0.13322235183960818,1.1101862653300683,0.7333130225104987,-0.18283818626825366,1.5236515522354472,-0.6601116157034099,1.894532774698192,-0.057251976190476186,6.674603174603175,,,16.92984542211653,3.574910820451843,65206.658333333355,,
"MES MAC(16,64)",0.03195858299643281,0.14331412253641496,1.1942843544701247,0.22299674610443498,-0.216379662954711,1.803163857955925,-0.6149188162554251,0.5761177439609085,-0.07612618571428571,6.674603174603175,,,8.090368608799048,,21331.085952380967,,
MES 24h hold [c2c],0.10868310285374555,0.13756986262294393,1.1464155218578662,0.7900211629317958,-0.1757908017114278,1.4649233475952317,-0.5960615487244566,2.0410396923750787,-0.057251976190476186,6.674603174603175,,,16.92984542211653,3.574910820451843,72541.65833333335,,
"MES MAC(16,64) [c2c]",0.058984534244946506,0.1489784045492563,1.2414867045771358,0.39592674135159384,-0.18756615815304545,1.5630513179420455,-0.41760462382126906,1.0228867684663399,-0.07537618571428571,6.674603174603175,,,8.090368608799048,,39369.83595238097,,
MGC ON 18-06,0.044391752112676,0.072403943571963,0.603366196433025,0.613112351657401,-0.15497064970205232,1.291422080850436,0.40691904855749106,1.9253203073556524,-0.024452400000000016,9.86111111111111,1.0349194328597462,0.4218070812023452,496.90140845070425,5.487755102040817,43775.19999999994,0.5191836734693878,19.0
MGC ON 23-04,-0.028750309859155058,0.044681431328145574,0.3723452610678798,-0.6434509594826869,-0.32776884634509196,2.7314070528757664,-0.6224995303307573,-2.0205908358077718,-0.03145439999999989,9.86111111111111,0.03655372710226505,0.680004686584952,494.06197183098595,5.49055829228243,-28351.00000000014,0.4794745484400657,19.0
MGC 24h hold,0.0958879592194345,0.13665334508527174,1.138777875710598,0.7016876107906497,-0.2797072989026299,2.330894157521916,-0.20348061752265933,2.2149651349662385,-0.05750177777777778,9.964285714285714,,,16.759856630824373,5.482277976901633,95545.50222222222,,
"MGC MAC(16,64)",0.05469317722023111,0.14933832753029644,1.2444860627524703,0.36623670644185724,-0.31423348337380264,2.6186123614483554,-0.34434545097562463,1.1560721942910333,-0.07023106666666677,9.964285714285714,,,8.229390681003585,,54497.84444444457,,
MGC 24h hold [c2c],0.13774243950617285,0.13860228190395574,1.1550190158662978,0.9937963330331119,-0.20790920679100067,1.732576723258339,-0.19962962225271638,3.1370430303669425,-0.0578517777777778,9.964285714285714,,,16.759856630824373,5.482277976901633,137250.50222222222,,
"MGC MAC(16,64) [c2c]",0.07366091915571488,0.15172607192079554,1.2643839326732962,0.48548623333613716,-0.2883253590421143,2.402711325350953,-0.35216724894093476,1.5324983137923134,-0.07074106666666673,9.964285714285714,,,8.229390681003585,,73397.84444444449,,
MCL ON 18-06,-0.02529336000000017,0.07202092817679999,0.6001744014733332,-0.35119458524484676,-0.2106657021415821,1.7555475178465174,0.4371372312799404,-0.7852949659373221,-0.02436200000000004,5.0,0.028686643375922437,0.3798812286207692,504.0,4.8468253968253965,-12646.680000000084,0.4928571428571429,0.0
MCL ON 23-04,-0.040625440000000006,0.04214979759388507,0.3512483132823756,-0.963834758862372,-0.21959820009981224,1.8299850008317686,-1.1755995130395356,-2.1552000398933817,-0.02365440000000001,5.0,-0.31530594998610256,0.6485288088762695,503.6,4.847498014297061,-20312.719999999998,0.4837172359015091,0.0
MCL 24h hold,0.013970153654743413,0.13329587986829708,1.1107989989024758,0.10480559240500618,-0.2690558256039913,2.242131880033261,-0.3695658778961979,0.23675800457783155,-0.05365177777777772,5.103174603174603,,,13.912908242612755,4.8172628304821155,7129.2133333333395,,
"MCL MAC(16,64)",-0.015533076205288007,0.2008400604184681,1.673667170153901,-0.07734052744718092,-0.3960931339688659,3.3007761164072162,-0.23652661984326803,-0.17471385382405336,-0.0922821333333333,5.103174603174603,,,8.23017107309487,,-7926.8000000001375,,
MCL 24h hold [c2c],0.03619553468118195,0.13453370387053304,1.1211141989211086,0.26904436315835256,-0.24036677481024638,2.003056456752053,-0.10004001599154191,0.6077767903656481,-0.048701777777777754,5.103174603174603,,,13.912908242612755,4.8172628304821155,18471.213333333326,,
"MCL MAC(16,64) [c2c]",-0.009497617418351461,0.19986252827155349,1.6655210689296125,-0.047520750890567315,-0.42755039660883165,3.5629199717402638,-0.23654053641391032,-0.10735036078431166,-0.09653248888888884,5.103174603174603,,,8.23017107309487,,-4846.799999999992,,
