date,Sarah baseline,P4 · 1h reference,P4 · no BOS,P4 · normal RVOL,P4 · low impulse volume,P4 · first Sarah test,P4 · first physical touch,P4 · width ≤0.5 ATR,P4 · opposing room,P5 · first touch + opposing,P5 · first touch + width,P5 · first touch + low volume
2019-05-06,-104.0,-104.0,-104.0,,-64.0,-104.0,-104.0,,-104.0,-104.0,,-64.0
2019-05-07,-249.5,-154.5,-154.5,,-64.0,-154.5,-154.5,-18.5,-154.5,-154.5,-18.5,-64.0
2019-05-08,-244.0,-149.0,-149.0,,-39.0,-149.0,-149.0,-58.5,-174.0,-174.0,-58.5,-39.0
2019-05-09,-186.5,-6.0,27.0,,-52.5,4.5,4.5,131.0,-31.0,-20.5,141.5,-52.5
2019-05-10,-75.5,105.0,223.0,,-52.5,174.5,174.5,144.5,80.0,-50.5,155.0,-52.5
2019-05-11,-75.5,105.0,223.0,,-52.5,174.5,174.5,144.5,80.0,-50.5,155.0,-52.5
2019-05-12,-75.5,105.0,223.0,,-52.5,174.5,174.5,144.5,80.0,-50.5,155.0,-52.5
2019-05-13,124.5,305.0,423.0,,-102.5,374.5,374.5,344.5,280.0,149.5,355.0,-102.5
2019-05-14,-5.5,175.0,346.5,,-188.5,244.5,244.5,271.0,172.5,61.5,301.0,-188.5
2019-05-15,171.5,276.5,288.0,,-228.5,355.0,355.0,262.0,74.0,-28.0,301.0,-228.5
2019-05-16,143.0,308.5,320.0,,-228.5,316.0,316.0,294.0,106.0,-67.0,262.0,-228.5
2019-05-17,-20.0,145.5,236.5,,-228.5,153.0,153.0,274.0,49.5,-123.5,242.0,-228.5
2019-05-18,-20.0,145.5,236.5,,-228.5,153.0,153.0,274.0,49.5,-123.5,242.0,-228.5
2019-05-19,-20.0,145.5,236.5,,-228.5,153.0,153.0,274.0,49.5,-123.5,242.0,-228.5
2019-05-20,287.0,368.0,448.5,,-246.5,365.0,365.0,268.0,17.5,-178.0,236.0,-246.5
2019-05-21,276.0,331.0,393.5,18.0,-272.5,328.0,328.0,268.0,-19.5,-215.0,236.0,-272.5
2019-05-22,246.5,397.0,459.5,18.0,-206.5,394.0,394.0,334.0,6.0,-255.5,302.0,-206.5
2019-05-23,142.0,365.5,412.0,18.0,-231.5,362.5,362.5,286.5,-25.5,-287.0,254.5,-231.5
