date,Sarah baseline,P4 · 1h reference,P4 · no BOS,P4 · normal RVOL,P4 · low impulse volume,P4 · first Sarah test,P4 · first physical touch,P4 · width ≤0.5 ATR,P4 · opposing room,P5 · first touch + opposing,P5 · first touch + width,P5 · first touch + low volume
2019-05-06,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,
2019-05-10,,,,,,,,,,,,
2019-05-11,,,,,,,,,,,,
2019-05-12,,,,,,,,,,,,
2019-05-13,,,,,,,,,,,,
2019-05-14,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,
2019-05-16,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,
2019-05-18,,,,,,,,,,,,
2019-05-19,,,,,,,,,,,,
2019-05-20,,,,,,,,,,,,
2019-05-21,,,,,,,,,,,,
2019-05-22,,,,,,,,,,,,
2019-05-23,,,,,,,,,,,,
2019-05-24,,,,,,,,,,,,
2019-05-25,0.9285714285714286,3.76875,5.409090909090909,,-10.232142857142858,4.145833333333333,4.145833333333333,,-1.11875,-5.484375,,-10.232142857142858
2019-05-26,0.9285714285714286,3.76875,5.409090909090909,,-10.232142857142858,4.145833333333333,4.145833333333333,5.326086956521739,-1.11875,-5.484375,5.605263157894737,-10.232142857142858
2019-05-27,1.052325581395349,3.76875,5.409090909090909,,-10.232142857142858,4.145833333333333,4.145833333333333,5.326086956521739,-1.11875,-5.484375,5.605263157894737,-10.232142857142858
2019-05-28,2.284090909090909,5.024390243902439,6.875,,-10.232142857142858,5.527027027027027,2.89375,3.980769230769231,-1.5555555555555556,-5.425675675675675,3.977272727272727,-10.232142857142858
2019-05-29,2.0572916666666665,4.239130434782608,5.171052631578948,,-10.308823529411764,4.607142857142857,2.327777777777778,2.7844827586206895,-1.1197916666666667,-4.6125,2.59,-10.308823529411764
2019-05-30,0.6078431372549019,3.8297872340425534,4.653846153846154,,-10.308823529411764,4.151162790697675,1.951086956521739,2.7844827586206895,-1.403061224489796,-4.865853658536586,2.59,-10.308823529411764
2019-05-31,-0.2688679245283019,2.75,3.3353658536585367,,-10.308823529411764,2.9611111111111112,0.9270833333333334,2.7844827586206895,-2.235294117647059,-5.691860465116279,2.59,-10.308823529411764
2019-06-01,-0.2688679245283019,2.75,3.3353658536585367,,-10.308823529411764,2.9611111111111112,0.9270833333333334,2.7844827586206895,-2.235294117647059,-5.691860465116279,2.59,-10.308823529411764
2019-06-02,-0.4305555555555556,2.515,3.0416666666666665,,-10.308823529411764,2.7010869565217392,0.7244897959183674,2.3916666666666666,-2.3653846153846154,-5.767045454545454,2.144230769230769,-10.308823529411764
2019-06-03,0.793859649122807,4.076923076923077,3.0416666666666665,,-10.308823529411764,4.385416666666667,2.3872549019607843,5.540322580645161,-0.6805555555555556,-3.641304347826087,5.768518518518518,-10.308823529411764
2019-06-04,-0.5208333333333334,2.922727272727273,2.808139534883721,,-10.308823529411764,3.4,1.5330188679245282,4.666666666666667,-0.9732142857142857,-3.7127659574468086,5.3125,-10.308823529411764
2019-06-05,-0.819672131147541,2.741228070175439,2.5833333333333335,,-10.308823529411764,3.1826923076923075,1.3954545454545455,4.271428571428571,0.3684210526315789,-2.0625,4.808333333333334,-10.308823529411764
2019-06-06,0.2782258064516129,2.1,2.095744680851064,,-10.308823529411764,2.581818181818182,0.9181034482758621,3.560810810810811,-0.15416666666666667,-2.4019607843137254,4.1640625,-10.308823529411764
2019-06-07,0.7757352941176471,3.2576923076923077,1.865,,-10.308823529411764,4.461864406779661,2.814516129032258,5.49375,1.75,-0.022727272727272728,6.321428571428571,-10.308823529411764
2019-06-08,0.7757352941176471,3.2576923076923077,1.865,,-10.308823529411764,4.461864406779661,2.814516129032258,5.49375,1.75,-0.022727272727272728,6.321428571428571,-10.308823529411764
2019-06-09,0.7757352941176471,3.2576923076923077,1.865,5.35,-10.308823529411764,4.461864406779661,2.814516129032258,5.49375,1.75,-0.022727272727272728,6.321428571428571,-10.308823529411764
2019-06-10,1.0357142857142858,2.9393939393939394,1.4803921568627452,5.35,-10.308823529411764,4.461864406779661,2.814516129032258,5.49375,1.45,-0.022727272727272728,6.321428571428571,-10.308823529411764
2019-06-11,1.9075342465753424,2.5217391304347827,1.0277777777777777,5.35,-9.98611111111111,3.9233870967741935,2.376923076923077,4.645348837209302,1.0919117647058822,-0.36637931034482757,5.296052631578948,-9.98611111111111
2019-06-12,1.7833333333333334,2.3732394366197185,0.7954545454545454,5.40625,-10.078947368421053,3.71484375,2.2238805970149254,4.681818181818182,0.9821428571428571,-0.44583333333333336,5.32051282051282,-10.078947368421053
2019-06-13,1.5584415584415585,1.75,0.5803571428571429,4.426470588235294,-10.078947368421053,2.966417910447761,1.5714285714285714,4.322222222222222,0.8098591549295775,-0.6229508196721312,4.9,-10.078947368421053
