experiment,reference_universe,split,retention,avg_points_uplift,profit_factor_uplift,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Sarah baseline,All trades,Overall,1.0,0.0,0.0,6475,0.2742857142857143,-2.6632432432432434,-4.324142052546438,-1.0111084788624276,-0.013650659743344581,-34489.0,0.9086195293332132,-38797.5,-0.9445197797789395,-1.3024314442328468,-0.11555936862806002,4147.631907817141,0.3707865168539326
Sarah baseline,All trades,Train 2019–22,1.0,0.0,0.0,3026,0.2580964970257766,-3.3215465961665567,-5.769553003087983,-0.7819979824649217,-0.06382274964816781,-20102.0,0.8748980925413076,-21335.5,-1.303795430103224,-1.7868010764153615,-0.24659737303219773,3753.918174777657,0.3409090909090909
Sarah baseline,All trades,Validation 2023–24,1.0,0.0,0.0,1691,0.2554701360141928,-1.135866351271437,-3.6700221500956673,1.4779388028122928,0.05541866162346209,-3841.5,0.9547379893369466,-8006.5,-0.39580867673864206,-0.5625472067866872,-0.2017171857619577,3538.89194515044,0.4166666666666667
Sarah baseline,All trades,Holdout 2025–26,1.0,0.0,0.0,1758,0.32025028441410697,-2.9992889647326506,-6.669328850414928,0.18898752010673336,0.006272276332153092,-10545.5,0.92002775576444,-15274.5,-0.8796898916233246,-1.2039765231990796,-0.3796997794400858,5444.138171509735,0.38095238095238093
1h reference,All trades,Overall,0.6983783783783784,2.339326834574513,0.07737384387561674,4522,0.26536930561698363,-0.32391640866873067,-1.9621442649304883,1.2977171033491501,0.006963377772526203,-2929.5,0.98599337320883,-9984.0,-0.04060690218691932,-0.06259464977261613,-0.011600433056371753,2707.3551084783107,0.48314606741573035
1h reference,All trades,Train 2019–22,0.6929940515532056,1.728318174611955,0.04940320686619881,2097,0.2408202193609919,-1.5932284215546018,-3.8123744298185773,0.5611444494064213,-0.07158866798184153,-6682.0,0.9243012994075064,-9257.0,-0.6816181797336476,-1.0296196077197826,-0.18109479649145166,2412.008891238917,0.4318181818181818
1h reference,All trades,Validation 2023–24,0.693672383205204,2.1254230435135515,0.09676734645166285,1173,0.23870417732310314,0.9895566922421143,-2.111749109949323,4.132170730228551,0.08922784324330771,2321.5,1.0515053357886095,-5282.5,0.5728409801982672,0.9344838696313601,0.28072547589888075,2387.073970563645,0.625
1h reference,All trades,Holdout 2025–26,0.7121729237770194,3.5707745877358454,0.09884912895596842,1252,0.3314696485623003,0.5714856230031949,-2.5767276422764227,3.760330646377342,0.06145812373872622,1431.0,1.0188768847204084,-4613.0,0.4166934727634747,0.6371414596282302,0.3617173560217341,3546.916890497446,0.42857142857142855
1h · BOS,1h,Overall,0.31711632021229547,-0.37552571127548134,-0.01352713844436304,1434,0.2914923291492329,-0.699442119944212,-3.120101523498794,1.7323594166523195,-0.0005366356236547352,-2006.0,0.9724662347644669,-3452.5,-0.0933504450675391,-0.15150525828215583,-0.042510895328389024,1568.3644936566277,0.4606741573033708
1h · BOS,1h,Train 2019–22,0.3257033857892227,-0.3485724569227042,-0.007519596452119526,683,0.2664714494875549,-1.941800878477306,-5.577735684357542,1.483607390957264,-0.09926270234460195,-2652.5,0.9167817029553869,-3324.5,-0.5641919428333065,-0.8735522101744027,-0.22024007151066277,1344.412687770033,0.38636363636363635
1h · BOS,1h,Validation 2023–24,0.30775788576300084,-0.3863710966742473,-0.02381410414875451,361,0.27146814404432135,0.603185595567867,-4.4224178031961054,5.735164541017161,0.06614622702074775,435.5,1.027691231639855,-2628.5,0.22224042067604544,0.37926190524670605,0.13201442174355182,1440.1924030903376,0.4583333333333333
1h · BOS,1h,Holdout 2025–26,0.31150159744408945,-0.30097280249037445,-0.010522103488969092,390,0.35384615384615387,0.2705128205128205,-3.8830912196510634,3.963699981829928,0.11063615964757008,211.0,1.0083547812314393,-2524.5,0.3039115335057771,0.5025558273174094,0.2818566851621743,2086.253871178794,0.6190476190476191
1h · no BOS,1h,Overall,0.6828836797877046,0.1743859682542229,0.00723088300012853,3088,0.25323834196891193,-0.14953044041450778,-2.031757204136332,1.8007546454515373,0.010446220780985864,-923.5,0.9932242562089585,-8542.5,0.016606153781845316,0.026620696755972704,0.004859456287240063,2196.187022885923,0.4606741573033708
1h · no BOS,1h,Train 2019–22,0.6742966142107774,0.16836986427030198,0.004249864661504343,1414,0.22842998585572843,-1.4248585572842998,-4.280118266858472,1.4535550841918423,-0.05822136566941907,-4029.5,0.9285511640690107,-7559.0,-0.45641028245388066,-0.7220532596126221,-0.13175069607452525,1940.2768467522549,0.38636363636363635
1h · no BOS,1h,Validation 2023–24,0.6922421142369991,0.17177335701896956,0.012762366794365931,812,0.22413793103448276,1.1613300492610839,-2.4180329470773905,4.98271007893933,0.09948949774619457,1886.0,1.0642677025829754,-4066.0,0.5234605126457209,0.8800536777202658,0.2721436475474099,2000.8096165508705,0.5416666666666666
1h · no BOS,1h,Holdout 2025–26,0.6884984025559105,0.13617098952580742,0.005256680717160789,862,0.3213457076566125,0.7076566125290024,-3.637771976116574,4.624439386609905,0.03920820029969013,1220.0,1.0241335654375692,-3752.5,0.2960447817388939,0.4687449906920523,0.21493454818094848,2850.7190651204733,0.5238095238095238
1h · RVOL <0.75,1h,Overall,0.23617868199911543,0.6448433749608655,0.03367607673521755,1068,0.20131086142322097,0.32092696629213485,-2.3578001180026855,3.0550125540418067,-0.014193789523045952,685.5,1.0196694499440475,-3045.5,0.1151046829216483,0.21024579651783193,0.042447198136115444,1034.032157098994,0.449438202247191
1h · RVOL <0.75,1h,Train 2019–22,0.23223652837386743,-0.04794200965689721,-0.036725254114402306,487,0.17248459958932238,-1.641170431211499,-4.863408635321412,2.2092621615128567,-0.13839442082798895,-1598.5,0.8875760452931041,-2988.5,-0.49629386297093936,-0.8615339430098503,-0.15875749676976048,896.9605593701945,0.38636363636363635
1h · RVOL <0.75,1h,Validation 2023–24,0.24381926683716965,-0.6783678810533031,-0.028422926400033965,286,0.17482517482517482,0.3111888111888112,-3.852062610300016,5.150219795802603,-0.0025969362516644005,178.0,1.0230824093885755,-981.0,0.16086769007127139,0.2983097125162332,0.16151302641619128,952.8070055649936,0.4583333333333333
1h · RVOL <0.75,1h,Holdout 2025–26,0.2356230031948882,2.998005902420534,0.14411359589254724,295,0.2745762711864407,3.5694915254237287,-2.8999908357771265,10.28904454853882,0.17959945593421542,2106.0,1.1629904806129556,-2286.5,0.9671131583522506,1.8451556527295023,0.57895090525184,1355.6162622960355,0.5714285714285714
