experiment,status,overall_trades,overall_avg_points,overall_profit_factor,train_profit_factor,validation_profit_factor,holdout_profit_factor,holdout_avg_points,holdout_ci_low,holdout_ci_high,holdout_trades,overall_sharpe,holdout_sharpe,holdout_sortino,holdout_pnl_calmar,holdout_annualized_volatility,holdout_profitable_months
Sarah baseline,reference,6475,-2.6632432432432434,0.9086195293332132,0.8748980925413076,0.9547379893369466,0.92002775576444,-2.9992889647326506,-6.669328850414928,0.18898752010673336,1758,-0.9445197797789395,-0.8796898916233246,-1.2039765231990796,-0.3796997794400858,5444.138171509735,0.38095238095238093
1h reference,reference,4522,-0.32391640866873067,0.98599337320883,0.9243012994075064,1.0515053357886095,1.0188768847204084,0.5714856230031949,-2.5767276422764227,3.760330646377342,1252,-0.04060690218691932,0.4166934727634747,0.6371414596282302,0.3617173560217341,3546.916890497446,0.42857142857142855
1h · BOS,"positive, but no uplift",1434,-0.699442119944212,0.9724662347644669,0.9167817029553869,1.027691231639855,1.0083547812314393,0.2705128205128205,-3.8830912196510634,3.963699981829928,390,-0.0933504450675391,0.3039115335057771,0.5025558273174094,0.2818566851621743,2086.253871178794,0.6190476190476191
1h · no BOS,promising; uncertainty remains,3088,-0.14953044041450778,0.9932242562089585,0.9285511640690107,1.0642677025829754,1.0241335654375692,0.7076566125290024,-3.637771976116574,4.624439386609905,862,0.016606153781845316,0.2960447817388939,0.4687449906920523,0.21493454818094848,2850.7190651204733,0.5238095238095238
1h · RVOL <0.75,"positive, but no uplift",1068,0.32092696629213485,1.0196694499440475,0.8875760452931041,1.0230824093885755,1.1629904806129556,3.5694915254237287,-2.8999908357771265,10.28904454853882,295,0.1151046829216483,0.9671131583522506,1.8451556527295023,0.57895090525184,1355.6162622960355,0.5714285714285714
1h · RVOL 0.75–1.25,promising; uncertainty remains,2025,1.009753086419753,1.0444283898443187,0.9698161866291233,1.184226560405547,1.0434523276967582,1.2871024734982333,-4.18997005988024,5.92582156910969,566,0.3239804131990107,0.3624692747527562,0.6145105659159983,0.19477743229146416,2261.4905066305732,0.5714285714285714
1h · RVOL ≥1.25,not supported,1402,-2.679029957203994,0.9076928748287366,0.8935743828081695,0.9028849578534964,0.9273718276273207,-2.7263427109974425,-11.14367103144199,4.594161973721086,391,-0.4576114069185833,-0.2850706093219164,-0.4127193898323443,-0.13837372168237694,2289.881912377234,0.3333333333333333
1h · prior 5m RVOL <0.75,not supported,1429,-0.14555633310007,0.9921062618595825,0.9000495550815504,1.1926305367827472,0.9813178207853227,-0.46005509641873277,-4.714463353889943,4.0686830483466725,363,0.010109957188654891,-0.043295643320601415,-0.06858273473030367,-0.040552675028242044,1664.8876037927168,0.3333333333333333
1h · prior 5m RVOL 0.75–1.25,"positive, but no uplift",1607,0.40868077162414435,1.017136333985649,1.0015664907202453,1.010700361421782,1.036327842371826,1.1435381355932204,-4.408267663043478,5.907573150394174,472,0.16761403406490907,0.35369811618397823,0.564548054402981,0.3562870360939956,2297.192290924512,0.5238095238095238
1h · prior 5m RVOL ≥1.25,mixed; holdout positive,1462,-1.2823187414500683,0.9525640944543194,0.8760517428882147,0.9934541792547835,1.0242968791535967,0.8219424460431655,-6.03573355478555,7.996476263152669,417,-0.24642215586869773,0.3574759403486373,0.565294537233504,0.3135828702190258,2063.2071351035197,0.5238095238095238
1h · impulse/prior volume <0.75,promising; uncertainty remains,843,0.6132858837485172,1.0269903419472723,0.8445176219295123,1.2432125343858391,1.1237877052310041,3.602222222222222,-8.769021896480872,15.628784297280582,225,0.11102090764043863,0.6896962902518048,1.140837133134123,0.5084858237285284,1624.5534859651661,0.5714285714285714
1h · impulse/prior volume 0.75–1.25,mixed; holdout positive,1649,0.06746513038204972,1.0028389516931635,0.9760087068992712,0.8439601057897588,1.1107524972969485,3.293186180422265,-2.7413017598343683,8.474258521138015,521,0.15948142741359692,0.987378206006631,1.6322651943978432,1.1020446990556017,2416.42640980001,0.5238095238095238
1h · impulse/prior volume ≥1.25,not supported,2030,-1.0310344827586206,0.9547297954946089,0.9168890679288987,1.1301824409505008,0.8858597160281766,-3.5785573122529644,-8.90531612115185,2.1771641772321266,506,-0.29708094370642296,-0.9397395319790726,-1.3798266150095422,-0.37362279781476965,2158.468490800444,0.38095238095238093
1h · first Sarah test,promising; uncertainty remains,3840,0.9477213541666667,1.0443332500898421,0.9900927829952019,1.101375901683142,1.0747448227824363,2.109375,-1.4347404196014286,5.703632841729527,992,0.4733234990329554,0.9558853085754224,1.5032631366587128,1.3590755575801359,3199.755781258315,0.6190476190476191
1h · first physical touch,promising; uncertainty remains,3469,1.4507062554050159,1.0700078945812568,1.0037050336227722,1.0820852621705848,1.1440834774168107,3.9408185840707963,0.009838867187500015,7.817905475218022,904,0.6417801963252119,1.5236286284449982,2.468639375655207,2.534055381659568,3074.3721176848494,0.7142857142857143
1h · HTF nested,limited sample,310,0.7991935483870968,1.0352794588821645,0.9224123469216574,0.8331623230043095,1.2416113324479858,6.8225,-4.5787633384146345,18.509806348281888,100,0.06248839478108472,0.6006239391173507,1.0006445012980956,0.7721147400781269,1145.3992899793454,0.38095238095238093
1h · width ≤0.5 ATR,promising; uncertainty remains,2271,1.204865697930427,1.0786120607923693,0.8494799559167929,1.1860272428992809,1.2760331875330992,5.665458937198068,1.4776496052220138,10.046974625043598,621,0.5063912401300609,1.931783911394297,3.9416035029162915,3.222410687356634,2069.279298832505,0.8095238095238095
