variant,round_trip_cost_ticks,profit_factor,total_pnl,sharpe,max_drawdown
Sarah baseline,0,0.9086195293332132,-34489.0,-0.9445197797789395,-38797.5
Sarah baseline,1,0.9006601329218584,-37726.5,-1.0446550256945568,-41793.5
Sarah baseline,2,0.8927989155324333,-40964.0,-1.1446805011106675,-44789.5
Sarah baseline,4,0.8773636242604889,-47439.0,-1.3443898901652762,-50781.5
1h reference,0,0.9852938683004301,-3903.0,-0.05563032581099351,-11469.0
1h reference,1,0.9743102501149116,-6874.5,-0.181854467009343,-12519.5
1h reference,2,0.963505624640931,-9846.0,-0.3080815604923866,-13671.0
1h reference,4,0.9424169980907783,-15789.0,-0.5605176527627234,-18647.0
1h · no BOS,0,1.0129042584604855,2338.0,0.20362180590134876,-6743.5
1h · no BOS,1,1.0009189869263169,168.0,0.09346757086143374,-7339.0
1h · no BOS,2,0.9891455215788332,-2002.0,-0.016741646967278884,-7934.5
1h · no BOS,4,0.9662126705149344,-6342.0,-0.2373005401200824,-10012.5
1h · RVOL 0.75–1.25,0,1.0382771526699155,4842.5,0.3453277899768921,-5402.5
1h · RVOL 0.75–1.25,1,1.0264294391973978,3372.0,0.25508095596217706,-5992.0
1h · RVOL 0.75–1.25,2,1.014779378045842,1901.5,0.1647577802483149,-6581.5
1h · RVOL 0.75–1.25,4,0.9920533294600162,-1039.5,-0.016092607295301882,-7760.5
1h · impulse/prior volume <0.75,0,1.1151051321959295,5805.5,0.54936690316442,-2996.0
1h · impulse/prior volume <0.75,1,1.1022861298946376,5203.5,0.4956943252508512,-3149.0
1h · impulse/prior volume <0.75,2,1.0896847439458168,4601.5,0.44196616145245643,-3302.0
1h · impulse/prior volume <0.75,4,1.065111777613814,3397.5,0.3343548119634782,-3608.0
1h · first Sarah test,0,1.047263396038704,9881.5,0.5538926953110295,-3970.5
1h · first Sarah test,1,1.0347901310643945,7339.5,0.4357617866663031,-4534.5
1h · first Sarah test,2,1.0225385527876631,4797.5,0.3176886280222929,-5098.5
1h · first Sarah test,4,0.9986775661678499,-286.5,0.08173655412256797,-6520.0
1h · first physical touch,0,1.0576494322672194,11416.0,0.6366226753638676,-3635.0
1h · first physical touch,1,1.0449832357503879,8989.0,0.5213707530121107,-3872.0
1h · first physical touch,2,1.0325437917832132,6562.0,0.4061757015687239,-4151.5
1h · first physical touch,4,1.0083215388025852,1708.0,0.17597553201394375,-5445.5
1h · width ≤0.5 ATR,0,1.0810417189445043,8235.5,0.6143109570375151,-8462.5
1h · width ≤0.5 ATR,1,1.0633074809990197,6522.0,0.49683194249814583,-8859.5
1h · width ≤0.5 ATR,2,1.0460489458588509,4808.5,0.37922936134468815,-9284.0
1h · width ≤0.5 ATR,4,1.012884302415049,1381.5,0.1436899448495139,-10343.0
1h · opposing room ≥2R/open,0,1.0315953780762763,6285.0,0.35436770973868226,-7523.5
1h · opposing room ≥2R/open,1,1.018922048332275,3799.5,0.23513998904441835,-8178.0
1h · opposing room ≥2R/open,2,1.006483318037834,1314.0,0.1158827852532652,-9058.0
1h · opposing room ≥2R/open,4,0.9822845945729919,-3657.0,-0.12269276122070245,-10818.0
