variant,year,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Sarah baseline,2019,446.0,0.226457399103139,-0.6306053811659192,-281.25,-0.05506642731470808,-562.5,0.9473240623683101,-2279.5,-0.45728878893402825,-0.6950090160883347,-0.41230643481765966,1872.6907062657594,0.375
Sarah baseline,2020,846.0,0.27423167848699764,-0.6456855791962175,-546.25,-0.07278056755401664,-1092.5,0.9759252525920294,-3317.0,0.07882290374298552,0.11850810446581818,0.0970203617708405,3959.693046002116,0.5
Sarah baseline,2021,789.0,0.23447401774397972,-3.8567807351077312,-3043.0,-0.05626900086104399,-6086.0,0.8457737288242971,-7856.0,-1.870213895754348,-2.470421833630568,-0.7601004928497079,3352.5945774176907,0.4166666666666667
Sarah baseline,2022,945.0,0.2783068783068783,-6.54021164021164,-6180.5,-0.06624276404543299,-12361.0,0.8103137396321674,-12553.5,-2.4273442393299343,-3.1584647480280057,-0.9692307692307691,4709.306371585449,0.08333333333333333
Sarah baseline,2023,864.0,0.24189814814814814,-0.7569444444444444,-654.0,0.1015121889602615,-1308.0,0.9669588501275671,-3996.0,-0.35548881417664896,-0.5151964328318629,-0.3161535331615353,3278.5841734554315,0.4166666666666667
Sarah baseline,2024,827.0,0.26964933494558646,-1.5317412333736398,-1266.75,0.007262908758897773,-2533.5,0.9440549403230615,-7250.5,-0.4316522065171396,-0.6059126141485968,-0.2546797587089107,3785.8086836649545,0.4166666666666667
Sarah baseline,2025,957.0,0.2852664576802508,-5.698275862068965,-5453.25,-0.040567459200246916,-10906.5,0.8391940905874027,-13423.5,-1.8564040127067596,-2.435667041692947,-0.7613056461537138,4929.775582132079,0.3333333333333333
Sarah baseline,2026,801.0,0.3620474406991261,0.22534332084893882,180.5,0.062234357361499924,361.0,1.0056370577993614,-4761.0,0.2745427919307284,0.39222771816502333,0.41390285413564143,6120.1338579946705,0.4444444444444444
First physical touch core,2019,388.0,0.2036082474226804,-0.2338917525773196,-90.75,0.06302259036914243,-181.5,0.974538823034299,-1514.5,-0.24094861572418,-0.40495262095287876,-0.23678118958922748,1377.2597788616397,0.25
First physical touch core,2020,631.0,0.24247226624405704,0.3502377179080824,221.0,-0.13887025446792128,442.0,1.0186793449550977,-2227.5,0.14958500326934454,0.23750897080849337,0.18714496431436184,2327.6611859273585,0.5833333333333334
First physical touch core,2021,648.0,0.2191358024691358,-0.24266975308641975,-157.25,-0.01216081173646491,-314.5,0.9861621383786162,-2990.5,-0.09176407812432337,-0.13934137320101087,-0.07240113556226607,2256.9119911527387,0.5
First physical touch core,2022,693.0,0.2813852813852814,1.465007215007215,1015.25,0.0817348657024622,2030.5,1.0612944124128354,-2206.5,0.6158866899732114,0.9776844953777841,0.916666968965955,3156.087539051794,0.6666666666666666
First physical touch core,2023,659.0,0.22003034901365706,2.109635811836115,1390.25,0.17391915549416315,2780.5,1.1250477839490904,-1674.0,1.143416933922583,1.992711752495306,1.8305613305613304,2487.887159352594,0.6666666666666666
